title,link,authors,publication,article_year
Economic policy uncertainty and stock markets: Long-run evidence from the US,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:7PzlFSSx8tAC,"M Arouri, C Estay, C Rault, D Roubaud","Finance Research Letters 18, 136-141, 2016",2016
Entrepreneurship: From motivation to start-up,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:5nxA0vEk-isC,"C Estay, F Durrieu, M Akhter","Journal of international Entrepreneurship 11 (3), 243-267, 2013",2013
How and when compulsory citizenship behavior leads to employee silence: a moderated mediation model based on moral disengagement and supervisor–subordinate guanxi views,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:3fE2CSJIrl8C,"P He, Z Peng, H Zhao, C Estay","Journal of Business Ethics 155 (1), 259-274, 2019",2019
Compulsory citizenship behavior and employee silence: The roles of emotional exhaustion and organizational identification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:M3ejUd6NZC8C,"P He, X Wang, M Wu, C Estay","Social Behavior and Personality: an international journal 46 (12), 2025-2047, 2018",2018
How destructive leadership influences compulsory organizational citizenship behavior,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:TQgYirikUcIC,"M Wu, Z Peng, C Estay","Chinese Management Studies, 2018",2018
Setting up Businesses in France and the USA:: A Cross Cultural Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:QIV2ME_5wuYC,C Estay,"European Management Journal 22 (4), 452-463, 2004",2004
La pratique de la responsabilité sociale et ses implications dans l'entreprise,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:pqnbT2bcN3wC,JP Tchankam,"Gestion 2000, 2004",2004
How role stress mediates the relationship between destructive leadership and employee silence: The moderating role of job complexity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:hC7cP41nSMkC,"M Wu, Z Peng, C Estay","Journal of Pacific Rim Psychology 12, 2018",2018
Alternative finance for micro‐enterprises: A foundation for sustainable development or just humanitarian aid?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:MXK_kJrjxJIC,"SV Gandja, C Estay, JP Tchankam","Strategic Change 24 (1), 33-47, 2015",2015
Intéressement et attitudes des salariés dans l'entreprise,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:8k81kl-MbHgC,C Estay,"Revue de gestion des ressources humaines, 20-40, 2000",2000
Motivation entrepreneuriale et logique d’action du créateur,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:Wp0gIr-vW9MC,"C Estay, F Durrieu, P Diop","Revue internationale PME Économie et gestion de la petite et moyenne …, 2011",2011
The relationship between MNCs’ strategies and executive staffing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:mB3voiENLucC,"S Lakshman, C Lakshman, C Estay","International Journal of Organizational Analysis, 2017",2017
La mesure de la responsabilité sociale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:KlAtU1dfN6UC,"C Estay, JP Tchankam","La Revue des Sciences de Gestion: Direction et Gestion 39 (206), 113, 2004",2004
Entre éthique et responsabilité sociale: contexte idiosyncratique de la PME en Afrique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:YOwf2qJgpHMC,"G Etogo, C Estay","Management & sciences sociales 14 (14), 26-36, 2013",2013
Attributional complexity and leadership: Test of a process model in France and India,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:kNdYIx-mwKoC,"C Lakshman, C Estay","International Journal of Cross Cultural Management 16 (1), 53-76, 2016",2016
Quand la responsabilité juridique vient enrichir la responsabilité sociale des entreprises,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:Zph67rFs4hoC,"I Tricot-Chamard, C Estay","Gestion 2000 28 (5), 83-100, 2011",2011
Examining how ambidextrous leadership relates to affective commitment and workplace deviance behavior of employees: The Moderating role of supervisor–subordinate exchange guanxi,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:JV2RwH3_ST0C,"M Wu, R Wang, P He, C Estay, Z Akram","International Journal of Environmental Research and Public Health 17 (15), 5500, 2020",2020
How firms risk through entrepreneurial innovations: Behavioural patterns and implications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:r0BpntZqJG4C,"AH Ahworegba, JO Omoloba, C Estay","The International Journal of Entrepreneurship and Innovation 21 (4), 223-236, 2020",2020
Profit sharing in the nineteenth century: history of a controversial remuneration system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:-f6ydRqryjwC,"C Estay, C Lakshman, JO Pesme","Social responsibility journal, 2011",2011
Make-or-Buy Decisions: What Choice for an Accounting Services in a Developing Country,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:e5wmG9Sq2KIC,"SV Gandja, C Estay","International Journal of Academic Research in Accounting, Finance and …, 2012",2012
Entrepreneuriat et GRH. Editorial dans numéro spécial de la Revue de l’Entrepreneuriat,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:hMod-77fHWUC,"D Chabaud, C Estay, P Louart","Revue de l’Entrepreneuriat 7 (1), 1-18, 2008",2008
Les dynamiques de la création d’entreprises en France et aux États-Unis: une société du salariat face à un environnement entrepreneurial,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:IWHjjKOFINEC,C Estay,"Revue internationale PME Économie et gestion de la petite et moyenne …, 2003",2003
Les enjeux de la formation à la création d’entreprise,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:dhFuZR0502QC,"C ESTAY, JP TCHANKAM","Communication aux Journées 7 èmes Scientifiques de l’AUPELF/UREF, 2001",2001
Les dispositifs légaux de la création d'entreprise aux Etats-Unis et en France,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:9ZlFYXVOiuMC,"C Estay, JP Tchankam","La revue des sciences de gestion: direction et gestion, 49, 2003",2003
"Institutional duality incidence on subsidiaries: configuration, differentiation and avoidance strategies",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:NMxIlDl6LWMC,"AH Ahworegba, C Estay, M Garri","Journal of Organizational Change Management, 2020",2020
L’ERM appliqué aux banques ou comment ne pas réduire la gestion des risques à la mesure du risque,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:WF5omc3nYNoC,"C Estay, F Maurer","Management international/International Management/Gestiòn Internacional 19 …, 2014",2014
La motivation entrepreneuriale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:qUcmZB5y_30C,C Estay,,2006
Enjeux et limites de la doctrine sociale catholique comme orientation managériale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:bEWYMUwI8FkC,"C Estay, G Etogo, HT Teko","Gestion 2000 36 (5), 147-168, 2019",2019
ERM implemented in banks or how not narrowing risk management to risk measurement. Management International,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:70eg2SAEIzsC,"C Estay, F Maurer","Management International, 2014",2014
La motivation clé de la résilience entrepreneuriale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:SeFeTyx0c_EC,C Estay,"HAL Post-Print, 2022",2022
Subsidiaries’ behavioural responses to volatile local contexts in emerging African markets: evidence from Nigeria,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:M05iB0D1s5AC,"AH Ahworegba, M Garri, C Estay","Multinational Business Review, 2021",2021
Stratégie et dynamiques entrepreneuriales,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:lSLTfruPkqcC,"C Estay, F Rey, L Steffan","Editions Ellipses, 2021",2021
La perception de la réalisation du contrat psychologique chez les ouvriers en situation de restucuration industrielle,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:2P1L_qKh6hAC,"C Estay, Z Yanat, C Mai-Nivoit","Recherches en Sciences de Gestion-Management Sciences-Ciencias de Gestión, 2020",2020
Examining How Ambidextrous Leadership Relate to Affective Commitment and Workplace Deviance Behavior of Employees: The Moderating Role of Supervisor-Subordinate Change Guanxi,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:blknAaTinKkC,C Estay,"Int J Environ Res Public Health, 2020",2020
The perception of the fulfilment of the psychological contract among workers in a situation of industrial restructuring,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:g5m5HwL7SMYC,"C Estay, C Mai-Nivoit, Z Yanat, F Durrieu","Recherches en Sciences de Gestion 139 (4), 225-248, 2020",2020
Business Model and Business Model Innovation of the Free Zones in the United Arab Emirates: A Qualitative Approach [Modelo de negocio e innovación del modelo de negocio de las …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:vV6vV6tmYwMC,"A Alkhanbouli, C Estay, D Tsagdis","HAL Post-Print, 2020",2020
Business Model and Business Model Innovation of the Free Zones in the United Arab Emirates: A Qualitative Approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:RYcK_YlVTxYC,"A Alkhanbouli, C Estay, D Tsagdis","HAL, 2020",2020
Early internationalisation and networking: an inquiry into born-global firms in Pakistan,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:YFjsv_pBGBYC,"M Akhter, J Omoloba, C Estay","Middle East Journal of Management 7 (6), 531-556, 2020",2020
Comment un manager peut-il faire réussir un collaborateur en situation d’échec?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:k_IJM867U9cC,"C Estay, C Lakshman, L Bompar, Z Yanat","Question (s) de management, 65-75, 2020",2020
Modèles d’affaires et modèles d’affaires innovants au sein des zones franches: une approche qualitative,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:TFP_iSt0sucC,"A Alkhanbouli, C Estay, D Tsagdis","Management international/International Management/Gestiòn Internacional 24 …, 2020",2020
Le développement international des entreprises nées globales: l'importance du réseau social,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2T8gU8AAAAAJ&pagesize=100&citation_for_view=2T8gU8AAAAAJ:maZDTaKrznsC,"C Estay, M Akhter","Management & Sciences Sociales 27 (48-63), 2019",2019
