title,link,authors,publication,article_year
Understanding entrepreneurship: Challenging dominant perspectives and theorizing entrepreneurship through new postpositivist epistemologies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:hqOjcs7Dif8C,"M Karatas‐Ozkan, AR Anderson, A Fayolle, J Howells, R Condor","Journal of Small Business Management 52 (4), 589-593, 2014",2014
Le contrôle de gestion dans les PME: une approche par la taille et le cycle de vie,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:UeHWp8X0CEIC,R Condor,"Revue internationale PME Économie et gestion de la petite et moyenne …, 2012",2012
La formation des équipes entrepreneuriales: une étude exploratoire,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:u-x6o8ySG0sC,"D Chabaud, R Condor","Revue internationale PME Économie et gestion de la petite et moyenne …, 2009",2009
La formation de l’équipe entrepreneuriale autour du projet de création d’entreprise : constats et enjeux,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:YsMSGLbcyi4C,"R Condor, D Chabaud","Revue de l’Entrepreneuriat 11 (2), 31-52, 2012",2012
La formation de l'équipe entrepreneuriale autour du projet de création d'entreprise: constats et enjeux,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:qjMakFHDy7sC,"R Condor, D Chabaud","Revue de lEntrepreneuriat 11 (2), 31-52, 2012",2012
"Interactions entre vision, intention et anticipation chez les dirigeants des petites entreprises",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:d1gkVwhDpl0C,"A Smida, R Condor","Gestion 26 (4), 12-22, 2001",2001
Déterminants et modes opératoires du contrôle de gestion dans les PME: une approche qualitative comparative,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:IjCSPb-OGe4C,"R Condor, K Rebut","Congrès international francophone en entrepreneuriat et PME, Louvain-la-Neuve, 2008",2008
Pour la mobilisation de la notion de projet dans la recherche en entrepreneuriat,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:3fE2CSJIrl8C,"A Asquin, R Condor, C Schmitt","Revue de l’Entrepreneuriat 10 (2), 5-14, 2011",2011
Le rôle des réseaux sociaux dans le processus de création d’entreprises: faut-il compléter la perspective?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:9yKSN-GCB0IC,"D CHABAUD, R CONDOR","XVèmeConférence Internationale de Management Stratégique, Annecy/Genève, 13-16, 2006",2006
Management de projet et entrepreneuriat: pistes de réflexion pour la conduite du projet entrepreneurial,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4KLCJVgAAAAJ&pagesize=100&citation_for_view=4KLCJVgAAAAJ:2osOgNQ5qMEC,"R Condor, V Hachard","5 Congrés de l’Académie de l’Entrepreneuriat 4, 2007",2007
