title,link,authors,publication,article_year
The price-perceived quality relationship: A meta-analytic review and assessment of its determinants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:u5HHmVD_uO8C,"F Völckner, J Hofmann","Marketing Letters 18 (3), 181-196, 2007",2007
Empirical generalizations on the impact of stars on the economic success of movies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:eQOLeE2rZwMC,"J Hofmann, M Clement, F Völckner, T Hennig-Thurau","International journal of research in marketing 34 (2), 442-461, 2017",2017
Talent or popularity: What drives market value and brand image for human brands?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:UebtZRa9Y70C,"J Hofmann, O Schnittka, M Johnen, P Kottemann","Journal of Business Research, 2019",2019
Preferences and willingness to pay for tablet news apps,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:ufrVoPGSRksC,"H Gundlach, J Hofmann","Journal of Media Business Studies 14 (4), 257-281, 2017",2017
Port marketing from a multidisciplinary perspective: A systematic literature review and lexicometric analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:LkGwnXOMwfcC,"T Mandjak, A Lavissière, J Hofmann, Y Bouchery, MC Lavissière, O Faury, ...","Transport Policy 84, 50-72, 2019",2019
An ingredient branding approach to determine the financial value of stars: The case of motion pictures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:WF5omc3nYNoC,"T Hennig-Thurau, F Völckner, M Clement, J Hofmann","Available at SSRN 1763547, 2013",2013
Leveraging analytics to produce compelling and profitable film content,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:KlAtU1dfN6UC,"R Behrens, NZ Foutz, M Franklin, J Funk, F Gutierrez-Navratil, J Hofmann, ...","Journal of Cultural Economics, 1-41, 2020",2020
Port marketing as manifestation of sustainable marketing in a B2B context,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:0EnyYjriUFMC,"A Lavissière, T Mandják, J Hofmann, L Fedi","Journal of Business & Industrial Marketing, 2019",2019
Stars als Human Brands im Sport: Ein State of the Art,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:u-x6o8ySG0sC,J Hofmann,"Marken und Sport: Aktuelle Aspekte der Markenführung im Sport und mit Sport …, 2014",2014
Markendifferenzierung durch die Nutzung von Human Brands,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:d1gkVwhDpl0C,"J Hofmann, B Heidemann","Markendifferenzierung – Innovative Konzepte zur erfolgreichen …, 2011",2011
When are visitors actually satisfied at visitor attractions? What we know from more than 30 years of research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:ULOm3_A8WrAC,"LS Faerber, J Hofmann, D Ahrholdt, O Schnittka","Tourism Management 84, 104284, 2021",2021
The price-perceived quality relationship: a meta-analytic review and assessment of its determinants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:_FxGoFyzp5QC,"F Völckner, J Hofmann","Univ., Department Wirtschaftswiss., Inst. für Handel und Marketing, 2006",2006
Talent or popularity?: An empirical analysis of the determinants of the brand image of human brands through the example of professional football players,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:Se3iqnhoufwC,"J Hofmann, P Kottemann, O Schnittka, M Johnen","47th Annual Conference of the European Marketing AcademyEuropean Marketing …, 2018",2018
On event attendees’ determinants of spending–Integrating meta-analytic findings with empirical research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:3fE2CSJIrl8C,"J Hofmann, G Kwiatkowski","24th Nordic Symposium in Tourism and Hospitality Research, 2015",2015
What Drives Private Label Success? A Meta-Analytical Approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:MXK_kJrjxJIC,"J Hofmann, O Schnittka, C Erfgen, K Kersten","43rd annual Conference of the European Marketing AcademyEuropean Marketing …, 2014",2014
r-equivalent–A silver bullet with regard to missing correlations?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:hqOjcs7Dif8C,J Hofmann,"Workshop on Synthesizing Complex Statistical Models, 2013",2013
Essays on Human Brands and Meta-analysis in Marketing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:8k81kl-MbHgC,JP Hofmann,"Verlag nicht ermittelbar, 2012",2012
The Power of Stars Across Industries,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:9yKSN-GCB0IC,"J Hofmann, M Clement, T Hennig-Thurau, F Völckner","39th Annual Conference of the European Marketing Academy, Copenhagen, Denmark, 2010",2010
The Role of Stars in the Success of Experiential Products: Do Star Actors Really Drive the Success of Movies?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:kNdYIx-mwKoC,J Hofmann,"22nd Doctoral Colloquium of the 38th Annual Conference of the European …, 2009",2009
Port Marketing: The Role of Market Externalities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4ZCoTcUAAAAJ&pagesize=100&citation_for_view=4ZCoTcUAAAAJ:5nxA0vEk-isC,"T Mandjak, P Naude, D Medway, L Fedi, A Gelei, J Hofmann, A Lavissiere, ...","2018 CBIM INTERNATIONAL CONFERENCE, 250, 0",
,,,,
