title,link,authors,publication,article_year
Making decisions about time: Event-related potentials and judgements about the equality of durations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:u5HHmVD_uO8C,"I Paul, J Wearden, D Bannier, E Gontier, C Le Dantec, M Rebaï","Biological Psychology 88 (1), 94-103, 2011",2011
Differences in the temporal processing between identification and categorization of durations: a behavioral and ERP study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:9yKSN-GCB0IC,"D Bannier, J Wearden, CC Le Dantec, M Rebaï","Behavioural brain research 356, 197-203, 2019",2019
ERP variabilities as a function of reading maturation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:u-x6o8ySG0sC,"A Charollais, A Lempereur, V Simon, C Seraffin, R Lalonde, MH Stumpf, ...","Neurophysiologie clinique= Clinical neurophysiology 46 (4-5), 313-315, 2016",2016
Creation and validation of a questionnaire assessing quality of life of parents of children with interstitial lung disease (chILD),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:zYLM7Y9cAGgC,"N Nathan, A Challan-Belval, D Bannier, H Corvol, A Clement, I Banovic","European Respiratory Journal 58 (suppl 65), 2021",2021
Supporting the understanding of sleep disorders in adult outpatients with Crohn's disease,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:UeHWp8X0CEIC,"I Banovic, D Gilibert, D Bannier, L Beaugerie","Annales Medico-Psychologiques 178 (10), 1002-1007, 2020",2020
Comprendre les troubles du sommeil de patients adultes atteints d’une maladie de Crohn pris en charge en ambulatoire,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:qjMakFHDy7sC,"I Banovic, D Gilibert, D Bannier, L Beaugerie","Annales Médico-psychologiques, revue psychiatrique 178 (10), 1002-1007, 2020",2020
Comprendre les troubles du sommeil de patients adultes atteints de MICI pris en charge en ambulatoire,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:2osOgNQ5qMEC,"I Banovic, D Gilibert, D Bannier, L Beaugerie","Annales Médico-Psychologiques, Revue Psychiatrique, 2019",2019
Dynamique des activités évoquées corticales de la phase décisionnelle de la discrimination temporelle: approche comportementale et électrophysiologique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:d1gkVwhDpl0C,D Bannier,"Normandie, 2017",2017
Comparative electrophysiological study of word reading in French: does the P1-N1 temporal window reveal a neurodevelopmental anomaly?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8R7Cg9AAAAAJ&pagesize=100&citation_for_view=8R7Cg9AAAAAJ:IjCSPb-OGe4C,"A Charollais, S Meyer, C Ponty, A Lempereur, MH Stumpf, P Berquin, ...","Austin Neurology and Neurosciences, 2017",2017
,,,,
