title,link,authors,publication,article_year
Sociocultural integration in mergers and acquisitions: Unresolved paradoxes and directions for future research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:d1gkVwhDpl0C,"GK Stahl, DN Angwin, P Very, E Gomes, Y Weber, SY Tarba, ...","Thunderbird international business review 55 (4), 333-356, 2013",2013
Employing critical incident technique as one way to display the hidden aspects of post-merger integration,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:u-x6o8ySG0sC,M Durand,"International Business Review 25 (1), 87-102, 2016",2016
Cultural Frictions in Post-merger Integration Processes: A View on “Face” When Dealing With Asian Counterparts,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:u5HHmVD_uO8C,M Durand,"Managing Culture and Interspace in Cross-border Investments, 43-49, 2017",2017
Getting fresh eyes on culture distances in CBM&As: how to work with a new concept?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:Y0pCki6q_DkC,"M Durand, M Sondergaard","IRMBAM Nice, FR, 2019",2019
Durand M. & Sondergaard M. “Can Cultural Friction move from Armchair Concept to Field Measurement? The case of cross border Merger and Acquisitions.”,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:Tyk-4Ss8FVUC,"M Durand, M Sondergaard","EIBA, Leeds, UK, 2019",2019
Ces frictions culturelles qui mènent à l’échec des fusions-acquisitions internationales,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:2osOgNQ5qMEC,M Durand,"The Conversation, 2019",2019
"Perceptions of middle managers in CBM&AS: culture friction, trust, and post-merger identification as antecedents of work affective commitment during post-merger integration.",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:zYLM7Y9cAGgC,"M Durand, R Diaz-Pichardo","EIBA Poznan, PL, 2018",2018
Fresh eyes on cultural distance in cross border mergers and acquisitions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:IjCSPb-OGe4C,M Durand,"EIBA,  Milano, IT, 2017",2017
"Cultural friction in cross border acquisitions: A moderating effect of managerial perceptions on new firm identification, and job motivation: A survey on middle managers in …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:UeHWp8X0CEIC,M Durand,"EIBA, Vienna, AU, 2016",2016
"Old bottles, new content… How critical incidents can be used to open up the hidden dimension of post merger integration in a systematic way?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:qjMakFHDy7sC,M Durand,"EGOS Rotterdam, 2014",2014
"The Global M&A Tango: How to Reconcile Cultural Differences in Mergers, Acquisitions, and Strategic Partnerships",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZyidVQAAAAJ&pagesize=100&citation_for_view=9ZyidVQAAAAJ:9yKSN-GCB0IC,M Durand,"Cross Cultural Management: An International Journal, 2012",2012
,,,,
