title,link,authors,publication,article_year
The role of attachment in building consumer‐brand relationships: an empirical investigation in the utilitarian consumption context,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:bnK-pcrLprsC,"S Belaid, AT Behi","Journal of Product & Brand Management, 2011",2011
Quelle (s) mesure (s) pour l'attachement à la marque?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:tS2w5q8j5-wC,"J Lacoeuilhe, S Belaïd","Revue Française du Marketing, 7, 2007",2007
Mesure de l’attitude à l’égard de la MDD: nouvelles perspectives,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:_xSYboBqXhAC,"S Belaid, J Lacœuilhe","Revue française du marketing 252 (2-4), 41-54, 2015",2015
The development of trust over time in an emerging market context: the case of the Tunisian automotive sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:LkGwnXOMwfcC,"T Mandják, S Belaid, P Naudé","Journal of Business & Industrial Marketing, 2019",2019
L'image du Pays: proposition d'une échelle de mesure,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:dhFuZR0502QC,S Belaid,"La Revue des Sciences de Gestion: Direction et Gestion, 141, 2006",2006
Are brand benefits perceived differently in less developed economies? A scale development and validation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:ns9cj8rnVeAC,"S Belaid, SB Mrad, J Lacoeuilhe, M Petrescu","Journal of Marketing Analytics 5 (3), 111-120, 2017",2017
Une validation interculturelle de l’échelle d’attachement à la marque,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:u9iWguZQMMsC,"S Belaïd, J Lacoeuilhe","Actes du XXIème Congrès de l’Association Française de Marketing, 18-20, 2005",2005
The impact of institutional changes on the Tunisian auto parts aftermarket,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:roLk4NBRz8UC,"T Mandják, S Belaid, JA Narus","IMP Journal, 2018",2018
Repenser l'offre des MDD: le regard croisé des développeurs et des managers de rayon,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:YOwf2qJgpHMC,"S Belaid, P Breton, J Lacœuilhe","Revue Française du Marketing 257 (3-4), 2016",2016
Do we build store loyalty through store brands or store brands through store loyalty?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BcTSDckAAAAJ&pagesize=100&citation_for_view=BcTSDckAAAAJ:Tyk-4Ss8FVUC,"S Belaid, AT Behi, DF Belaid, J Lacoeuilhe","International Conference on advances in national brand and private label …, 2019",2019
