title,link,authors,publication,article_year
The many faces of entrepreneurial failure: Insights from an empirical taxonomy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:M0leSnx2MbUC,N Khelil,"Journal of business venturing 31 (1), 72-94, 2016",2016
Repenser l’échec entrepreneurial des petites entreprises émergentes: Proposition d’une typologie s’appuyant sur une approche intégrative,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:u-x6o8ySG0sC,"A Smida, N Khelil","Revue Internationale PME 23 (2), 65-106, 2010",2010
Contribution à la compréhension de l'échec des nouvelles entreprises: exploration qualitative des multiples dimensions du phénomène,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:9yKSN-GCB0IC,"N Khelil, A Smida, M Zouaoui","Revue de l'Entrepreneuriat 11 (1), 39-72, 2012",2012
Représentations que se font les dirigeants de la performance de leur jeune entreprise technologique innovante (JETI). Approche exploratoire basée sur la cartographie cognitive,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:2osOgNQ5qMEC,"S Khiari, N Khelil, M Zouaoui, A Smida","Revue de l’Entrepreneuriat 10 (3), 33-65, 2011",2011
Exploring the Different Patterns of Entrepreneurial Exit : the Causes and  Consequences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:FiytvqdAVhgC,"M Hammer, N Khelil","59th annual conference of the International Council for Small Business (ICSB), 2014",2014
Contribution à la compréhension de l’échec entrepreneurial : vers une taxonomie empirique axée sur la dialogique entrepreneur/nouvelle entreprise,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:W7OEmFMy1HYC,N Khelil,"IAE - Université de Caen Basse-Normandie, 2011",2011
Une investigation des facteurs d’échec d’une entreprise récemment créée : utilisation de l’analyse structurelle pour étudier la carte cognitive du fondateur,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:d1gkVwhDpl0C,"N Khelil, A Smida","1re Conférence Internationale : Culture entrepreneuriale et création d …, 2008",2008
Repenser l’échec entrepreneurial des nouvelles entreprises. Proposition d’une typologie en s’appuyant sur une approche intégrative,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:u5HHmVD_uO8C,"A Smida, N Khelil","9ème Congrès International Francophone en Entrepreneuriat et PME, Louvain la …, 2008",2008
What are we talking about when we talk about entrepreneurial failure?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:WF5omc3nYNoC,N Khelil,"RENT XXVI - Research in Entrepreneurship and Small Business, Lyon, 2012",2012
Creativity within boundaries: Social identity and the development of new ideas in franchise systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DP_OufkAAAAJ&pagesize=100&citation_for_view=DP_OufkAAAAJ:QaSi33NTfwYC,"F Simon, C Allix‐Desfautaux, N Khelil, AL Le Nadant","Creativity and Innovation Management 27 (4), 444-457, 2018",2018
