title,link,authors,publication,article_year
Why should we ask binge drinkers if they smoke cannabis? Additive effect of alcohol and cannabis use on college students’ neuropsychological performance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:LkGwnXOMwfcC,"S Deniel, M Mauduy, C Cheam-Bernière, N Mauny, C Montcharmont, ...","Addictive Behaviors Reports 14, 100362, 2021",2021
What really matters in binge drinking: A dominance analysis of binge drinking psychological determinants among University students,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:MXK_kJrjxJIC,"J Mange, M Mauduy, C Sénémeaud, V Bagneux, N Cabé, D Jacquet, ...","Addictive behaviors reports 13, 100346, 2021",2021
"Alcohol Use and Binge Drinking among First-Year University Students: Prevalence, Risk Factors and the COVID-19 Health Crisis Effect",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:8k81kl-MbHgC,"N Mauny, M Mauduy, J Mange, H Beaunieux","18th European Society for Biomedical Research on Alcoholism congress, 2021",2021
A Dominance Analysis Approach Applied to Psychological Factors Associated with Binge Drinking among University Students,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:ufrVoPGSRksC,"M Mauduy, F Gierski, V Bagneux, N Cabe, D Jacquet, P Leconte, ...","18th European Society for Biomedical Research on Alcoholism congress, 2021",2021
Unmasking School Bullying Witnesses: Five Different Psychological Profiles related to Intention to Defend Victims,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:UebtZRa9Y70C,"M Mauduy, V Bagneux, C Sénémeaud","School Psychology Review, 1-19, 2021",2021
Rôle (s) des Stratégies Comportementales de Protection dans le Binge Drinking chez les Etudiants à l'Université: Modérateur ou Médiateur des Déterminants Psychologiques?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:0EnyYjriUFMC,"M Mauduy, A Couillaud, B Guillotte, J Mange","16ème Journées d’étude du Groupe de REflexion en psychoPAthologie COgnitive …, 2021",2021
La Dépendance au Tabac chez les Etudiants à l'Université: Une Approche en Cluster pour Identifier des Profils Psychologiques de Fumeurs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:hqOjcs7Dif8C,"M Mauduy, N Mauny, J Mange","16ème Journées d’étude du Groupe de REflexion en psychoPAthologie COgnitive …, 2021",2021
Comment favoriser le vivre ensemble au collège? Deux stratégies psychosociales promouvant l’aide aux victimes de harcèlement scolaire,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:5nxA0vEk-isC,M Mauduy,"3ème édition des Journées de l’Ecole Doctorale 556 HSRT, 2021",2021
"Profils psychologiques, dépendance et intention d’arrêt chez les étudiant. es fumeur. se. s: Une approche par analyse en cluster",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:_FxGoFyzp5QC,"M Mauduy, N Mauny, J Mange","14ème Congrès de la Société Francophone de Tabacologie [en ligne], 2020",2020
Harcèlement scolaire: prendre le risque de déshumaniser,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Db4aA10AAAAJ&pagesize=100&citation_for_view=Db4aA10AAAAJ:eQOLeE2rZwMC,"P Rasset, M Mauduy","2ème édition des Journées de l’Ecole Doctorale 556 HSRT, 2020",2020
