title,link,authors,publication,article_year
Destination branding and overtourism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:_FxGoFyzp5QC,"H Séraphin, M Zaman, S Olver, S Bourliataux-Lajoinie, F Dosquet","Journal of Hospitality and Tourism Management 38, 1-4, 2018",2018
Community based festivals as a tool to tackle tourismphobia and antitourism movements,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:LkGwnXOMwfcC,"H Séraphin, V Gowreesunkar, M Zaman, S Bourliataux-Lajoinie","Journal of Hospitality and Tourism Management 39, 219-223, 2018",2018
Weight of criteria in hotel selection: An empirical illustration based on TripAdvisor criteria,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:u5HHmVD_uO8C,"M Zaman, L Botti, TV Thanh","European Journal of Tourism Research 13 (1), 132-138, 2016",2016
How does hotel employees’ satisfaction with the organization’s COVID-19 responses affect job insecurity and job performance?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:ULOm3_A8WrAC,"T Vo-Thanh, TV Vu, NP Nguyen, DV Nguyen, M Zaman, H Chi","Journal of Sustainable Tourism 29 (6), 907-925, 2020",2020
Does managerial efficiency relate to customer satisfaction? The case of Parisian boutique hotels,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:u-x6o8ySG0sC,"M Zaman, L Botti, TV Thanh","International Journal of Culture, Tourism and Hospitality Research 10 (4 …, 2016",2016
Limitations of Trexit (tourism exit) as a solution to overtourism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:UebtZRa9Y70C,"H Seraphin, V Gowreesunkar, M Zaman, T Lorey","Worldwide Hospitality and Tourism Themes, 2019",2019
"COVID-19, frontline hotel employees’ perceived job insecurity and emotional exhaustion: Does trade union support matter?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:aqlVkmm33-oC,"T Vo-Thanh, TV Vu, NP Nguyen, DV Nguyen, M Zaman, H Chi","Journal of Sustainable Tourism 30 (6), 1159-1176, 2022",2022
"Challenging the negative image of postcolonial, post-conflict and post-disaster destinations using events: The case of Haiti",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:8k81kl-MbHgC,"H Séraphin, M Zaman, A Fotiadis","Caribbean Quarterly 65 (1), 88-112, 2019",2019
The contribution of all-women tours to well-being in middle-aged Muslim women,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:_kc_bZDykSQC,"A Nikjoo, M Zaman, S Salehi, AB Hernández-Lara","Journal of Sustainable Tourism, 1-16, 2021",2021
How a mobile app can become a catalyst for sustainable social business: The case of Too Good To Go,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:Wp0gIr-vW9MC,"T Vo-Thanh, M Zaman, R Hasan, RA Rather, R Lombardi, G Secundo","Technological Forecasting and Social Change 171, 120962, 2021",2021
Intégration des innovations Web: défi relevé pour les OGD français?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:qjMakFHDy7sC,"M Zaman, L Botti, JL Boulin, A Corne","Management Avenir, 163-184, 2017",2017
The potential of chatbots in travel and tourism services in the context of social distancing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:9ZlFYXVOiuMC,"R Hasan, B Koles, M Zaman, J Paul","International Journal of Technology Intelligence and Planning 13 (1), 63-83, 2021",2021
Tackling Overtourism and Related Perverse Impacts Using DMO Website as a Tool of Social Innovation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:MXK_kJrjxJIC,"M Zaman, T Vo Thanh, L Botti","Overtourism, 131-147, 2020",2020
Evènementiels dans la Caraïbe: Atouts et limites pour le tourisme et le territoire,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:2osOgNQ5qMEC,H Seraphin,"Évènementiels dans la Caraïbe, 1-301, 2016",2016
Mobile channel as a strategic distribution channel in times of crisis: a self-determination theory perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:mVmsd5A6BfQC,"M Zaman, T Vo-Thanh, R Hasan, M Mohiuddin Babu","Journal of Strategic Marketing, 1-16, 2021",2021
Adoption des innovations TIC dans les organismes de gestion des destinations: Comment relever les défis des nouvelles compétences ?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:zYLM7Y9cAGgC,"M Zaman, L Botti, N Peypoch","Le tourisme : un domaine de compétence partagé, 171-184, 2018",2018
The service digitalization in fine-dining restaurants: a cost-benefit perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:qUcmZB5y_30C,"T Vo-Thanh, M Zaman, R Hasan, S Akter, T Dang-Van","International Journal of Contemporary Hospitality Management, 2022",2022
At the intersection of tourism social entrepreneurship and empathy: Development and validation of an empathy scale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:7PzlFSSx8tAC,"M Sharifi-Tehrani, S Seyfi, M Zaman","Journal of Business Research 141, 433-447, 2022",2022
The role of perceived workplace safety practices and mindfulness in maintaining calm in employees during times of crisis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:ZeXyd9-uunAC,"TV Vu, T Vo‐Thanh, H Chi, NP Nguyen, DV Nguyen, M Zaman","Human Resource Management, 1-19, 2022",2022
The psychological reassurance effect of mobile tracing apps in Covid-19 Era,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:L8Ckcad2t8MC,"F Kurtaliqi, M Zaman, R Sohier","Computers in Human Behavior, 107210, 2022",2022
8 Kid-friendly digital communication for hotels and service adaptation: Empirical evidence from family hotels,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DgrxQGwAAAAJ&pagesize=100&citation_for_view=DgrxQGwAAAAJ:kNdYIx-mwKoC,"M Zaman, T Dauxert, N Michael","Children in Hospitality and Tourism: Marketing and Managing Experiences 4, 123, 2020",2020
