title,link,authors,publication,article_year
The DUC model and the stages of the project marketing process,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:9ZlFYXVOiuMC,"T Mandják, Z Veres","14th IMP annual conference proceedings 3, 471-90, 1998",1998
Understanding the non-economic value of business relationships,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:RHpTSmoSYBkC,"T Mandják, F Durrieu","16th IMP Conference, 7-9, 2000",2000
Emerging relationships: how are they born?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:5nxA0vEk-isC,"T Mandják, Z Szalkai, E Neumann-Bódi, M Magyar, J Simon","Industrial Marketing Management 49, 32-41, 2015",2015
How can economic sociology help business relationship management?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:JV2RwH3_ST0C,"T Mandják, Z Szántó","Journal of Business & Industrial Marketing, 2010",2010
Business Relationships as Value Driver?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:WF5omc3nYNoC,"Á Wimmer, T Mandják","Bordeaux Ecole de Management, 2002",2002
"A framework for the analysis of global, regional and local business networks",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:L8Ckcad2t8MC,"T Mandják, J Simon, Z Szalkai","Industrial Marketing Management 40 (6), 822-829, 2011",2011
Collecting rich qualitative data on business relationships and networks in CEE countries: Challenges and plausible solutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:MXK_kJrjxJIC,"M Ivanova-Gongne, N Koporcic, O Dziubaniuk, T Mandják","Industrial Marketing Management 70, 193-204, 2018",2018
Cognitive Mapping Methodology for Understanding Business Relationship Value,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:yD5IFk8b50cC,"T Bouzdine-Chameeva, F Durrieu, T Mandjak","Imp Conference proceedings. Oslo, Norway, 2001",2001
Port marketing from a multidisciplinary perspective: A systematic literature review and lexicometric analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:Wp0gIr-vW9MC,"T Mandják, A Lavissière, J Hofmann, Y Bouchery, MC Lavissière, O Faury, ...","Transport Policy 84, 50-72, 2019",2019
First steps of the empirically test of the Integrated Business Relationship Value Model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:7PzlFSSx8tAC,"T MANDJÁK¹, J Simon",,2007
Trigger issues in emerging relationships,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:0EnyYjriUFMC,"T Mandják, Z Szalkai, E Neumann-Bódi, M Magyar, J Simon","Industrial Marketing Management 58, 137-147, 2016",2016
The key role of infrastructure in backshoring operations: the case of free zones,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:4JMBOYKVnBMC,"A Lavissière, T Mandják, L Fedi","Supply Chain Forum: An International Journal 17 (3), 143-155, 2016",2016
"An integrated concept on the value of business relationships, How could it be useful",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:ufrVoPGSRksC,"T Mandják, J Simon","20th IMP Annual Conference, Copenhagen, Denmark, www. impgroup. org, 1-32, 2004",2004
Marketing-szemléletmód és az üzleti kapcsolatok (Marketing-outlook and business relations),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:_Qo2XoVZTnwC,T Mandják,"Vezetéstudomány-Budapest Management Review 36 (5), 14-24, 2005",2005
Dzsungel vagy esőerdő? Az üzleti kapcsolatok hálózata,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:Y0pCki6q_DkC,"A Gelei, T Mandják","Budapest: Akadémiai Kiadó, 2011",2011
Business-to-business marketing research: Assessing readability and discussing relevance to practitioners,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:zA6iFVUQeVQC,"O Dziubaniuk, W Barner-Rasmussen, N Koporcic, M Ivanova-Gongne, ...","Industrial Marketing Management 92, 217-231, 2021",2021
Typology of business relationships using buyers' and suppliers' perceptions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:J_g5lzvAfSwC,"T Mandják, J Henseler, J Simon, Z Szalkai",,2012
Az üzleti kapcsolatok értéke,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:mB3voiENLucC,T Mandják,"PhD Disszertáció, BKÁE Gazdálkodástudományi Kar, Marketing tanszék, 2002",2002
Perception and practice of the supplier relationship management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:hMod-77fHWUC,"Á Wimmer, T Mandják, B Esse","26th IMP Conference in Budapest, Hungary, 2010",2010
The development of trust over time in an emerging market context: the case of the Tunisian automotive sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:IjCSPb-OGe4C,"T Mandják, S Belaid, P Naudé","Journal of Business & Industrial Marketing, 2019",2019
The influence of economic crises on network behavior,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:70eg2SAEIzsC,"T Mandják, A Wimmer, F Durrieu","Journal of Business & Industrial Marketing, 2017",2017
A beszerzési magatartástól az üzleti kapcsolatok marketingjéig,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:UeHWp8X0CEIC,T Mandják,"Vezetéstudomány-Management and Business Journal 31 (4), 51-59, 2000",2000
Phoenix in the Network: The Genesis of a Hungarian Industrial Company.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:LkGwnXOMwfcC,"T Mandják, Z Szalkai, E Neumann-Bódi, M Magyar, J Simon","IMP Journal 8 (3), 2014",2014
The Relationship among trust conflicts and perceived satisfaction in B2B context,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:ZHo1McVdvXMC,"N Piriez, T Mandják","28th Annual IMP Conference, Rome, 2012",2012
The value of business relationship,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:4DMP91E08xMC,T Mandják,"PhD. Dissertation, Budapest, Budapest University of Economic sciences, 2003",2003
Gondolatok a projekt marketing kapcsán,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:3s1wT3WcHBgC,T Mandják,"Marketing & menedzsment 29 (4), 41-44, 1995",1995
Port marketing as manifestation of sustainable marketing in a B2B context,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:pqnbT2bcN3wC,"A Lavissiere, T Mandják, J Hofmann, L Fedi","Journal of Business & Industrial Marketing, 2019",2019
An old picture… or is it? The relations between business and political networks in Hungary,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:hC7cP41nSMkC,"T Mandják, J Simon","Imp Journal, 2016",2016
A hálózati pozíció és a versenyképesség kapcsolata,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:rO6llkc54NcC,"T Mandják, Á Wimmer, P Juhász","Vezetéstudomány 43 (2), 14-23, 2012",2012
Understanding Institutional Markets from a Network Perspective: Empirical Findings about the Hospital Market in Hungary,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:mVmsd5A6BfQC,"T Mandják, J Simon, Z Szalkai","22nd IMP Conference, Conference Proceedings 7 (9), 2006",2006
"Az üz leti kapcsolatok, mint értékteremtő tényezők?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:roLk4NBRz8UC,"Á Wimmer, T Mandják","Budapesti Közgazdaságtudományi és Államigazgatási Egyetem …, 2003",2003
Organizational learning of business relationship value by means of causal mapping,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:vV6vV6tmYwMC,"T Bouzdine-Chameeva, T Mandjàk, F Durrieu","Proceedings of the 3rd European Conference on Organisational Knowledge …, 2002",2002
Az üzleti kapcsolatok értéke,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:qxL8FJ1GzNcC,M Tibor,"PhD. Disszertáció, BKÁE, Gazdálkodástudományi Kar, 2002",2002
Úton egy fenntartható gazdasági paradigma felé–A komplexitás befogadása a hálózati elméleteken keresztül (Towards a sustainable economic paradigm–Acceptance of the complexity …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:u5HHmVD_uO8C,"A Köves, T Mandják","Vezetéstudomány-Budapest Management Review 45 (7-8), 69-75, 2014",2014
Az üzleti kapcsolatok marketingértelmezése,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:35N4QoGY0k4C,T Mandják,"Berács, J.–Lehota, J.–Piskóti, I.–Reketytye, G.(2004)(szerk …, 2004",2004
Understanding Relationship Value Applying a Cognitive Mapping Approach: A Customer Perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:BqipwSGYUEgC,"T Bouzdine-Chameeva, F Durrieu, T Mandjak","Assessing the Different Roles of Marketing Theory and Practice in the Jaws …, 2015",2015
A tranzakciós költségek elmélete és a társadalmi csereelmélet hatásai a bizalomra az ellátási láncban (Affects of Transaction cost and Social Exchange Constructs on trust In …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:ns9cj8rnVeAC,"N Piricz, SJ Hong, T Mandják","Vezetéstudomány-Budapest Management Review 44 (12), 2-13, 2013",2013
Az üzleti kapcsolatok menedzsmentjének gondolati modellje. És ez miért lehet fontos a vállalati vezetők számára?(The conceptual model of management of business relations–and …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:lSLTfruPkqcC,"T Mandják, Z Szántó","Vezetéstudomány-Budapest Management Review 42 (1), 5-16, 2011",2011
To solve the impossible: From necessity to success with the help of business network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:maZDTaKrznsC,"T Mandják, K Bárdos, E Neumann-Bódi, S Németh, J Simon","IMP Journal 5 (3), 212-223, 2011",2011
Néhány gondolat a marketingről és az üzleti kapcsolatokról,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:3fE2CSJIrl8C,T Mandják,"Budapesti Corvinus Egyetem, Vállalatgazdaságtan Intézet, 2005",2005
Marketing meaning of business relationships,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:Zph67rFs4hoC,T Mandják,"Marketing theory and practice, A Hungarian perspective, Budapest, Akadémiai …, 2004",2004
Mit gondolnak a vállalatvezetők az üzleti kapcsolatok értékéről?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:u-x6o8ySG0sC,"T Mandják, J Simon, Z Lantos","Vezetéstudomány-Budapest Management Review 35 (1), 48-56, 2004",2004
Different perceptions of business relationship value,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:RGFaLdJalmkC,"T Mandják¹, T Bouzdine-Chameeva, F Durrieu",,2002
The impact of institutional changes on the Tunisian auto parts aftermarket,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:zYLM7Y9cAGgC,"T Mandják, S Belaid, JA Narus","IMP Journal, 2018",2018
Különböző beszerzői magatartásminták a magyarországi kórházak körében (Behaviour of the Hungarian hospital in their relationship with drug suppliers.),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:aqlVkmm33-oC,"J Simon, T Mandják, Z Szalkai","Vezetéstudomány-Budapest Management Review 42 (2), 21-32, 2011",2011
Business relationships and game theory: Market co-operation and market competition as embedded prisoner’s dilemma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:9yKSN-GCB0IC,"T Mandjak, Z Szanto, J Simon, Z Szalkai","27th International IMP Conference, 2011",2011
"Interaction and complexity, navigation from Marseille to Budapest",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:D03iK_w7-QYC,"T Mandják, J Simon","Industrial Marketing Management 39 (6), 1038-1040, 2010",2010
The problem of matching in the SME sector–A focus on actor bonds,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:2P1L_qKh6hAC,"N PIRICZ¹, T MANDJÁK, J ZOLKIEWSKI",,2009
Analysis of Business Interactions and Values from the Buyer’s Side in the Hungarian Hospital Market,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:TFP_iSt0sucC,"J Simon, T Mandják, Z Szalkai","24th IMP Conference, Conference proceedings 4 (6), 2008",2008
Looking for a concept… Towards a better understanding of matching,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:QIV2ME_5wuYC,"T MANDJÁK¹, J Zolkiewski, N Piricz",,2007
Are business relationships institutions?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:bEWYMUwI8FkC,T Mandják,"Competitio 3 (1), 2004",2004
Hungarian tender buyers: Some results of an empirical research study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:NMxIlDl6LWMC,"T Mandjak, J Simon","Getting Better at Sensemaking, 2001",2001
Emergence of a higher education born global in Africa: The role of the business network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:isC4tDSrTZIC,"P Bueno Merino, A Lavissière, T Mandják","The International Journal of Entrepreneurship and Innovation 19 (3), 194-206, 2018",2018
Cultural aspects of trust in business relationships,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:_FxGoFyzp5QC,"N Piricz, T Mandjak, AJM Reddy, N Adama, R Upadhyaya, M Saxena, ...","International Journal of Business Insights & Transformation 9 (2), 4-10, 2016",2016
The Island that Should Be Isolated from Trade Routes: The Paradox of Free Ports,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:RYcK_YlVTxYC,"T MANDJÁK, A Lavissière","30th Annual Industrial Marketing and Purchasing Conference, Bordeaux …, 2014",2014
Emerging relationships: Where are they coming from?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:dhFuZR0502QC,"T MANDJÁK, Z SZALKAI, E NEUMANN-BÓDI, M MAGYAR, J SIMON","30th IMP-conference, 2014",2014
"Perception and Practice of the Supplier Relationship Management,[in:] The 26th IMP Conference: Business Networks Globality, Regionality, Locality, Budapest. 2010.09. 02-2010.09. 04",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:cFHS6HbyZ2cC,"Á Wimmer, T Mandják, B Esse","Corvinus University of Budapest, 1-12, 2010",2010
Understanding Relationship Value Applying a Cognitive Mapping Approach: A Customer Perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:_kc_bZDykSQC,"T Bouzdine-Chameeva, F Durrieu, T Mandják","Budapest University of Economics and Public Administration, Department of …, 2003",2003
Do you know me?(Do you love me…?) Some empirical findings of the Hungarian chemical buyers behaviour,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:M3NEmzRMIkIC,"T MANDJÁK, J Simon, L Sajtos","2001 17th IMP Annual Conference, Interactions, Relationships and Networks …, 2001",2001
Du comportament d'achat industriel au marketing des relations d'affaires,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:d1gkVwhDpl0C,T Mandjàk,"Revue française du marketing, 35-48, 1999",1999
An Integrated Concept on the Value of Business Relationships,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:HDshCWvjkbEC,"T MANDJÁK¹, J Simon",,
The business paradigm: explanation for patterns of business interactions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:f2IySw72cVMC,"G Leszczyński, T Mandjak, T Margitay, M Zieliński","Journal of Business & Industrial Marketing, 2021",2021
The knowledge interconnection process: evidence from contract manufacturing relationships,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:fPk4N6BV_jEC,"T Mandják, Z Szalkai, E Hlédik, E Neumann-Bódi, M Magyar, J Simon","Journal of Business & Industrial Marketing, 2021",2021
Construction projects as vehicles for health care innovation?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:dfsIfKJdRG4C,"J Simon, B Révész, T Mandják, Z Szalkai, E Hetesi","The Connectivity of Innovation in the Construction Industry, 143-172, 2019",2019
Influence of the crises on the mobilisation in business networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:YsMSGLbcyi4C,"T MANDJÁK, F DURRIEU","The 30th IMP-conference, 1-18, 2014",2014
A business-to-business love story? Relational Attractiveness (RA) and its impact on the firms' ability to build up and maintain new business relationships,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:IWHjjKOFINEC,"Z Tóth, SC Henneberg, P Naudé, T Mandják","28th International Marketing and Purchasing Group (IMP) Conference, Rome, 1-17, 2012",2012
DO HUNGARIAN SUPPLY CHAIN MEMBERS TRUST IN EACH OTHER?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DtnlwoAAAAAJ&pagesize=100&citation_for_view=DtnlwoAAAAAJ:kNdYIx-mwKoC,"T Mandják, N Piricz, G Kővágó","26th IMP Conference in Budapest, 2010",2010
