title,link,authors,publication,article_year
Pituitary adenylate cyclase-activating polypeptide and its receptors: 20 years after the discovery,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:RHpTSmoSYBkC,"D Vaudry, A Falluel-Morel, S Bourgault, M Basille, D Burel, O Wurtz, ...","Pharmacological reviews 61 (3), 283-357, 2009",2009
Hypothalamic tanycytes are an ERK-gated conduit for leptin into the brain,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:ufrVoPGSRksC,"E Balland, J Dam, F Langlet, E Caron, S Steculorum, A Messina, S Rasika, ...","Cell metabolism 19 (2), 293-301, 2014",2014
Pituitary adenylate cyclase-activating polypeptide protects rat cerebellar granule neurons against ethanol-induced apoptotic cell death,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:W7OEmFMy1HYC,"D Vaudry, C Rousselle, M Basille, A Falluel-Morel, TF Pamantung, ...","Proceedings of the National Academy of Sciences 99 (9), 6398-6403, 2002",2002
Pituitary adenylate cyclase‐activating polypeptide prevents C2‐ceramide‐induced apoptosis of cerebellar granule cells,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:R3hNpaxXUhUC,"D Vaudry, A Falluel‐Morel, M Basille, TF Pamantung, M Fontaine, ...","Journal of neuroscience research 72 (3), 303-316, 2003",2003
"Developmental mercury exposure elicits acute hippocampal cell death, reductions in neurogenesis, and severe learning deficits during puberty",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:roLk4NBRz8UC,"A Falluel‐Morel, K Sokolowski, HM Sisti, X Zhou, TJ Shors, ...","Journal of Neurochemistry 103 (5), 1968-1981, 2007",2007
Opposite regulation of the mitochondrial apoptotic pathway by C2‐ceramide and PACAP through a MAP‐kinase‐dependent mechanism in cerebellar granule cells,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:8k81kl-MbHgC,"A Falluel‐Morel, N Aubert, D Vaudry, M Basille, M Fontaine, A Fournier, ...","Journal of neurochemistry 91 (5), 1231-1243, 2004",2004
"A cAMP-dependent, protein kinase A-independent signaling pathway mediating neuritogenesis through Egr1 in PC12 cells",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:WF5omc3nYNoC,"A Ravni, D Vaudry, MJ Gerdin, MV Eiden, A Falluel-Morel, BJ Gonzalez, ...","Molecular pharmacology 73 (6), 1688-1708, 2008",2008
Characterization of C3a and C5a receptors in rat cerebellar granule neurons during maturation: neuroprotective effect of C5a against apoptotic cell death,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:_kc_bZDykSQC,"M Bénard, BJ Gonzalez, MT Schouft, A Falluel-Morel, D Vaudry, P Chan, ...","Journal of Biological Chemistry 279 (42), 43487-43496, 2004",2004
Selenoprotein T exerts an essential oxidoreductase activity that protects dopaminergic neurons in mouse models of Parkinson's disease,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:u5HHmVD_uO8C,"L Boukhzar, A Hamieh, D Cartier, Y Tanguy, I Alsharif, M Castex, A Arabo, ...","Antioxidants & redox signaling 24 (11), 557-574, 2016",2016
"Role of complement anaphylatoxin receptors (C3aR, C5aR) in the development of the rat cerebellum",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FsTjmgUAAAAJ&pagesize=100&citation_for_view=FsTjmgUAAAAJ:Tyk-4Ss8FVUC,"M Bénard, E Raoult, D Vaudry, J Leprince, A Falluel-Morel, BJ Gonzalez, ...","Molecular immunology 45 (14), 3767-3774, 2008",2008
