title,link,authors,publication,article_year
Managing brand associations to drive customers’ trust and loyalty in Vietnamese banking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:2osOgNQ5qMEC,"KN Phan, N Ghantous","International Journal of Bank Marketing, 2013",2013
Emotions' impact on tourists' satisfaction with ski resorts: The mediating role of perceived value,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:d1gkVwhDpl0C,"L Bonnefoy-Claudet, N Ghantous","Journal of Travel & Tourism Marketing 30 (6), 624-637, 2013",2013
Conceptualizing franchisee-based brand equity: A framework of the sources and outcomes of the brand's added value for franchisees,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:9yKSN-GCB0IC,"N Ghantous, F Jaolis","International Business Research 6 (2), 112, 2013",2013
Brand internationalization strategy beyond the standardization/adaptation dichotomy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:u5HHmVD_uO8C,"N Ghantous, III Aix-Marseille","Thought Leaders International Conference on Brand Management, 15-16, 2008",2008
The impact of services brand personality on consumer–brand relationship quality,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:eQOLeE2rZwMC,N Ghantous,"Services Marketing Quarterly 37 (3), 185-199, 2016",2016
The differential and synergistic effects of market orientation and entrepreneurial orientation on hotel ambidexterity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:LkGwnXOMwfcC,"N Ghantous, I Alnawas","Journal of Retailing and Consumer Services 55, 102072, 2020",2020
International franchising and performance: a resource-based perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:ufrVoPGSRksC,"N Ghantous, SS Das","International Journal of Retail & Distribution Management, 2018",2018
Governance capabilities and relationship performance in international franchising,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:WF5omc3nYNoC,"N Ghantous, SS Das, F Chameroy","Journal of Retailing and Consumer Services 40, 19-30, 2018",2018
Franchising brand benefits: An integrative perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:roLk4NBRz8UC,"N Ghantous, G Christodoulides","Industrial Marketing Management 91, 442-454, 2020",2020
When does uncertainty avoidance promote customer-to-customer intercultural service encounters?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GVdUNXcAAAAJ&pagesize=100&citation_for_view=GVdUNXcAAAAJ:_FxGoFyzp5QC,"N Ghantous, AA Maher","International Marketing Review, 2018",2018
