title,link,authors,publication,article_year
A Conceptual model for success in implementing knowledge management: A case study in Tehran municipality,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:u5HHmVD_uO8C,"M Ansari, HR Youshanlouei, MM Mood","Scientific Research Publishing, 2012",2012
"Assessment of level of knowledge, attitude and practice of employed nurses to nosocomial infection in teaching hospitals of Golestan University of Medical Sciences (2000)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:e_rmSamDkqQC,"AA Abdollahi, H Rahmani, N Behnampour","Journal of Gorgan University of Medical Sciences 5 (1), 80-86, 2003",2003
Identifying and ranking the effective factors on selecting Enterprise Resource Planning (ERP) system using the combined Delphi and Shannon Entropy approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:u-x6o8ySG0sC,"MB Asl, A Khalilzadeh, HR Youshanlouei, MM Mood","Procedia-Social and Behavioral Sciences 41, 513-520, 2012",2012
A hybrid MCDM approach for solving the ERP system selection problem with application to steel industry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:9yKSN-GCB0IC,"A Jafarnejad, M Ansari, HR Youshanlouei, M Mood","International Journal of Enterprise Information Systems (IJEIS) 8 (3), 54-73, 2012",2012
A multi-stage approach to enterprise resource planning system selection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:d1gkVwhDpl0C,"HR Feili, MM Mood, HR Youshanlouei, N Sarabi","African journal of business management 6 (31), 9105-9117, 2012",2012
Identifying the Factors and Developing the Human Resource Empowerment Conceptual Model in ICT Ministry (Case Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:xtoqd-5pKcoC,"M Ansari, H Rahmany Youshanlouei, V Oskuei, A Hosseini","Journal of Public Administration 3 (7), 23-40, 2011",2011
Identifying Factors Influencing the Selection of Enterprise Resource Planning Systems from Expert Views,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:ufrVoPGSRksC,"M Behboudi Asl, H Rahmany Youshanlouei, M Ansari, M Mirkazemi Mood","Journal of Information Technology Management 4 (12), 1-22, 2012",2012
Identifying and ranking the critical success factors in the Implementation of knowledge management using the DELPHI method: a case study of the Municipality of 22th district of …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:HbR8gkJAVGIC,"M Ansari, H Rahmany Youshanlouei, M Mirkazemi Mood, N Sarabi, ...","12th European Conference on Knowledge Management. University of Passau. Germany, 2011",2011
شناسايي عوامل و طراحي مدل مفهومي توانمندسازي نيروي انساني در وزارت ارتباطات و فناوري اطلاعات (مطالعه موردي)‎,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:Zph67rFs4hoC,"انصاري منوچهر, اسكويي وحيد, حسيني احد‎","مديريت دولتي (دانش مديريت) 3 (7), 23-40, 0‎",
"Teleworking Technology Adoption in Organizations: Explaining the Role of Social Influence, Motivation and Facilitating Conditions",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:UebtZRa9Y70C,"A Alirezaei, J Jabarzadeh, E Haji Akhoondi, H RahmanyYoushanlouei","Journal of Information Technology Management 5 (3), 105-122, 2013",2013
Designing evaluation framework of readiness for establishing knowledge management system in organizations according to critical success factors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:VaXvl8Fpj5cC,"M Ansari, H Rahmani-Vashanloui, K Rahmani, A Hosseini, H Hasankhani","Quarterly Journal for Management and Development Process 26 (1), 61-86, 2013",2013
Modeling relationship between R&D activities and organization knowledge stock using system dynamics approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:kuK5TVdYjLIC,"A Mohaghar, M Mirkazemi Mood, H Rahmany Youshanlouei","Iranian Journal of Information processing and Management 28 (1), 149-179, 2012",2012
A framework to evaluate customer knowledge co-creation capacity for new product development,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:2osOgNQ5qMEC,"A Mohaghar, A Jafarnejad, MM Mood, HR Youshanlouei","African Journal of Business Management 6 (21), 6401-6414, 2012",2012
Submitting a decision support model for selecting among information technology systems in fuzzy environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:eQOLeE2rZwMC,"M ANSARI, YH RAHMANI, MM MIRKAZEMI, ASLM BEHBOODI","QUANTITATIVE RESEARCHES IN MANAGEMENT 2 (4), 31-46, 2012",2012
Effect of professional ethics on the loyalty of bank customers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:IjCSPb-OGe4C,"M AANSARI, A Hosseini, YH RAHMANY, S SEIFI","ETHICS IN SCIENCE & TECHNOLOGY 7 (3), 0-0, 2012",2012
THE INFLUENCE OF INTERNAL MARKETING ON MARKET ORIENTATION CONSIDERING MEDIATORY VARIABLES OF ORGANIZATIONAL COMMITMENT AND ORGANIZATIONAL CITIZENSHIP BEHAVIOR: THE CASE OF BANK …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=H6_9aUcAAAAJ&pagesize=100&citation_for_view=H6_9aUcAAAAJ:qjMakFHDy7sC,"T HASANGHOLIPOUR, M ANSARI, GOLA ELAHI, YH RAHMANI","NEW MARKETING RESEARCH JOURNAL 2 (14), 25-45, 2012",2012
