title,link,authors,publication,article_year
Relevance of the Northern Sea Route (NSR) for bulk shipping,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:u5HHmVD_uO8C,"C Pierre, F Olivier","Transportation Research Part A: Policy and Practice 78, 337-346, 2015",2015
The Northern Sea Route competitiveness for oil tankers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:u-x6o8ySG0sC,"O Faury, P Cariou","Transportation Research Part A Policy and Practice 94, 461-469, 2016",2016
The impact of the Polar Code on risk mitigation in Arctic waters: a “toolbox” for underwriters?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:2osOgNQ5qMEC,"L Fedi, O Faury, D Gritsenko","Maritime Policy & Management 45 (4), 478-494, 2018",2018
The feasibility of Arctic container shipping: the economic and environmental impacts of ice thickness,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:Se3iqnhoufwC,"P Cariou, O Faury, A Cheaitou, S Hamdan","Maritime Economics & Logistics, 1-17, 2019",2019
Mapping and analysis of maritime accidents in the Russian Arctic through the lens of the Polar Code and POLARIS system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:8k81kl-MbHgC,"L Fedi, O Faury, L Etienne","Marine Policy 118, 2020",2020
Port marketing from a multidisciplinary perspective: A systematic literature review and lexicometric analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:zYLM7Y9cAGgC,"T Mandják, A Lavissière, J Hofmann, Y Bouchery, MC Lavissière, O Faury, ...","Transport Policy 84, 50-72, 2019",2019
"Arctic navigation: stakes, benefits and limits of the POLARIS system",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:Tyk-4Ss8FVUC,"L Fedi, L Etienne, O Faury, P Rigot-Muller, S Stephenson, A Cheaitou","The Journal of Ocean Technology 13 (4), 54-67, 2018",2018
Best maritime transportation option for the Arctic crude oil: A profit decision model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:0EnyYjriUFMC,"O Faury, A Cheaitou, P Givry","Transportation Research Part E: Logistics and Transportation Review 136, 2020",2020
The emerging cruise shipping industry in the arctic: Institutional pressures and institutional voids,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:roLk4NBRz8UC,"G Cajaiba-Santana, O Faury, M Ramadan","Annals of tourism 80, 2019",2019
"Arctic shipping: Climate change, commercial traffic and port development",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:YsMSGLbcyi4C,"F Lasserre, O Faury","Routledge, 2019",2019
Les principaux enjeuxet impactsdu Code polaire OMI,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:d1gkVwhDpl0C,"laurent Fedi, O Faury","Droit Maritime Français, 2016",2016
Economic and environmental impacts of Arctic shipping: A probabilistic approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:kNdYIx-mwKoC,"A Cheaitou, O Faury, P Cariou, S Hamdan, G Fabbri","Transportation Research Part D: Transport and Environment 89, 102606, 2020",2020
Risk management in the Arctic from an underwriter's perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:qjMakFHDy7sC,O Faury,"International Association of Maritime Economics, 2015",2015
Ice thickness data in the northern sea route (NSR) for the period 2006–2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:W7OEmFMy1HYC,"A Cheaitou, O Faury, P Cariou, S Hamdan, G Fabbri","Data in brief 24, 103925, 2019",2019
Evolution of ice class investment attractiveness depending on climatic and economic conditions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:UeHWp8X0CEIC,"O Faury, P Givry","International Association of Maritime Economics, 2017",2017
From the USSR to the polar silk road: the rise of the strategic Russian Arctic port range,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:YOwf2qJgpHMC,"O Faury, A Yann, M Nicolas","Post-Communist Economies, 2021",2021
11 Free Ports as a tool to develop the navigation in the Arctic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:_FxGoFyzp5QC,"A Lavissière, O Faury","Arctic shipping: Climate change, commercial traffic and port development, 195, 2019",2019
Pour un un système portuaire national au service de la valorisation économique de l’Arctique Russe,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:hqOjcs7Dif8C,"Y Alix, O Faury","Regards Géopolitiques 5 (4), 2020",2020
Analysis of Murmansk as a gateway for the Arctic production,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:UebtZRa9Y70C,"O Faury, A Serry, R Kerbiriou, Y Alix","27th Annual IAME Conference, 2019",2019
An economic analysis on the NSR viability of an ice-class 1A oil tanker vessel,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:WF5omc3nYNoC,"P Cariou, O Faury","Arctic Shipping: Climate Change, Commercial Traffic and Port Development, 57, 2019",2019
10 Analysis of the Russian Arctic port system using AIS data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:eQOLeE2rZwMC,"O Faury, Y Alix, A Serry, R Kerbiriou, JF Pelletier","Arctic shipping: Climate change, commercial traffic and port development, 174, 2019",2019
Ship routing and scheduling for the assembly of a LNG plant in the arctic: a decision support system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:M3ejUd6NZC8C,"P Rigot-Müller, L Etienne, O Faury, S Stephenson","25th EUROMA Conference, 2018",2018
"Arctic Shipping: Climate Change, Commercial Traffic and Port Development",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:_kc_bZDykSQC,O Faury,"Routledge, 2019",2019
An analysis of the Arctic ports,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:ufrVoPGSRksC,"O Faury, B Daudet, PL Têtu, J Verny","Arctic Shipping: Climate Change, Commercial Traffic and Port Development, 159, 2019",2019
Mapping and analysis of maritime claims in the Russian Arctic based on POLARIS System,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:4TOpqqG69KYC,"L Fedi, O Faury, L Etienne, AF Le Vayer","27th Annual Conference of the International Association of Maritime Economists, 2019",2019
"Stakes, benefits, and limits of POLARIS system for arctic navigation",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:Y0pCki6q_DkC,"L Fedi, L Etienne, O Faury, P Rigot-Müller, S Stephenson, A Cheaitou","HAL Post-Print, 2018",2018
COVID‐19 as a catalyst of a new container port hierarchy in Mediterranean Sea and Northern Range,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:7PzlFSSx8tAC,"NM L.Fedi, O.Faury, P.Rigot-Muller","Maritime Economics & Logistics, 2022",2022
The role of polarseaworthiness in shipping planning for infrastructure projects in the Arctic: The case of Yamal LNG plant,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:9ZlFYXVOiuMC,"LF P Rigot-Muller, A Cheaitou, L Etienne, O Faury","transportation Research Part A: Policy and Practice 155, 330-353, 2022",2022
Arctic Ice Thickness Prediction using Artificial Neural Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:dhFuZR0502QC,"T Zaatar, A Cheaitou, O Faury","2021 14th International Conference on Developments in eSystems Engineering …, 2021",2021
Application and analysis of the IMO taxonomy on casualty investigation over 20 years of marine events in the Russian and Norwegian Arctic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:aqlVkmm33-oC,"L Fedi, O Faury, A Cheaitou, L Etienne, P Rigot-Muller","28th Annual Conference of the International Association of Maritime Economists, 2020",2020
The loading capacity of convoy for the transit of container along the Northeast Passage,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:qxL8FJ1GzNcC,"O Faury, A Cheaitou, L Etienne, L Fedi, P Rigot-Muller","28th Annual Conference of the International Association of Maritime Economists, 2020",2020
Belt and Road Initiative (BRI): a catalyst for the development of Russian transportation infrastructures.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:Zph67rFs4hoC,"NM O Faury, Y Alix","Evolving regional values and mobilities in global contexts - The emergence …, 2020",2020
L’impact de la gestion du risque sur l’attractivité du Passage du Nord-Est,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:3fE2CSJIrl8C,"L Fedi, O Faury, L Etienne, P Rigot-Muller, A Cheaitou, S Stephenson","Baltic-Arctic Strategic Perspective, 2019",2019
How attractive is the Northern Sea Route for container shipping? An economic model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:4DMP91E08xMC,"O Faury, A Cheaitou, L Etienne, L Fedi, P Rigot-Muller, S Stephenson","27th Annual Conference of the International Association of Maritime Economists, 2019",2019
Polaris: Quelle influence sur la sécurité de la navigation en Arctique?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:QIV2ME_5wuYC,"O Faury, L Fedi, L Etienne, P Rigot-Müller, S Stephenson, A Cheaitou","Journal de la Marine Marchande, 2019",2019
"Polaris, Quelle influence sur la sécurité de la navigation",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:MXK_kJrjxJIC,"F Olivier, L Fedi, L Etienne, P Rigot-Müller, S Stephenson, A Cheaitou","Journal de la Marine Marchande, 10-11, 2019",2019
Les enjeux et impacts du Code Polaire OMI,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:mVmsd5A6BfQC,"L Fedi, O Faury","Le Droit Maritime Français, 2016",2016
The Impact of the Polar Code on Risks Mitigation: a “Tool Box” for Underwriters,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:Wp0gIr-vW9MC,"L Fedi, O Faury","Artic Encounter January 15-16, 2016",2016
The Main Challenges and Effects of the Polar Code IMO,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IeGHNosAAAAJ&pagesize=100&citation_for_view=IeGHNosAAAAJ:9yKSN-GCB0IC,"L Fedi, O Faury","Rev. Rom. Drept Mar., 60, 2016",2016
,,,,
