title,link,authors,publication,article_year
Is SAM still alive? A bibliometric and interpretive mapping of the strategic alignment research field,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:eQOLeE2rZwMC,"A Renaud, M Walsh, Isabelle, Kalika","The Journal of Strategic Information Systems, 2016",2016
La théorie de la traduction revisitée ou la conduite du changement traduit. Application à un cas de fusion-acquisition nécessitant un changement de Système d'Information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:u5HHmVD_uO8C,"I Walsh, A Renaud","Management Avenir, 283-302, 2010",2010
Reviewing the literature in the IS field: Two bibliometric techniques to guide readings and help the interpretation of the literature,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:MXK_kJrjxJIC,"I Walsh, A Renaud","Systemes d'information management 22 (3), 75-115, 2017",2017
Business model research: A bibliometric analysis of origins and trends,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:Zph67rFs4hoC,"R Maucuer, A Renaud","M@ n@ gement 22 (2), 176-215, 2019",2019
The translated strategic alignment model: A practice-based perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:u-x6o8ySG0sC,"I Walsh, A Renaud, M Kalika","Systemes d'information management 18 (2), 37-68, 2013",2013
Traduire pour aligner: une analyse par les pratiques de la conduite de projets de reconfigurations de systemes d’information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:d1gkVwhDpl0C,A Renaud,"Université Paris Dauphine-Paris IX, 2012",2012
The lost Dimension of Strategic Alignment.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:qjMakFHDy7sC,"A Renaud, I Walsh","MCIS, 70, 2010",2010
20 years of academic publishing in m@ n@ gement: A bibliometric analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:ULOm3_A8WrAC,"A Renaud, R Maucuer","M@ n@ gement 21 (4), 1186-1212, 2018",2018
15 Years of Information System Design Science Research: A Bibliographic Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:Wp0gIr-vW9MC,"A Pascal, A Renaud",,2020
Business models de l’entreprise et ONG: contributions du portefeuille de partenariats,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:M3ejUd6NZC8C,"R Maucuer, A Renaud","Management international/International Management/Gestiòn Internacional 23 …, 2019",2019
Company's Business Models and NGOs: Inputs from the Partnerships Portfolio,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:_kc_bZDykSQC,"R Maucuer, A Renaud","Management international= International management= Gestión internacional 23 …, 2019",2019
Re-conceptualizing IS Strategic Alignment: the Translated Strategic Alignment Model (TSAM),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:UeHWp8X0CEIC,"M Kalika, I Walsh",,2010
An Examination of the Strategic Alignment Literature in IS through a Co-Citation Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:2osOgNQ5qMEC,"A Renaud, I Walsh, M Kalika",,2012
"Prospective strategic behaviour and IS coalignment, impact on performance, an alternative perspective",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:9yKSN-GCB0IC,"A Renaud, M Kalika","MCIS 2008 Proceedings, 20, 2008",2008
Business Model Research in the Information Systems Literature: A Review and a Research Agenda,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:IWHjjKOFINEC,"R Maucuer, A Renaud, Y Snihur, N Bojovic","Systèmes d'Information et Management (French Journal of Management …, 2020",2020
Business Models in the Information Systems Literature: State of the Art and Research Perspectives,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:7PzlFSSx8tAC,"R Maucuer, A Renaud, Y Snihur, N Bojovic","Systemes d'information management 25 (4), 5-28, 2020",2020
15 ans de recherche en Design Science: Une rétrospective bibliométrique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:4DMP91E08xMC,"A Pascal, A Renaud","AIM, 2019",2019
La théorie de la traduction revisitée ou la conduite du changement traduit,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:W7OEmFMy1HYC,"A Renaud, I Walsh","HAL Post-Print, 2010",2010
"Shareholding employees, the story of a neoliberal tool",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:hC7cP41nSMkC,A Renaud,"L'Economie politique, 101-112, 2021",2021
"La participation des salariés, itinéraire d’un outil néolibéral",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:L8Ckcad2t8MC,A Renaud,"L'Economie politique, 101-112, 2021",2021
CHAPITRE 6. Un réseau de connaissances,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:9ZlFYXVOiuMC,"I Walsh, A Renaud",,2021
Company’s Business Models and NGOs: Inputs from the Partnerships Portfolio [Business models de l’entreprise et ONG: contributions du portefeuille de partenariats],https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:4TOpqqG69KYC,"R Maucuer, A Renaud","HAL Post-Print, 2019",2019
Reviewing the literature in the IS field: Two bibliometric techniques to guide readings and help the interpretation of the literature,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:QIV2ME_5wuYC,"I Walsh, A Renaud","Systèmes d'Information et Management 22 (3), 4, 2019",2019
Comprendre la structuration du champ de la recherche en sciences du design en SI: une analyse de co-citation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:mVmsd5A6BfQC,"A Pascal, A Renaud","HAL Post-Print, 2017",2017
The Translated Strategic Alignment Model: A Practice-Based Perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:_FxGoFyzp5QC,"I Walsh, A Renaud, M Kalika","Systèmes d'Information et Management 18 (2), 3, 2015",2015
"l’alignement stratégique, 20 ans de développements théoriques: d’un modèle géométrique à une approche par le réseau",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:YOwf2qJgpHMC,A RENAUD,"Journée Nationale du GT EASY DIM 2014, 1, 2014",2014
An Examination of the Strategic Alignment Literature in IS through a Co-Citation Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:5nxA0vEk-isC,"M Kalika, A Renaud, I Walsh","HAL Post-Print, 2012",2012
La théorie de la traduction revisitée ou la conduite du changement traduit. Application à un cas de fusion-acquisition nécessitant un changement de Système d’Information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:Tyk-4Ss8FVUC,"A Renaud, I Walsh",,2010
The lost dimension of strategic alignment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:IjCSPb-OGe4C,"I Walsh, A Renaud",,2010
"Comportement stratégique, choix et gestion des systèmes d'information, une contribution à la performance",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:YsMSGLbcyi4C,A Renaud,"HAL Post-Print, 2009",2009
"Prospective strategic behavior and IS co-alignment, impact on performance. An alternative perspective",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:Y0pCki6q_DkC,"M Kalika, A Renaud","HAL Post-Print, 2008",2008
"Social Change at the French Railway Company: Creating Local and Central Work Councils, 1982–1986",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:Se3iqnhoufwC,A Renaud,"Le Mouvement Social, 101-118, 2001",2001
"2 nd Organizations, Artifacts and Practices (OAP) Workshop Materiality and Space in Management and Organization Studies",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=J1cWljgAAAAJ&pagesize=100&citation_for_view=J1cWljgAAAAJ:ufrVoPGSRksC,"N Mitev, FX de Vaujany, M Akrich, R Baskerville, JF Chanlat, S Clegg, ...",,
,,,,
