title,link,authors,publication,article_year
How the cryptocurrency market has performed during COVID 19? A multifractal analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:hMsQuOkrut0C,"E Mnif, A Jarboui, K Mouakhar","Finance research letters 36, 101647, 2020",2020
ICT dynamics for gender inclusive intermediary education: minimum poverty and inequality thresholds in developing countries,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:TIZ-Mc8IlK0C,"S Asongu, M Amari, A Jarboui, K Mouakhar","Telecommunications Policy 45 (5), 102125, 2021",2021
Après une décennie de « buzz » : quelle pertinence pour le concept de modèle d’affaires en stratégie?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:BrmTIyaxlBUC,K MOUAKHAR,"JFD éditions, 2012",2012
CEOs’ accounting-based attributes and earnings management strategies under mandatory IFRS adoption,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:Z5m8FVwuT1cC,"A Kouaib, A Jarboui, K Mouakhar","Journal of Applied Accounting Research, 2018",2018
Big data tools for Islamic financial analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:ILKRHgRFtOwC,"E Mnif, A Jarboui, MK Hassan, K Mouakhar","Intelligent Systems in Accounting, Finance and Management 27 (1), 10-21, 2020",2020
How do Open Source Software Companies Respond to Institutional Pressures? A Business Model Perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:kRWSkSYxWN8C,"K Mouakhar, A Tellier","JEIM 30 (4), 2017",2017
Comment concilier marchand et non-marchand: une taxonomie empirique des comportements stratégiques des SSLL,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:u-x6o8ySG0sC,"K Mouakhar, A Tellier","Systèmes d'information & management 2013 18 (3), 5-36, 2014",2014
The effect of sustainability performance and CSR on corporate tax avoidance with board gender diversity as mediating variable,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:KUbvn5osdkgC,"K Mouakhar, M Kachouri, R Riguen, A Jarboui","Recherches en Sciences de Gestion 138 (3), 303-339, 2020",2020
Blockchain technology awareness on social media: Insights from twitter analytics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:gsN89kCJA0AC,"E Mnif, K Mouakhar, A Jarboui","The Journal of High Technology Management Research 32 (2), 100416, 2021",2021
How combine market and non-market: an empirical taxonomy of OSSC’strategic behaviors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JmjHO0EAAAAJ&pagesize=100&citation_for_view=JmjHO0EAAAAJ:q3oQSFYPqjQC,"K Mouakhar, A Tellier","Systèmes d'Information et Management (French Journal of Management …, 2013",2013
