title,link,authors,publication,article_year
Big Bang Territorial: La réforme des régions en débat,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:hMod-77fHWUC,"A Torre, S Bourdin","Armand Colin, 2015",2015
Does lockdown work ? A spatial analysis of the spread and concentration of Covid-19 in Italy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:VL0QpB8kHFEC,"S Bourdin, J Ludovic, F Nadou, G Noiret","Regional Studies, 2021",2021
National and regional trajectories of convergence and economic integration in Central and Eastern Europe,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:M3NEmzRMIkIC,S BOURDIN,"Canadian Journal of Regional Science 38, 55-63, 2015",2015
Understanding the problems of biogas production deployment in different regions: territorial governance matters too,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:p2g8aNsByqUC,"S Bourdin, M Colas, F Raulin","Journal of Environmental Planning and Management 63 (9), 1655-1673, 2020",2020
Does the cohesion policy have the same influence on growth everywhere? A geographically weighted regression approach in Central and Eastern Europe,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:pyW8ca7W8N0C,S Bourdin,"Economic Geography 95 (3), 256-287, 2019",2019
The role of a local authority as a stakeholder encouraging the development of biogas: a study on territorial intermediation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:738O_yMBCRsC,"S Bourdin, F Nadou","Journal of Environmental Management 258, 110009, 2020",2020
Economic globalization and the COVID-19 pandemic: global spread and inequalities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:eflP2zaiRacC,"L Jeanne, S Bourdin, F Nadou, G Noiret","GeoJournal, 1-8, 2022",2022
"L’économie circulaire, quels enjeux de développement pour les territoires?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:BrmTIyaxlBUC,"A Niang, S Bourdin, A Torre","Développement durable et territoires. Économie, géographie, politique, droit …, 2020",2020
Pour une approche géographique de la convergence,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:2osOgNQ5qMEC,S Bourdin,"LEspace geographique 42 (3), 270-285, 2013",2013
La science régionale et la performance des politiques publiques: retour sur les méthodes d’évaluation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KFLFnasAAAAJ&pagesize=100&citation_for_view=KFLFnasAAAAJ:dfsIfKJdRG4C,"S Bourdin, E Ragazzi","Revue dEconomie Regionale Urbaine, 225-242, 2018",2018
