title,link,authors,publication,article_year
The long walk to knowledge: on the determinants of higher education mobility to Europe,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:feST4K8J0scC,"J Didisse, TT Nguyen-Huu, TAD Tran","The Journal of Development Studies 55 (6), 1099-1120, 2019",2019
"Impacts of Export-platform FDI on the production of upstream industries-Do third country size, trade agreements and local content requirement matter? Evidence from the …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:U5uP8zs9lfgC,"TT Nguyen-Huu, M Nguyen-Khac","Economics 11 (1), 2017",2017
Determinant factors of TFP convergence: Evidence from Vietnamese manufacturing firms from 2000-2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:BCdnXsLIVDwC,TT Nguyen-Huu,"HAL Post-Print, 2016",2016
L’investissement direct étranger d’exportation-plateforme: des facteurs de localisation aux impacts sur l'économie d'accueil: le cas des industries manufacturières au Vietnam,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:5VjbC5aozO0C,HTT Nguyen,,2011
Les effets des investissements directs étrangers de plateforme d’exportation sur les industries locales au Vietnam: Effet de concurrences et rétombées technologiques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:E8ajGqO0XoUC,"HTT Nguyen, M Kechidi, M Hattab-Christman","Régions et Développement 32, 179-202, 2010",2010
The role of environmental regulations and innovation in TFP convergence: Evidence from manufacturing SMEs in Viet Nam,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:ehoypfNsBj8C,"HTT Nguyen, NK Minh, TN Quoc","WIDER Working Paper, 2017",2017
The role of environmental regulations and innovation in TFP convergence: Evidence from manufacturing SMEs in Vietnam,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:WM2K3OHRCGMC,"TT Nguyen-Huu, M Nguyen-Khac, Q Tran-Nam","WIDER Working Paper Series, 2017",2017
Non-standard forms of employment in some Asian countries: A study of wages and working conditions of temporary workers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:L7vk9XBBNxgC,"HC Nguyen, TT Nguyen-Huu, Thi-Thuy-Linh Le","ILO, 2016",2016
Les impacts quantitatifs verticaux de l’investissement direct étranger d’exportation-plateforme: le cas des industries sous-traitantes du Vietnam,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:4E1Y8I9HL1wC,"A Minda, HTT Nguyen","Revue d'économie industrielle, 111-145, 2013",2013
"Impacts of export-platform FDI on backward linkages-Do third country size, trade agreements and heterogeneity of firms matter? Evidence from the Vietnamese supporting industries",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:bCjgOgSFrM0C,TT Nguyen-Huu,"Deutsche Nationalbibliothek, 2017",2017
A Note on the Internationalization Strategies of SMEs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:gFrPXmx1TSsC,"TT Nguyen-Huu, M Kechidi","International Trade, Economic Development, and the Vietnamese Economy, 43-50, 2022",2022
Do “inferior” jobs always suffer from a wage penalty? Evidence from temporary workers in Cambodia and Pakistan,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:s1ouQE5r0WUC,TT Nguyen-Huu,"International Journal of Development Issues, 2021",2021
Escaping the middle income trap and getting economic growth: How does FDI can help the host country?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:TiIbgCYny7sC,"TT Nguyen-Huu, NS Pham",,2021
Productivity growth and job reallocation: Evidence from the garment industry in Vietnam,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:yCjxvIMm6_oC,"TT Nguyen-Huu, M Nguyen-Khac, ML Phung","Region et Developpement 52, 5-19, 2020",2020
Bien-être subjectif et comparaison sociale: une étude comparative entre les zones rurales de la Thaïlande et du Vietnam,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:x2hKVfJWtf0C,"TKC Pham, P Nguyen-Van, TT Nguyen-Huu, TAD Tran, K Noukignon","Revue d'économie politique 129 (6), 993-1029, 2019",2019
Subjective well-being and social comparison: a comparative study on rural Thailand and Vietnam,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:Ul_CLA4dPeMC,"TKC Pham, PN Van, TT Nguyen-Huu, TAD Tran, K Noukignon","Revue d'economie politique 129 (6), 993-1029, 2019",2019
Should the Host Economy Invest in a New Industry?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M4epQ9sAAAAJ&pagesize=100&citation_for_view=M4epQ9sAAAAJ:dFKc6_kCK1wC,"TT Nguyen-Huu, NS Pham","Revue économique 69 (1), 29-65, 2018",2018
