title,link,authors,publication,article_year
Pinning down the social license to operate (SLO): The problem of normative complexity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:d1gkVwhDpl0C,"M Brueckner, M Eabrasu","Resources Policy 59, 217-226, 2018",2018
A moral pluralist perspective on corporate social responsibility: From good to controversial practices,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:u5HHmVD_uO8C,M Eabrasu,"Journal of Business Ethics 110 (4), 429-439, 2012",2012
The ethics of tax evasion,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:eQOLeE2rZwMC,"P Bagus, W Block, M Eabrasu, D Howden, J Rostan","Business and Society Review 116 (3), 375-401, 2011",2011
A reply to the current critiques formulated against Hoppe's argumentation ethics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:UebtZRa9Y70C,M Eabrasu,"Libertarian Papers 1, 1, 2009",2009
Post hoc ergo propter hoc: methodological limits of performance‐oriented studies in CSR,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:zYLM7Y9cAGgC,M Eabrasu,"Business Ethics: A European Review 24, S11-S23, 2015",2015
A PRAXEOLOGICAL ASSESSMENT OF SUBJECTIVE VALUE.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:UeHWp8X0CEIC,M Eabrasu,"Quarterly Journal of Austrian Economics 14 (2), 2011",2011
Cheating in business: A metaethical perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:WF5omc3nYNoC,M Eabrasu,"Journal of business ethics 162 (3), 519-532, 2020",2020
Moral disagreements in business,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:5nxA0vEk-isC,"M Eabrasu, M Eabrasu, Rauscher","Springer, 2018",2018
Les états de la définition wébérienne de l'État,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:u-x6o8ySG0sC,M Eabrasu,"Raisons politiques, 187-209, 2012",2012
Rothbard’s and Hoppe’s justifications of libertarianism: A critique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:W7OEmFMy1HYC,M Eabrasu,"Politics, Philosophy & Economics 12 (3), 288-307, 2013",2013
Socially responsible employee management: Case studies from Saudi Arabia and Lebanon,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MH633zgAAAAJ&pagesize=100&citation_for_view=MH633zgAAAAJ:2osOgNQ5qMEC,"M Eabrasu, AA Ariss","CSR in the middle east, 93-113, 2012",2012
