title,link,authors,publication,article_year
Port marketing from a multidisciplinary perspective: A systematic literature review and lexicometric analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:8k81kl-MbHgC,"T Mandják, A Lavissière, J Hofmann, Y Bouchery, MC Lavissière, O Faury, ...","Transport Policy 84, 50-72, 2019",2019
Transportation systems in the Arctic: A systematic literature review using textometry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:4TOpqqG69KYC,"A Lavissière, R Sohier, MC Lavissière","Transportation Research Part A: Policy and Practice 141, 130-146, 2020",2020
Videogames: diving in the heart of parallel worlds,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:9yKSN-GCB0IC,"A Sohier, R Sohier, BN France, S Feiereisen, E Veer","Volume XLII 42, 758, 2014",2014
Proposal of a Digital identity Scale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:qjMakFHDy7sC,"R Sohier, J Brée","Marketing at the Confluence between Entertainment and Analytics, 1219-1231, 2017",2017
Quand les mises à jour des jeux vidéo impactent la cocréation entre joueurs: apport d’une approche par le concept de champ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:UebtZRa9Y70C,"JP Nau, R Garcia-Bardidia, R Sohier, A Velpry","Décisions Marketing, 35-52, 2019",2019
LA CLARIFICATION DU CONCEPT D'IDENTITÉ DIGITALE: VERS UN CONSTRUIT EN QUATRE DIMENSIONS.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:UeHWp8X0CEIC,"R Sohier, J Bree","Revue Française du Marketing, 2017",2017
Clarification du concept d’identité digitale et proposition d’une échelle de mesure,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:LkGwnXOMwfcC,"R Sohier, J Bree","HAL Post-Print, 2016",2016
The psychological reassurance effect of mobile tracing app's in Covid-19 Era,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:9ZlFYXVOiuMC,"F Kurtaliqi, M Zaman, R Sohier","Computers in Human Behavior, 107210, 2022",2022
L'impact de la consommation numérique dans l'équilibre identitaire chez les adolescents: Quelle place pour l'identité digitale?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:d1gkVwhDpl0C,R Sohier,"Caen, 2016",2016
"“She Wants Gucci, Versace, Valentino…“, What Possible Connection Between Rap Singers And Luxury Brands?["" Elle Veut Du Gucci, Versace, Du Valentino..."", Quel Lien Possible …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:ZeXyd9-uunAC,"S Billot, G Pantin-Sohier, R Sohier, A Sohier","HAL Post-Print, 2021",2021
"“SHE WANTS GUCCI, VERSACE, VALENTINO…“, WHAT POSSIBLE CONNECTION BETWEEN RAP SINGERS AND LUXURY BRANDS?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:L8Ckcad2t8MC,"S Billot, G Pantin-Sohier, R Sohier, A Sohier","HAL, 2021",2021
""" ELLE VEUT DU GUCCI, VERSACE, DU VALENTINO..."", QUEL LIEN POSSIBLE ENTRE RAPPEURS ET MARQUES DE LUXE?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:7PzlFSSx8tAC,"S Billot, G Pantin-Sohier, R Sohier, A Sohier","20èmes Journées Normandes de Recherche sur la consommation, 2021",2021
Does The Rap Wear Dior? The Impact Of Rap Endorsers On Luxury Brand Personality,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:dhFuZR0502QC,"G Pantin-Sohier, R Sohier, A Sohier","HAL Post-Print, 2021",2021
Saisir la double dimension des pratiques de consommation à partir des portraits sociologiques.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:Wp0gIr-vW9MC,"C Trizzulla, R Garcia-Bardidia, É Rémy, C Trizzulla, R Garcia-Bardidia, ...","Congrès de l’Association Française du Marketing, 2021",2021
La publicité libère-t-elle la femme? ou l’impact des stéréotypes de rôle sur les effets sociaux et l’attitude envers la marque,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:qxL8FJ1GzNcC,"L Deleau, G Pantin-Sohier, CL Miltgen, R Sohier, N Minvielle","HAL Post-Print, 2021",2021
Evolution of music consumption: Toward a Top 50 2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:mVmsd5A6BfQC,"A Sohier, J Creusier, R Sohier","Management Avenir 125 (5), 161-183, 2021",2021
Evolution de la consommation musicale: vers un top 50 2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:4DMP91E08xMC,"A Sohier, J Creusier, R Sohier","Management Avenir, 161-183, 2021",2021
«Ce n’est pas comme ça que j’ai envie de voir les femmes» ou l’impact des stéréotypes dans la publicité,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:3fE2CSJIrl8C,"G Pantin-Sohier, R Sohier, CL Miltgen","HAL Post-Print, 2019",2019
The impact of video game updates on co-creation between players: Insights drawn from a field-based approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:aqlVkmm33-oC,"JP Nau, R Garcia-Bardidia, R Sohier, A Velpry","Decisions Marketing, 35-52, 2019",2019
Video game updates impact on co-creation between players: insights from the concept of field [Quand les mises à jour des jeux vidéo impactent la cocréation entre joueurs …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:0EnyYjriUFMC,"JP Nau, R Garcia-Bardidia, R Sohier, A Velpry","HAL Post-Print, 2019",2019
Video game updates impact on co-creation between players: insights from the concept of field,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:hqOjcs7Dif8C,"JP Nau, R Garcia-Bardidia, R Sohier, A Velpry","HAL, 2019",2019
Toward Adolescents’ Digital Identity Profiles: A Comparison between Quantitative and Qualitative Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:_FxGoFyzp5QC,"R Sohier, J Brée","Academy of Marketing Science World Marketing Congress, 503-516, 2018",2018
Comprendre les expériences des jeunes internautes par les profils d’identité digitale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:roLk4NBRz8UC,"R Sohier, J Bree","HAL Post-Print, 2018",2018
The clarification of the concept of digital identity: Towards a construct in four dimensions [La clarification du concept d’identité digitale: vers un construit en quatre …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:MXK_kJrjxJIC,"R Sohier, J Bree","HAL Post-Print, 2017",2017
The clarification of the concept of digital identity: Towards a construct in four dimensions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:5nxA0vEk-isC,"R Sohier, J Bree","HAL, 2017",2017
"Changement de règles, fin de la communauté? Analyse des tensions induites par l’introduction d’un hôtel des ventes dans Diablo II",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:Zph67rFs4hoC,"R Garcia-Bardidia, JP Nau, R Sohier, A Velpry","HAL Post-Print, 2017",2017
Trajectoires de joueurs et appropriation de la pratique: une observation participante en équipe dans le jeu League of Legends,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:IjCSPb-OGe4C,"R Garcia-Bardidia, JP Nau, R Sohier, C Trizzulla, A Velpry","Journées de Recherche en Marketing du Grand Est, 2017",2017
Impact of fields porosity on capitals and practices the case of Diablo III,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:KlAtU1dfN6UC,"R Garcia-Bardidia, JP Nau, R Sohier, A Velpry","HAL Post-Print, 2016",2016
Le renouvellement de l’offre: un élément déstabilisateur des pratiques de consommation?-Le cas de la dévaluation des capitaux des joueurs de Diablo III,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:kNdYIx-mwKoC,"JP Nau, R Sohier, A Velpry","HAL Post-Print, 2016",2016
"BENEVOLE DE FESTIVAL ROCK, UNE EXPERIENCE DE CONSOMMATION SUBLIMEE",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:eQOLeE2rZwMC,"A Sohier, R Sohier","14èmes Journées Normandes de Recherche sur la consommation, 2015",2015
"Rock Festival Volunteer, Exalted Consumption’S Experience [Benevole De Festival Rock, Une Experience De Consommation Sublimee]",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:YsMSGLbcyi4C,"A Sohier, R Sohier","HAL Post-Print, 2015",2015
"ROCK FESTIVAL VOLUNTEER, EXALTED CONSUMPTION’S EXPERIENCE",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:W7OEmFMy1HYC,"A Sohier, R Sohier","HAL, 2015",2015
La Clarification de l’identité digitale. Apports sur les comportements des individus dans les environnements numériques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:Se3iqnhoufwC,"R Sohier, J Bree","HAL Post-Print, 2015",2015
Videogames: Diving in the Heart of Parallel Worlds (http://vimeo. com/104113259),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:zYLM7Y9cAGgC,"A Sohier, R Sohier","HAL Post-Print, 2014",2014
Jeux vidéo: plongée au cœur des mondes parallèles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:WF5omc3nYNoC,"A Sohier, R Sohier","30ème Congrès International de l’Association Française du Marketing, 2014",2014
Videogame: Diving in parallel worlds [Jeux vidéo: plongée au coeur des mondes parallèles],https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:Y0pCki6q_DkC,"A Sohier, R Sohier","HAL Post-Print, 2014",2014
Louise DELEAU,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:M3ejUd6NZC8C,"G PANTIN-SOHIER, CL MILTGEN, R SOHIER, N MINVIELLE",,
Consommation adolescente et construction identitaire: vers une possible dimension numérique?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUuVpSQAAAAJ&pagesize=100&citation_for_view=OUuVpSQAAAAJ:2osOgNQ5qMEC,R Sohier,,
,,,,
