title,link,authors,publication,article_year
"The impact of microfinance on energy access: a case study from peripheral districts of Lomé, Togo",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:ufrVoPGSRksC,"MA Boutabba, D Diaw, A Laré, A Lessoua","Applied Economics 52 (45), 4927-4951, 2020",2020
A multi-level housing hedonic analysis of water and sanitation access,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:Y0pCki6q_DkC,"J Choumert, NE Kere, AL Laré-Dondarini","Economics Bulletin 36 (2), 1010-1037, 2016",2016
Analysis of household demand for improved sanitation: the case of green latrines in Dapaong city in Northern Togo,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:W7OEmFMy1HYC,AL Laré-Dondarini,"Canadian Journal of Development Studies/Revue canadienne d'études du …, 2015",2015
Impact of improved water services in informal neighbourhoods in Ouagadougou,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:9yKSN-GCB0IC,"A Briand, AL Laré-Dondarini","Applied Economics 49 (16), 1571-1583, 2017",2017
L'accès à l'assainissement dans les quartiers précaires de Ouagadougou,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:WF5omc3nYNoC,"A Laré, A Briand, E Kéré","Actualite Economique 94 (3), 341-362, 2018",2018
Prix implicite du non-raccordement au réseau d’eau potable à Dapaong au Togo,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:YsMSGLbcyi4C,"A Laré, D Diaw, A Briand","Revue francaise d'economie 32 (3), 171-214, 2017",2017
Demand for urban water services: An analysis of willingness to pay of households in Bamako and in precarious districts of Ouagadougou,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:d1gkVwhDpl0C,"A Briand, AL Lare-Dondarini","REVUE D ECONOMIE REGIONALE ET URBAINE, 33-64, 2017",2017
Impact des mini réseaux d’Adduction d'Eau Potable sur les conditions de vie des ménages ruraux au Niger,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:hqOjcs7Dif8C,"A Laré, N Koné, KM Gomado","Revue dEconomie Regionale Urbaine, 593-626, 2021",2021
Logement et accès aux services de base dans les bidonvilles d’Abidjan,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:UeHWp8X0CEIC,"N Koné, A Laré, A Briand","Revue dEconomie Regionale Urbaine, 829-857, 2020",2020
Water Connection Demands from Small Private Operators,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=P3-N38IAAAAJ&pagesize=100&citation_for_view=P3-N38IAAAAJ:eQOLeE2rZwMC,"A Briand, AL Laré","Revue economique 64 (4), 685-719, 2013",2013
,,,,
