title,link,authors,publication,article_year
Innovation for development and poverty reduction: an integrative literature review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:_tF6a-HnqWAC,"M Pansera, F Martinez","Journal of Management Development, 2017",2017
A three-dimensional conceptual framework of corporate water responsibility,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:UeHWp8X0CEIC,F Martinez,"Organization & Environment 28 (2), 137-159, 2015",2015
Perspectives on the role of business in social innovation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:oTdOBqtIf_kC,"F Martinez, P O’Sullivan, M Smith, M Esposito","Journal of Management Development, 2017",2017
Corporate strategy and the environment: towards a four-dimensional compatibility model for fostering green management decisions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:2osOgNQ5qMEC,F Martinez,"Corporate Governance, 2014",2014
The syncretism of environmental and social responsibility with business economic performance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:u5HHmVD_uO8C,F Martinez,"Management of Environmental Quality: An International Journal, 2012",2012
On the role of faith in sustainability management: A conceptual model and research agenda,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:ndLnGcHYRF0C,F Martinez,"Journal of Business Ethics, 2017",2017
Beyond win–win: A syncretic theory on corporate stakeholder engagement in sustainable development,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:rCNdntzdTkkC,"F Martinez, K Peattie, D Vazquez‐Brust","Business Strategy and the Environment 28 (5), 896-908, 2019",2019
Achieving greener growth: a business perspective for proactive commitment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:d1gkVwhDpl0C,"F Martinez, DA Vazquez-Brust, K Peattie, K Zokaei","Green Growth: Managing the transition to a Sustainable Economy, 191-212, 2012",2012
Industry 4.0 in the Czech Republic–state of the art,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:RMgMIBzvq-4C,"P Jirsák, F Martinez, M Lorenc, J Jancik","Proceedings of the 10th International Days of Statistics and Economics, 766-769, 2016",2016
Faith in the future: On a mission to integrate sustainability into management theory and practice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:9NZAP19TdFAC,"F Martinez, K Peattie, D Vazquez-Brust","Futures 125, 102654, 2021",2021
Best practice tools and techniques for carbon reduction and climate change: lean and green report,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:orDZ08hpP44C,"K Zokaei, F Martinez, D Vazquez, B Evans, K Sarmadi, L Peattie, ...","Lean Enterprise Research Centre, Cardiff University, Cardiff, 2010",2010
"Toward inclusive economic, social and environmental progress in Asia: An introduction",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:7Frjd3zlGBUC,F Martinez,"The Role of Corporate Sustainability in Asian Development, 1-9, 2017",2017
Integrating green into business strategies and operations-compatibility analysis and syncretistic perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:u-x6o8ySG0sC,F Martinez,"Cardiff University, 2013",2013
The Role of Corporate Sustainability in Asian Development,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:KS-xo-ZNxMsC,"G Lenssen, JH Rhee, F Martinez","Switzerland: Springer International Publishing, 2017",2017
A Knowledge Management model for corporate water responsibility,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:QoJ_w57xiyAC,F Martinez,"Handbook of Knowledge Management for Sustainable Water Systems, 79-97, 2018",2018
Integrating green into business strategies and operations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:yTLRzDEmwhEC,F Martinez,"Doctoral dissertation, Cardiff University, 2013",2013
La Responsabilidad Corporativa de Emergencia en tiempos de conmoción: Un marco para el análisis de la respuesta empresarial a la COVID-19,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:H7nrzBkawXsC,"FJF Martínez, EA Fernández","Revista de Contabilidad y Tributación. CEF 451, 175-208, 2020",2020
Ecological responsiveness and business performance: Four scenarios of compatibility and a multi‐faceted strategies framework,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:bVQMTfhMCi4C,F Martinez,"Business Strategy and the Environment 30 (8), 3606-3625, 2021",2021
Brief Review of the Status of Electromagnetic Compatibility Regulation in Argentina,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:I8rxH6phXEkC,"F Martínez, PM Belcaguy","2020 IEEE Congreso Bienal de Argentina (ARGENCON), 1-8, 2020",2020
Ideas for the Development of Electromagnetic Compatibility in Argentina,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:yeL6HyUMUGUC,"F Martínez, PM Belcaguy","2020 IEEE Congreso Bienal de Argentina (ARGENCON), 1-8, 2020",2020
Vers un management durable? État des lieux et perspective «supradisciplinaire»,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:Y0-TYkg6YM4C,F Martinez,"Natures Sciences Sociétés 28 (3-4), 248-259, 2020",2020
"Connected, Agile and Morally Inclusive: A Model of Organsational Change in Complex Environments",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:W2uZP3ddy8sC,F Martinez,"Academy of Management Global Proceedings, 200, 2019",2019
A three-dimensional conceptual framework of corporate water,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:6VlyvFCUEfcC,F Martinez,,2015
"The Symbiosis of Lean and Green: The Case of Adnams Brewery (Southwold, UK)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:9yKSN-GCB0IC,"F Martinez, DA Vazquez, K Peattie, K Zockaei","한국환경경영학회 학술대회, 97-97, 2010",2010
Best Practice Tools and Techniques for Carbon Reduction & Climate Change,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ql8nMHIAAAAJ&pagesize=100&citation_for_view=Ql8nMHIAAAAJ:FsLZdJ3BAzkC,"K Zokaei, F Martinez, D Vazquez, B Evans, K Sarmadi, K Peattie, ...",,2010
