title,link,authors,publication,article_year
Meta-teams: Getting global work done in MNEs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:Tyk-4Ss8FVUC,"D Santistevan, E Josserand","Journal of Management 45 (2), 510-539, 2019",2019
Boundary-spanning coordination: Insights into lateral collaboration and lateral alignment in multinational enterprises,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:YOwf2qJgpHMC,D Santistevan,"Journal of World Business 57 (3), 101291, 2022",2022
The impact of culture on international management research: a comparison on Francophone and Anglophone research communities.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:IjCSPb-OGe4C,"D Santistevan, H Karjalainen","Management International/International Management/Gestión Internacional 19, 2015",2015
How different cultures study culture differently,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:roLk4NBRz8UC,"D Santistevan, H Karjalainen","HAL Post-Print, 2013",2013
Individual responses to paradoxes: the interrelationship and the influence of cognition and emotions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:LkGwnXOMwfcC,"AS Thelisson, D Santistevan, LC Vo","Academy of Management Proceedings 2021 (1), 13164, 2021",2021
Responding to Institutional Complexity: Explaining the Difference between Individuals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:Y0pCki6q_DkC,"LC Vo, D Santistevan","Academy of Management Proceedings 2017 (1), 12074, 2017",2017
The Influence of leadership practices on the conditions of work engagement in dynamic global teams,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:UeHWp8X0CEIC,D Santistevan,"Academy of Management Proceedings 2016 (1), 13247, 2016",2016
"Networks, relationships, and help: creating and maintaining engagement in global virtual"" open"" teams",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:zYLM7Y9cAGgC,D Santistevan,"Paris 9, 2015",2015
The impact of culture on international management research: a comparison on Francophone and Anglophone research communities [El impacto de la cultura en la investigación sobre …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R80_WFUAAAAJ&pagesize=100&citation_for_view=R80_WFUAAAAJ:WF5omc3nYNoC,"D Santistevan, H Karjalainen","HAL Post-Print, 2015",2015
,,,,
