title,link,authors,publication,article_year
How the cryptocurrency market has performed during COVID 19? A multifractal analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:EkHepimYqZsC,"E Mnif, A Jarboui, K Mouakhar","Finance research letters 36, 101647, 2020",2020
"Does innovation strategy affect financial, social and environmental performance?",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:HoB7MX3m0LUC,"F Ezzi, A Jarboui","Journal of Economics, Finance and Administrative Science 21 (40), 14-24, 2016",2016
Detection of fraud in financial statements: French companies as a case study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:D_sINldO8mEC,"I Amara, AB Amar, A Jarboui","International Journal of Academic Research in Accounting, Finance and …, 2013",2013
Corporate governance and operational risk voluntary disclosure: Evidence from Islamic banks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:5awf1xo2G04C,"S Neifar, A Jarboui","Research in International Business and Finance 46, 43-54, 2018",2018
Financial literacy and portfolio diversification: an observation from the Tunisian stock market,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:J_g5lzvAfSwC,"A Mouna, A Jarboui","International Journal of Bank Marketing, 2015",2015
How does corporate social responsibility contribute to investment efficiency?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:YOwf2qJgpHMC,"M Samet, A Jarboui","Journal of multinational financial management 40, 33-46, 2017",2017
External audit quality and ownership structure: interaction and impact on earnings management of industrial and commercial Tunisian sectors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:ns9cj8rnVeAC,"A Kouaib, A Jarboui","Journal of Economics Finance and Administrative Science 19 (37), 78-89, 2014",2014
Financial literacy in Tunisia: Its determinants and its implications on investment behavior,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:W5xh706n7nkC,"A Mouna, J Anis","Research in International Business and Finance 39, 568-577, 2017",2017
"Auditor specialization, accounting information quality and investment efficiency",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:eQOLeE2rZwMC,"A Elaoud, A Jarboui","Research in International Business and Finance 42, 616-629, 2017",2017
Effect of oil price volatility on Tunisian stock market at sector-level and effectiveness of hedging strategy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TSXET9gAAAAJ&pagesize=100&citation_for_view=TSXET9gAAAAJ:D03iK_w7-QYC,"W Hamma, A Jarboui, A Ghorbel","Procedia Economics and Finance 13, 109-127, 2014",2014
