title,link,authors,publication,article_year
Effect of mineral sulphur availability on nitrogen and sulphur uptake and remobilization during the vegetative growth of Brassica napus L.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:fQNAKQ3IYiAC,"M Abdallah, L Dubousset, F Meuriot, P Etienne, JC Avice, A Ourry","Journal of Experimental Botany 61 (10), 2635-2646, 2010",2010
Plant physiology and proteomics reveals the leaf response to drought in alfalfa (Medicago sativa L.),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:UxriW0iASnsC,"I Aranjuelo, G Molero, G Erice, JC Avice, S Nogués","Journal of Experimental Botany 62 (1), 111-123, 2011",2011
Peroxidases and lignification in relation to the intensity of water-deficit stress in white clover (Trifolium repens L.),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:QIV2ME_5wuYC,"BR Lee, KY Kim, WJ Jung, JC Avice, A Ourry, TH Kim","Journal of experimental botany 58 (6), 1271-1279, 2007",2007
Autophagy machinery controls nitrogen remobilization at the whole‐plant level under both limiting and ample nitrate conditions in Arabidopsis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:WbkHhVStYXYC,"A Guiboileau, K Yoshimoto, F Soulay, MP Bataillé, JC Avice, ...","New Phytologist 194 (3), 732-740, 2012",2012
Nitrogen and carbon flows estimated by 15N and 13C pulse-chase labeling during regrowth of alfalfa,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:8AbLer7MMksC,"JC Avice, A Ourry, G Lemaire, J Boucaud","Plant Physiology 112 (1), 281-290, 1996",1996
"Biomass partitioning, morphology and water status of four alfalfa genotypes submitted to progressive drought and subsequent recovery",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:hFOr9nPyWt4C,"G Erice, S Louahlia, JJ Irigoyen, M Sanchez-Diaz, JC Avice","Journal of plant physiology 167 (2), 114-120, 2010",2010
Does ear C sink strength contribute to overcoming photosynthetic acclimation of wheat plants exposed to elevated CO2?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:pyW8ca7W8N0C,"I Aranjuelo, L Cabrera-Bosquet, R Morcuende, JC Avice, S Nogués, ...","Journal of Experimental Botany 62 (11), 3957-3969, 2011",2011
Leaf senescence and nitrogen remobilization efficiency in oilseed rape (Brassica napus L.),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:D03iK_w7-QYC,"JC Avice, P Etienne","Journal of Experimental Botany 65 (14), 3813-3824, 2014",2014
The cytosolic glutamine synthetase GLN1;2 plays a role in the control of plant growth and ammonium homeostasis in Arabidopsis rosettes when nitrate supply is …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:4OULZ7Gr8RgC,"J Lothier, L Gaufichon, R Sormani, T Lemaître, M Azzopardi, H Morin, ...","Journal of experimental botany 62 (4), 1375-1390, 2011",2011
Root protein and vegetative storage protein are key organic nutrients for alfalfa shoot regrowth,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:K3LRdlH-MEoC,"JC Avice, A Ourry, G Lemaire, JJ Volenec, J Boucaud","Crop Science 37 (4), 1187-1193, 1997",1997
How does sulphur availability modify N acquisition of white clover (Trifolium repens L.)?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:a0OBvERweLwC,"S Varin, JB Cliquet, E Personeni, JC Avice, S Lemauviel-Lavenant","Journal of Experimental Botany 61 (1), 225-234, 2010",2010
A Proteomic Profiling Approach to Reveal a Novel Role of Brassica napus Drought 22 kD/Water-Soluble Chlorophyll-Binding Protein in Young Leaves during …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:P5F9QuxV20EC,"M Desclos, L Dubousset, P Etienne, F Le Caherec, H Satoh, J Bonnefoy, ...","Plant Physiology 147 (4), 1830-1844, 2008",2008
Nitrogen availability impacts oilseed rape (Brassica napus L.) plant water status and proline production efficiency under water-limited conditions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:TFP_iSt0sucC,"B Albert, F Le Cahérec, MF Niogret, P Faes, JC Avice, L Leport, ...","Planta 236 (2), 659-676, 2012",2012
Water‐deficit accumulates sugars by starch degradation—not by de novo synthesis—in white clover leaves (Trifolium repens),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TkTj0I4AAAAJ&pagesize=100&citation_for_view=TkTj0I4AAAAJ:blknAaTinKkC,"BR Lee, YL Jin, WJ Jung, JC Avice, A Morvan‐Bertrand, A Ourry, CW Park, ...","Physiologia Plantarum 134 (3), 403-411, 2008",2008
