title,link,authors,publication,article_year
Review and evaluation of commonly-implemented background subtraction algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:KlAtU1dfN6UC,"Y Benezeth, PM Jodoin, B Emile, H Laurent, C Rosenberger","2008 19th International Conference on Pattern Recognition, 1-4, 2008",2008
Comparative study of background subtraction algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:ZeXyd9-uunAC,"Y Benezeth, PM Jodoin, B Emile, H Laurent, C Rosenberger","Journal of Electronic Imaging 19 (3), 033003, 2010",2010
Abnormal events detection based on spatio-temporal co-occurences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:YOwf2qJgpHMC,"Y Benezeth, PM Jodoin, V Saligrama, C Rosenberger","2009 IEEE conference on computer vision and pattern recognition, 2458-2465, 2009",2009
Towards a sensor for detecting human presence and characterizing activity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:r0BpntZqJG4C,"Y Benezeth, H Laurent, B Emile, C Rosenberger","Energy and Buildings 43 (2-3), 305-314, 2011",2011
Greyc keystroke: a benchmark for keystroke dynamics biometric systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:4TOpqqG69KYC,"R Giot, M El-Abed, C Rosenberger","2009 IEEE 3rd International Conference on Biometrics: Theory, Applications …, 2009",2009
Unsupervised performance evaluation of image segmentation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:ruyezt5ZtCIC,"S Chabrier, B Emile, C Rosenberger, H Laurent","EURASIP Journal on Advances in Signal Processing 2006 (1), 096306, 2006",2006
A tele-operated mobile ultrasound scanner using a light-weight robot,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:ULOm3_A8WrAC,"C Delgorge, F Courrèges, LA Bassit, C Novales, C Rosenberger, ...","IEEE transactions on information technology in biomedicine 9 (1), 50-58, 2005",2005
Palm vein verification system based on SIFT matching,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:4DMP91E08xMC,"PO Ladoux, C Rosenberger, B Dorizzi","International Conference on Biometrics, 1290-1298, 2009",2009
Keystroke dynamics with low constraints svm based passphrase enrollment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:qxL8FJ1GzNcC,"R Giot, M El-Abed, C Rosenberger","2009 IEEE 3rd International Conference on Biometrics: Theory, Applications …, 2009",2009
Unconstrained keystroke dynamics authentication with shared secret,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:RGFaLdJalmkC,"R Giot, M El-Abed, B Hemery, C Rosenberger","Computers & security 30 (6-7), 427-445, 2011",2011
Unsupervised clustering method with optimal estimation of the number of clusters: Application to image segmentation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:JoZmwDi-zQgC,"C Rosenberger, K Chehdi","Proceedings 15th International Conference on Pattern Recognition. ICPR-2000 …, 2000",2000
Secure payment with NFC mobile phone in the SmartTouch project,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:9ZlFYXVOiuMC,"M Pasquet, J Reynaud, C Rosenberger","2008 International Symposium on Collaborative Technologies and Systems, 121-126, 2008",2008
A study of users' acceptance and satisfaction of biometric systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:7H_MAutzIkAC,"M El-Abed, R Giot, B Hemery, C Rosenberger","44th Annual 2010 IEEE International Carnahan Conference on Security …, 2010",2010
Web-based benchmark for keystroke dynamics biometric systems: A statistical analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:4fKUyHm3Qg0C,"R Giot, M El-Abed, C Rosenberger","2012 Eighth International Conference on Intelligent Information Hiding and …, 2012",2012
Genetic fusion: application to multi-components image segmentation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:tkaPQYYpVKoC,"C Rosenberger, K Chehdi","2000 IEEE International Conference on Acoustics, Speech, and Signal …, 2000",2000
Unsupervised evaluation of image segmentation application to multi-spectral images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:_kc_bZDykSQC,"S Chabrier, B Emile, H Laurent, C Rosenberger, P Marche","Proceedings of the 17th International Conference on Pattern Recognition …, 2004",2004
A new soft biometric approach for keystroke dynamics based on gender recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:f2IySw72cVMC,"R Giot, C Rosenberger","International Journal of Information Technology and Management 11 (1-2), 35-49, 2012",2012
Keystroke dynamics authentication for collaborative systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:qUcmZB5y_30C,"R Giot, M El-Abed, C Rosenberger","2009 International Symposium on Collaborative Technologies and Systems, 172-179, 2009",2009
Soft biometrics for keystroke dynamics: Profiling individuals while typing passwords,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:KUbvn5osdkgC,"SZS Idrus, E Cherrier, C Rosenberger, P Bours","Computers & Security 45, 147-155, 2014",2014
Low cost and usable multimodal biometric system based on keystroke dynamics and 2d face recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:M3NEmzRMIkIC,"R Giot, B Hemery, C Rosenberger","2010 20th International Conference on Pattern Recognition, 1128-1131, 2010",2010
Biohashing for securing minutiae template,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:4vMrXwiscB8C,"R Belguechi, C Rosenberger, S Ait-Aoudia","2010 20th International Conference on Pattern Recognition, 1168-1171, 2010",2010
Optimization-based image segmentation by genetic algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:mVmsd5A6BfQC,"S Chabrier, C Rosenberger, B Emile, H Laurent","EURASIP Journal on Image and Video Processing 2008, 1-10, 2008",2008
A review on authentication methods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:JQOojiI6XY0C,"SZS Idrus, E Cherrier, C Rosenberger, JJ Schwartzmann","Australian Journal of Basic and Applied Sciences 7 (5), 95-107, 2013",2013
Grape detection by image processing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:YFjsv_pBGBYC,"R Chamelat, E Rosso, A Choksuriwong, C Rosenberger, H Laurent, P Bro","IECON 2006-32nd Annual Conference on IEEE Industrial Electronics, 3697-3702, 2006",2006
Comparative study of contour detection evaluation criteria based on dissimilarity measures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:IWHjjKOFINEC,"S Chabrier, H Laurent, C Rosenberger, B Emile","EURASIP Journal on Image and Video Processing 2008, 1-13, 2008",2008
Mise en oeuvre d'un système adaptatif de segmentation d'images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TpTmMrkAAAAJ&pagesize=100&citation_for_view=TpTmMrkAAAAJ:q3CdL3IzO_QC,C Rosenberger,"Université Rennes 1, 1999",1999
