title,link,authors,publication,article_year
Fine sediment transport and accumulations at the mouth of the Seine estuary (France),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:u5HHmVD_uO8C,"FA Le Hir Pierre, SJ Ricardo, L Patrick, D Jean-Paul, L Robert","Estuaries 24, 950-963, 2001",2001
"Hydrodynamics of suspended particulate matter in the tidal freshwater zone of a macrotidal estuary (the Seine estuary, France)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:hMod-77fHWUC,"L Guézennec, R Lafite, JP Dupont, R Meyer, D Boust","Estuaries 22 (3), 717-727, 1999",1999
Behaviour of a floc population during a tidal cycle: laboratory experiments and numerical modelling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:WF5omc3nYNoC,"R Verney, R Lafite, JC Brun-Cottan, P Le Hir","Continental Shelf Research 31 (10), S64-S83, 2011",2011
Flocculation potential of estuarine particles: The importance of environmental factors and of the spatial and seasonal variability of suspended particulate matter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:ns9cj8rnVeAC,"R Verney, R Lafite, JC Brun-Cottan","Estuaries and coasts 32 (4), 678-693, 2009",2009
Long‐term hydrological changes of the Seine River flow (France) and their relation to the North Atlantic Oscillation over the period 1950–2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:NhqRSupF_l8C,"N Massei, B Laignel, J Deloffre, J Mesquita, A Motelay, R Lafite, A Durand","International journal of Climatology 30 (14), 2146-2154, 2010",2010
Sedimentation on intertidal mudflats in the lower part of macrotidal estuaries: sedimentation rhythms and their preservation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:aqlVkmm33-oC,"J Deloffre, R Verney, R Lafite, P Lesueur, S Lesourd, AB Cundy","Marine Geology 241 (1-4), 19-32, 2007",2007
The effect of wave-induced turbulence on intertidal mudflats: Impact of boat traffic and wind,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:KxtntwgDAa4C,"R Verney, J Deloffre, JC Brun-Cottan, R Lafite","Continental Shelf Research 27 (5), 594-612, 2007",2007
Le fleuve côtier: un phénomène hydrologique important en Manche Orientale. Exemple du Pas-de-Calais,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:bEWYMUwI8FkC,"JM Brylinski, Y Lagadeuc, V Gentilhomme, JP Dupont, R Lafite, ...","Oceanologica Acta, Special issue, 1991",1991
"Sedimentary processes on an intertidal mudflat in the upper macrotidal Seine estuary, France",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:QIV2ME_5wuYC,"J Deloffre, R Lafite, P Lesueur, S Lesourd, R Verney, L Guézennec","Estuarine, Coastal and Shelf Science 64 (4), 710-720, 2005",2005
Chemical characterization of porewaters in an intertidal mudflat of the Seine estuary: relationship to erosion–deposition cycles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:4JMBOYKVnBMC,"G Bally, V Mesnage, J Deloffre, O Clarisse, R Lafite, JP Dupont","Marine Pollution Bulletin 49 (3), 163-173, 2004",2004
"The influence of natural and anthropogenic factors on mangrove dynamics over 60 years: The Somone Estuary, Senegal",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:WbkHhVStYXYC,"I Sakho, V Mesnage, J Deloffre, R Lafite, I Niang, G Faye","Estuarine, Coastal and Shelf Science 94 (1), 93-101, 2011",2011
Morphological responses of an estuarine intertidal mudflat to constructions since 1978 to 2005: The Seine estuary (France),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:8k81kl-MbHgC,"A Cuvilliez, J Deloffre, R Lafite, C Bessineton","Geomorphology 104 (3-4), 165-174, 2009",2009
"Controlling factors of rhythmic sedimentation processes on an intertidal estuarine mudflat—role of the turbidity maximum in the macrotidal Seine estuary, France",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:ZHo1McVdvXMC,"J Deloffre, R Lafite, P Lesueur, R Verney, S Lesourd, A Cuvilliez, J Taylor","Marine Geology 235 (1-4), 151-164, 2006",2006
Resuspension and advection processes affecting suspended particulate matter concentrations in the central English Channel,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:ULOm3_A8WrAC,"AF Velegrakis, S Gao, R Lafite, JP Dupont, MF Huault, LA Nash, ...","Journal of Sea Research 38 (1-2), 17-34, 1997",1997
Tidally-induced shear stress variability above intertidal mudflats in the macrotidal Seine Estuary,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:HoB7MX3m0LUC,"R Verney, JC Brun-Cottan, R Lafite, J Deloffre, JA Taylor","Estuaries and coasts 29 (4), 653-664, 2006",2006
Heavy metal distribution and accumulation in two Spartina sp.-dominated macrotidal salt marshes from the Seine estuary (France) and the Medway estuary (UK),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:hqOjcs7Dif8C,"AB Cundy, L Hopkinson, R Lafite, K Spencer, JA Taylor, B Ouddane, ...","Applied Geochemistry 20 (6), 1195-1208, 2005",2005
"Controlling factors in estuarine flocculation processes: experimental results with material from the Seine Estuary, Northwestern France",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:3fE2CSJIrl8C,"D Mikes, R Verney, R Lafite, M Belorgey","Journal of coastal research, 82-89, 2004",2004
"Sources, sinks and resuspension of suspended particulate matter in the eastern English Channel",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:35N4QoGY0k4C,"AF Velegrakis, D Michel, MB Collins, R Lafite, EK Oikonomou, JP Dupont, ...","Continental Shelf Research 19 (15-16), 1933-1957, 1999",1999
Sediment transport pathways in the eastern english-channel,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:ufrVoPGSRksC,"NTL Grochowski, MB Collins, J Salomon, M Breton, R Lafite","Oceanologica Acta 16 (5-6), 531-537, 1993",1993
Migration and internal architecture of marine dunes in the eastern English Channel over 14 and 56 year intervals: the influence of tides and decennial storms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:d1gkVwhDpl0C,"Y Ferret, S Le Bot, B Tessier, T Garlan, R Lafite","Earth Surface Processes and Landforms 35 (12), 1480-1493, 2010",2010
"Holocene to modern fine-grained sedimentation on a macrotidal shoreface-to-inner-shelf setting (eastern Bay of the Seine, France)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:YOwf2qJgpHMC,"S Garnaud, P Lesueur, M Clet, S Lesourd, T Garlan, R Lafite, ...","Marine Geology 202 (1-2), 33-54, 2003",2003
A man-altered macrotidal estuary: the Seine estuary (France): introduction to the special issue,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:dshw04ExmUIC,"R Lafite, LA Romaña","Estuaries and Coasts 24 (6), 939, 2001",2001
"Continental/marine ratio changes in suspended and settled matter across a macrotidal estuary (the Seine estuary, northwestern France)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:YsMSGLbcyi4C,"JP Dupont, R Lafite, MF Huault, P Hommeril, R Meyer","Marine Geology 120 (1-2), 27-40, 1994",1994
"Morphological and sedimentary impacts and recovery on a mixed sandy to pebbly seabed exposed to marine aggregate extraction (Eastern English Channel, France)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:maZDTaKrznsC,"S Le Bot, R Lafite, M Fournier, A Baltzer, M Desprez","Estuarine, coastal and shelf science 89 (3), 221-233, 2010",2010
Role of suspended sediments on the distribution of PCB in the Seine Estuary (France),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:LkGwnXOMwfcC,"A Abarnou, J Avoine, JP Dupont, R Lafite, S Simon","Continental Shelf Research 7 (11-12), 1345-1350, 1987",1987
A report card and quality indicators for the Seine estuary: From scientific approach to operational tool,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:O3NaXMp0MMsC,"JC Dauvin, C Fisson, J Garnier, R Lafite, T Ruellet, G Billen, J Deloffre, ...","Marine Pollution Bulletin 57 (1-5), 187-201, 2008",2008
La dynamique des masses d'eaux et des matières en suspension en Manche orientale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:Tiz5es2fbqcC,"JP Dupont, R Lafite, MF Huault, PA Dupeuble, JM Brylinski, P Guegueniat, ...","Oceanologica Acta, Special issue, 1991",1991
"Suspended particulate matter fluxes through the Straits of Dover, English Channel: observations and modelling",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:f2IySw72cVMC,"R Lafite, S Shimwell, N Grochowski, JP Dupont, N Linda, JC Salomon, ...","Oceanologica Acta 23 (6), 687-700, 2000",2000
Flocculation measured by video based instruments in the Gironde Estuary during the European Commission SWAMIEE project,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:UxriW0iASnsC,"AJ Manning, KR Dyer, R Lafite, D Mikes","Journal of Coastal Research, 58-69, 2004",2004
"Relationships between hydrosedimentary processes and occurrence of mercury-resistant bacteria (merA) in estuary mudflats (Seine, France)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:BqipwSGYUEgC,"JB Ramond, T Berthe, R Lafite, J Deloffre, B Ouddane, F Petit","Marine Pollution Bulletin 56 (6), 1168-1176, 2008",2008
"Source discrimination of fine-grained deposits occurring on marine beaches: the Calvados beaches (eastern Bay of the Seine, France)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:hFOr9nPyWt4C,"C Dubrulle, P Lesueur, D Boust, O Dugué, N Poupinet, R Lafite","Estuarine, Coastal and Shelf Science 72 (1-2), 138-154, 2007",2007
"Sub-Task S3: Investigation of meso-and macro-scale sediment transport, Hydrodynamics Biogeochemical Processes and Fluxes in the Channel",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:4OULZ7Gr8RgC,"AF Velegrakis, C Bishop, R Lafite, EK Oikonomou, M Lecouturier, ...","FLUXMANCHE II Final report, MAST II, MAS2CT940089, 128-143, 1997",1997
Bedload transport for heterogeneous sediments,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:xtRiw3GOFMkC,"M Durafour, A Jarno, S Le Bot, R Lafite, F Marin","Environmental Fluid Mechanics 15 (4), 731-751, 2015",2015
Annual variations in suspended particulate matter within the Dover Strait,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:IjCSPb-OGe4C,"JP Dupont, MB Collins, R Lafite, L Nash, MF Huault, SJ Shimwell, ...","Oceanologica Acta 16 (5-6), 507-516, 1993",1993
Uncertainties associated with in situ high-frequency long-term observations of suspended particulate matter concentration using optical and acoustic sensors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:sSrBHYA8nusC,"M Fettweis, R Riethmüller, R Verney, M Becker, J Backers, M Baeye, ...","Progress in Oceanography 178, 102162, 2019",2019
"In situ high frequency long term measurements of suspended sediment concentration in turbid estuarine system (Seine Estuary, France): Optical turbidity sensors response to …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:r0BpntZqJG4C,"F Druine, R Verney, J Deloffre, JP Lemoine, M Chapalain, V Landemaine, ...","Marine Geology 400, 24-37, 2018",2018
Sediment transfer and accumulation in two contrasting salt marsh/mudflat systems: the Seine estuary (France) and the Medway estuary (UK),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:uWQEDVKXjbEC,"AB Cundy, R Lafite, JA Taylor, L Hopkinson, J Deloffre, R Charman, ...","Hydrobiologia 588 (1), 125-134, 2007",2007
"Distinct Aeromonas populations in water column and associated with copepods from estuarine environment (Seine, France)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:ldfaerwXgEUC,"G Chaix, F Roger, T Berthe, B Lamy, E Jumas-Bilak, R Lafite, ...","Frontiers in Microbiology 8, 1259, 2017",2017
