title,link,authors,publication,article_year
A multi-step differential transform method and application to non-chaotic or chaotic systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:u5HHmVD_uO8C,"ZM Odibat, C Bertelle, MA Aziz-Alaoui, GHE Duchamp","Computers & Mathematics with Applications 59 (4), 1462-1472, 2010",2010
Synchronization of chaotic fractional-order systems via linear control,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:u-x6o8ySG0sC,"ZM Odibat, N Corson, MA Aziz-Alaoui, C Bertelle","International Journal of Bifurcation and Chaos 20 (01), 81-97, 2010",2010
From system complexity to emergent properties,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:5nxA0vEk-isC,"M Aziz-Alaoui, C Bertelle","Springer Science & Business Media, 2009",2009
Visions de la complexité. Le démon de Laplace dans tous ses états,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:wbdj-CoPYUoC,"G Deffuant, A Banos, D Chavalarias, C Bertelle, N Brodu, P Jensen, ...","Natures Sciences Sociétés 23 (1), 42-53, 2015",2015
Complex systems and self-organization modelling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:IjCSPb-OGe4C,"C Bertelle, GHE Duchamp, H Kadri-Dahmani","Springer Science & Business Media, 2008",2008
Modeling logistic systems with an agent-based model and dynamic graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:evX43VCCuoAC,"T Démare, C Bertelle, A Dutot, L Lévêque","Journal of Transport Geography 62, 51-65, 2017",2017
Emergent properties in natural and artificial dynamical systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:qjMakFHDy7sC,"M Aziz-Alaoui, C Bertelle","Springer Science & Business Media, 2007",2007
Les comportements humains en situation de catastrophe: de l’observation à la modélisation conceptuelle et mathématique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:Mojj43d5GZwC,"D Provitolo, E Dubos-Paillard, N Verdière, V Lanza, R Charrier, C Bertelle, ...","Cybergeo: European Journal of Geography, 2015",2015
Mathematical modeling of human behaviors during catastrophic events.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:tS2w5q8j5-wC,"N Verdière, V Lanza, R Charrier, D Provitolo, E Dubos-Paillard, C Bertelle, ...","4th International Conference on Complex Systems and Applications (ICCSA2014 …, 2014",2014
Knowledge diffusion in complex networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:JoZmwDi-zQgC,"Y Zhang, X Li, MA Aziz‐Alaoui, C Bertelle, J Guan, S Zhou","Concurrency and Computation: Practice and Experience 29 (3), e3791, 2017",2017
Road traffic management based on ant system and regulation model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:Y0pCki6q_DkC,"C Bertelle, A Dutot, S Lerebourg, D Olivier","MAS 2003-The International Workshop on Modeling and Applied Simulation, pp 35-43, 2003",2003
Cluster synchronization analysis of complex dynamical networks by input-to-state stability,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:4OULZ7Gr8RgC,"J Zhao, MA Aziz-Alaoui, C Bertelle","Nonlinear Dynamics 70 (2), 1107-1115, 2012",2012
Modeling the dynamics of complex interaction systems: from morphogenesis to control,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:r0BpntZqJG4C,"N Corson, MA Aziz-Alaoui, R Ghnemat, S Balev, C Bertelle","International Journal of Bifurcation and Chaos 22 (02), 1250025, 2012",2012
Automata-based adaptive behavior for economic modelling using game theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:9yKSN-GCB0IC,"R Ghnemat, S Oqeili, C Bertelle, GHE Duchamp","Emergent properties in natural and artificial dynamical systems, 171-183, 2006",2006
Mathematical modeling of human behaviors during catastrophic events: stability and bifurcations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:UHK10RUVsp4C,"G Cantin, N Verdiére, V Lanza, MA Aziz-Alaoui, R Charrier, C Bertelle, ...","International Journal of Bifurcation and Chaos 26 (10), 1630025, 2016",2016
Distribution of agent based simulation with colored ant algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:d1gkVwhDpl0C,"C Bertelle, A Dutot, F Guinand, D Olivier","ESS 2002-14th European Simulation Symposium and Exhibition, 2002",2002
Changing the levels of description of a fluid flow in an agent− based simulation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:YsMSGLbcyi4C,"P Tranouez, C Bertelle, D Olivier","ESS 2001, the 13th European Simulation Symposium, 2001",2001
Organization detection using emergent computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:zYLM7Y9cAGgC,"C Bertelle, A Dutot, F Guinand, D Olivier","International Transactions on Systems Science and Applications 2 (1), 61-69, 2006",2006
A decentralised approach for the transportation on demand problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:ns9cj8rnVeAC,"C Bertelle, M Nabaa, D Olivier, P Tranouez","From System Complexity to Emergent Properties, 281-289, 2009",2009
Adaptive Automata Community detection and Clustering-A generic methodology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:2osOgNQ5qMEC,"R Ghnemat, C Bertelle, G Duchamp","World Congress on Engineering 2007 (WCE 2007), 2007",2007
Adaptive behaviour for prisoner dilemma strategies based on automata with multiplicities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:roLk4NBRz8UC,"C Bertelle, M Flouret, V Jay, D Olivier, JL Ponty","ESS 2002, 14th European Simulation Symposium and Exhibition, 2002",2002
French roadmap for complex systems 2008-2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:aqlVkmm33-oC,"D Chavalarias, P Bourgine, E Perrier, F Amblard, F Arlabosse, P Auger, ...",,2009
Genetic algorithms on automata with multiplicities for adaptive agent behaviour in emergent organizations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:UeHWp8X0CEIC,"C Bertelle, M Flouret, V Jay, D Olivier, JL Ponty","SCI'2001, 5th World Multi-Conference on Systemics, Cybernetics and Informatics, 2001",2001
Local nash equilibrium in social networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:VOx2b1Wkg3QC,"Y Zhang, MA Aziz-Alaoui, C Bertelle, J Guan","Scientific reports 4 (1), 1-8, 2014",2014
Automata with multiplicities as behaviour model in multi-agent simulations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Twj3qDQAAAAJ&pagesize=100&citation_for_view=Twj3qDQAAAAJ:Tyk-4Ss8FVUC,"C Bertelle, M Flouret, V Jay, D Olivier, JL Ponty","SCI'2001, 5th World Multi-Conference on Systemics, Cybernetics and Informatics, 2001",2001
