title,link,authors,publication,article_year
So you're thinking of buying an ERP? Ten critical factors for successful acquisitions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:YsMSGLbcyi4C,"J Verville, C Bernadas, A Halingten","Journal of Enterprise Information Management, 2005",2005
ERP acquisition planning: a critical dimension for making the right choice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:Tyk-4Ss8FVUC,"J Verville, R Palanisamy, C Bernadas, A Halingten","Long Range Planning 40 (1), 45-63, 2007",2007
An empirical study on the influences on the acquisition of enterprise software decisions: A practitioner's perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:u5HHmVD_uO8C,"R Palanisamy, J Verville, C Bernadas, N Taskin","Journal of Enterprise Information Management, 2010",2010
Disparity of the infusion of e-business within SMEs: a global perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:qjMakFHDy7sC,"C Bernadas, J Verville","International Journal of Technology Management 31 (1-2), 39-46, 2005",2005
A myriad of digital divides: a global comparison of internet and cellular divides,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:Y0pCki6q_DkC,"C Bernadas, J Verville, J Burton","International Journal of Intercultural Information Management 3 (1), 15-44, 2012",2012
A three-dimensional approach in evaluating ERP software within the acquisition process,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:UeHWp8X0CEIC,"J Verville, C Bernadas, A Halingten","International Journal of Enterprise Information Systems (IJEIS) 1 (3), 1-16, 2005",2005
Cultural Influences on the Decision Process for Acquiring Enterprise Software: A Comparison of Mexico and United States.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:9yKSN-GCB0IC,"J Verville, R Palanisamy, C Bernadas","International Journal of Global Management Studies 1 (4), 2009",2009
Isolating the key variables for regression models in enterprise software acquisition decisions: A blocking technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:2osOgNQ5qMEC,"R Pena-Sanchez, J Verville, C Bernadas","Journal of Business & Economics Research (JBER) 5 (8), 2007",2007
Facilitating the maintenance of Enterprise Systems (ES): An exploratory study of perceptions of IT professionals in North America (Mexico and United States),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:IjCSPb-OGe4C,C Bernadas,"Texas A&M International University, 2007",2007
Exploring Non-experts’ Preconceptions on the use of Crowdsourcing as an Innovative Tool,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:W7OEmFMy1HYC,"C Bernadas, B Hallier","ECSM 2014 University of Brighton Brighton, UK 10-11 July 2014, 50, 2014",2014
CRITICAL FACTORS FOR SUCCESSFUL ERP ACQUISITIONS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:zYLM7Y9cAGgC,"J Verville, C Bernadas, A Halingten",,
MODULE 51EVDS ECTS MODULE 2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:d1gkVwhDpl0C,C BERNADAS,"M2 International Events Management 1/26 Syllabus 2013-2014, 0",
RESEARCH METHODS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Xf2BqssAAAAJ&pagesize=100&citation_for_view=Xf2BqssAAAAJ:u-x6o8ySG0sC,"C BACELLAR, C BERNADAS","M2 International Events Management 1/26 Syllabus 2013-2014, 0",
,,,,
