title,link,authors,publication,article_year
"Nature, dynamics and coping strategies in the face of paradoxes in a digital transformation: A records management case study",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:UeHWp8X0CEIC,S Juteau,"MCIS Proceedings, 2019",2019
"Une approche de la transformation numérique par l'analyse conjointe de l'adoption des innovations, de la transformation organisationnelle et des paradoxes: le cas d'une …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:zYLM7Y9cAGgC,S Juteau-druart,,2019
La mise en place d’un drive dans la grande distribution à l’épreuve d’un jeu de logiques institutionnelles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:_FxGoFyzp5QC,S Juteau,"Innovations, Id-XXX, 2022",2022
The interplay between institutional pressures and inertias in a case study of digital transformation in the archived files industry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:qjMakFHDy7sC,S Juteau,"HAL Post-Print, 2019",2019
A RISK-BASED PERSPECTIVE ON WORK AND ORGANIZATIONAL TRANSFORMATION IN E-COMMERCE: A REVIEW FOR UNDERSTANDING Research paper,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:Y0pCki6q_DkC,"T Etienne, S Juteau, R Frantz","HAL Post-Print, 2019",2019
"Du carton à la donnée, vers une proposition d'articulation trajectorielle des processus de changement: cas de la transformation numérique dans le secteur des archives",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:IjCSPb-OGe4C,S Juteau,"24ème conférence de l’Association Information et Management: Management de …, 2019",2019
PARADOXES OF DIGITAL TRANSFORMATION AND COP-ING STRATEGIES: A RECORDS MANAGEMENT CASE STUDY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:ufrVoPGSRksC,S Juteau,"Proceedings - ITAIS AND MCIS 2019: A JOINT EVENT: THE 13TH MEDITERRANEAN …, 2019",2019
A RISK-BASED PERSPECTIVE ON WORK AND ORGANIZATIONAL TRANSFORMATION IN E-COMMERCE: A REVIEW FOR UNDERSTANDING,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:eQOLeE2rZwMC,"E Thenoz, S Juteau, and Rowe, Frantz","European Conference on Information Systems (ECIS), https://aisel.aisnet.org …, 2019",2019
Transformation organisationnelle par les investissements dans le commerce électronique: une revue de la littérature,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:W7OEmFMy1HYC,"E Thenoz, S Juteau, F Rowe","HAL Post-Print, 2018",2018
Transformation organisationnelle par les investissements dans le commerce électronique : une revue de la littérature,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XmiJS4AAAAAJ&pagesize=100&citation_for_view=XmiJS4AAAAAJ:WF5omc3nYNoC,"E Thenoz, S Juteau, and Rowe, Frantz","AIM, 2018",2018
,,,,
