title,link,authors,publication,article_year
Should you invest in an old bottle of whisky or in a bottle of old whisky? A hedonic analysis of vintage single malt scotch whisky prices,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:_kc_bZDykSQC,"D Moroz, B Pecchioli","Journal of Wine Economics 14 (2), 145-163, 2019",2019
Production of scientific knowledge and radical uncertainty: The limits of the normative approach in innovation economics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:4TOpqqG69KYC,D Moroz,"European Journal of Law and Economics 20 (3), 305-322, 2005",2005
Transaction price vs. ask price in hedonic regressions: evidence from the vintage scotch whisky market,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:YOwf2qJgpHMC,"D Moroz, B Pecchioli","Applied Economics Letters 28 (2), 129-132, 2021",2021
Do whisky investors read the Bible? The effect of expert ratings on the vintage single malt secondary market,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:kNdYIx-mwKoC,"D Moroz, B Pecchioli","Journal of Wine Economics 16 (1), 86-101, 2021",2021
Consequentalism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:3fE2CSJIrl8C,D Moroz,"HAL Post-Print, 2014",2014
AMERICAN ASSOCIATION OF WINE ECONOMISTS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:5nxA0vEk-isC,"D Moroz, B Pecchioli","Working Paper, 2018",2018
Des whiskies avec de plus en plus de retour… sur investissement,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:8k81kl-MbHgC,"B Pecchioli, D Moroz","The Conversation, 2021",2021
Consequentialism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:ULOm3_A8WrAC,D Moroz,"Encyclopedia of Law and Economics, 328-330, 2019",2019
Why prohibit or promote reproductive cloning and genetic engineering? The myth of biodiversity and of genetic hierarchy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:Zph67rFs4hoC,D Moroz,"Heterodox views on economics and the economy of the global society 1, 105, 2006",2006
Vienna 2019 Abstract Submission,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:KlAtU1dfN6UC,D Moroz,,
Production of Scientific Knowledge and Radical Uncertainty: The Impossibility of Normative Prescriptions in Innovation Economics.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YCSIH30AAAAJ&pagesize=100&citation_for_view=YCSIH30AAAAJ:MXK_kJrjxJIC,D MOROZ,,
,,,,
