title,link,authors,publication,article_year
L'image du travail selon la génération Y,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:u5HHmVD_uO8C,J Pralong,"Revue internationale de psychosociologie et de gestion des comportements …, 2010",2010
La génération Y au travail: un péril jeune,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:ULOm3_A8WrAC,J Pralong,"Rouen Business school 7, 2009",2009
Managing academic careers: global perspectives,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:IjCSPb-OGe4C,"Y Baruch, F Dany, J Pralong, C Davense","Career Development International, 2014",2014
Les projets n'engagent que ceux qui y croient!,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:3fE2CSJIrl8C,J Pralong,"Revue française de gestion, 15-31, 2011",2011
Les projets n'engagent que ceux qui y croient!,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:5nxA0vEk-isC,J Pralong,"Revue française de gestion, 15-31, 2011",2011
Les projets n'engagent que ceux qui y croient!,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:ufrVoPGSRksC,J Pralong,"Revue française de gestion, 15-31, 2011",2011
Les «mondes de la carrière»: Le cadre de référence de carrière et sa définition opérationnelle,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:Tyk-4Ss8FVUC,J Pralong,"Revue de gestion des ressources humaines, 56-76, 2010",2010
Entre souhaitable et probable: projets de mobilité interne et sensemaking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:9yKSN-GCB0IC,J Pralong,"L'orientation scolaire et professionnelle, 545-568, 2008",2008
"Vygostki, la carriérologie profane et le succès de carrière",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:Y0pCki6q_DkC,J Pralong,"Management Avenir, 89-110, 2011",2011
Sur la notion de «rapport aux études»: une construction théorique et son illustration dans l'université de masse,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YseQa5wAAAAJ&pagesize=100&citation_for_view=YseQa5wAAAAJ:qUcmZB5y_30C,J Pralong,"Psychologie & éducation, 75-85, 1999",1999
