title,link,authors,publication,article_year
"Towards a Unified Theory of Brand Equity: Conceptualizations, Taxonomy and Avenues for Future Research",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:Zph67rFs4hoC,"NS Davcik, RV Da Silva, JF Hair","Journal of Product & Brand Management 24 (1), 3 - 17, 2015",2015
Managing uncertainty during a global pandemic: An international business perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:blknAaTinKkC,"P Sharma, TY Leung, R Kingshott, N Davcik, S Cardinali","Journal of Business Research 116 (8), 188 - 192, 2020",2020
The Use and Misuse of Structural Equation Modeling in Management Research: A Review and Critique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:3fE2CSJIrl8C,NS Davcik,"Journal of Advances in Management Research 11 (1), 47-81, 2014",2014
"Marketing resources, performance, and competitive advantage: A review and future research directions",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:HDshCWvjkbEC,"NS Davcik, P Sharma","Journal of Business Research 69 (12), 5547-5552, 2016",2016
"Impact of Product Differentiation, Marketing Investments and Brand Equity on Pricing Strategies: A Brand Level Investigation",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:8k81kl-MbHgC,"NS Davcik, P Sharma","European Journal of Marketing 49 (5/6), 760-781, 2015",2015
Product innovation as a mediator in the impact of R&D expenditure and brand equity on marketing performance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:mB3voiENLucC,"P Sharma, NS Davcik, KG Pillai","Journal of Business Research 69, 2016",2016
An Empirical Investigation of Brand Equity: Drivers and Their Consequences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:LkGwnXOMwfcC,NS Davcik,"British Food Journal 115 (9), 1342-1360, 2013",2013
The role of brand equity in a new rebranding strategy of a private label brand,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:YFjsv_pBGBYC,"C Marques, RV da Silva, NS Davcik, RT Faria","Journal of Business Research 117 (9), 497-507, 2020",2020
"What drives foreign direct investment: The role of language, geographical distance, information flows and technological similarity",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:_Qo2XoVZTnwC,"A Ly, J Esperança, NS Davcik","Journal of Business Research 88 (7), 111-122, 2018",2018
An Exploratory Study of Brand Success: Evidence From the Food Industry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:_FxGoFyzp5QC,"NS Davčik, J Rundquist","Journal of International Food & Agribusiness Marketing 24 (1), 91-109, 2012",2012
Exploring the role of international R&D activities in the impact of technological and marketing capabilities on SMEs’ performance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:JV2RwH3_ST0C,"NS Davcik, S Cardinali, P Sharma, E Cedrola","Journal of Business Research 128 (5), 650-660, 2021",2021
“Health-enhancing” Products in the Italian Food Industry: Multinationals and SMEs Competing on Yogurt,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:u5HHmVD_uO8C,"G Boesso, NS Davcik, F Favotto","AgBioForum 12 (2), 232-243, 2009",2009
Marketing strategija proizvoda u industriji hrane: ekološki pristup,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:Wp0gIr-vW9MC,N Davčik,"Ecologica 11 (43), 25-32, 2004",2004
How an unequal intra-firm resources distribution affect market share,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:bEWYMUwI8FkC,"N Davcik, N Grigoriou","Marketing Intelligence & Planning 38 (2), 167-180, 2020",2020
Marking of organic agricultural products in Serbia,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:hMod-77fHWUC,"T Sudarević, NS Davčik","Anali Ekonomskog fakulteta u Subotici, 79-86, 2005",2005
Interactive impact of ethnic distance and cultural familiarity on the perceived effects of free trade agreements,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_TyiCq4AAAAJ&pagesize=100&citation_for_view=_TyiCq4AAAAJ:RHpTSmoSYBkC,"R Kingshott, P Sharma, P Hosie, N Davcik","Asia Pacific Journal of Management 36 (1), 135-160., 2019",2019
