title,link,authors,publication,article_year
The effects of oil price shocks in a new-Keynesian framework with capital accumulation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:d1gkVwhDpl0C,"VA Vásconez, G Giraud, F Mc Isaac, NS Pham","Energy Policy 86, 844-854, 2015",2015
Intertemporal equilibrium with financial asset and physical capital,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:u5HHmVD_uO8C,"C Le Van, NS Pham","Economic Theory 62 (1), 155-199, 2016",2016
"Intertemporal equilibrium with heterogeneous agents, endogenous dividends and collateral constraints",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:IWHjjKOFINEC,"S Bosi, C Le Van, NS Pham","Journal of Mathematical Economics 76, 1-20, 2018",2018
Asset bubbles and efficiency in a generalized two-sector model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:UeHWp8X0CEIC,"S Bosi, C Le Van, NS Pham","Mathematical Social Sciences 88, 37-48, 2017",2017
Effects of foreign aid on the recipient country’s economic growth,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:M3NEmzRMIkIC,"NS Pham, TKC Pham","Journal of Mathematical Economics 86, 52-68, 2020",2020
Nonsmooth optimization over the (weakly or properly) Pareto set of a linear-quadratic multi-objective control problem: Explicit optimality conditions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:_FxGoFyzp5QC,"H Bonnel, NS Pham","Journal of Industrial & Management Optimization 7 (4), 789, 2011",2011
Financial bubbles and capital accumulation in altruistic economies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:M3ejUd6NZC8C,"S Bosi, T Ha-Huy, C Le Van, CT Pham, NS Pham","Journal of Mathematical Economics 75, 125-139, 2018",2018
"Taxation, bubbles and endogenous growth",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:zYLM7Y9cAGgC,"S Bosi, NS Pham","Economics Letters 143, 73-76, 2016",2016
A General Equilibrium Model in Which Consumption Takes Time,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:mVmsd5A6BfQC,"C Le-Van, TDH Nguyen, NS Pham, B Tran-Nam","Recent Developments in Normative Trade Theory and Welfare Economics, 97-124, 2018",2018
Energy and capital in a new-keynesian framework,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:blknAaTinKkC,"VA Vasconez, G Giraud, F Mc Isaac, NS Pham",,2012
"Foreign aid, recipient government's fiscal behavior, and economic growth",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:_Qo2XoVZTnwC,"NS Pham, TKC Pham","Economics Bulletin 39 (4), 2457-2466, 2019",2019
A simple general equilibrium model incorporating the assumption that consumption takes time,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:0EnyYjriUFMC,"B Tran-Nam, NS Pham","Mimeo, UNSW Sydney, 2014",2014
Real indeterminacy and dynamics of asset price bubbles in general equilibrium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:rO6llkc54NcC,"S Bosi, C Le Van, NS Pham","Journal of Mathematical Economics, 102651, 2022",2022
Why does productivity matter?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:O3NaXMp0MMsC,"C Le Van, NS Pham",,2021
Effects of credit limit on efficiency and welfare in a simple general equilibrium model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:RYcK_YlVTxYC,"NS Pham, H Pham","International Journal of Economic Theory, 2021",2021
"Direct Proofs of the Existence of Equilibrium, the Gale-Nikaido-Debreu Lemma and the Fixed Point Theorems using Sperner’s Lemma",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:hMod-77fHWUC,"T Le, C Le Van, NS Pham, Ç Sağlam",,2020
Demand and equilibrium with inferior and Giffen behaviors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:TQgYirikUcIC,"C Le Van, NS Pham","Mathematical Social Sciences 103, 45-50, 2020",2020
Rational bubbles in altruistic economies: when Tirole meets Ramsey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:R3hNpaxXUhUC,"S Bosi, T Ha-Huy, NS Pham, NS Pham","Economics Bulletin 39 (2), 816-829, 2019",2019
Rational land and housing bubbles in infinite-horizon economies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:Y0pCki6q_DkC,"S Bosi, C Le Van, NS Pham","Sunspots and Non-Linear Dynamics, 203-230, 2017",2017
Collateral monetary equilibrium with liquidity constraints in an infinite horizon economy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_fjAt0QAAAAJ&pagesize=100&citation_for_view=_fjAt0QAAAAJ:qjMakFHDy7sC,NS Pham,,2013
