title,link,authors,publication,article_year
"Country of origin, brand image perception, and brand image structure",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:W7OEmFMy1HYC,Y Koubaa,"Asia pacific journal of marketing and logistics, 2008",2008
"Multidimensional structures of brand and country images, and their effects on product evaluation",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:u5HHmVD_uO8C,"Y Koubaa, RB Methamem, F Fort","International Journal of Market Research 57 (1), 95-124, 2015",2015
The dual impact of traditional and national cultural values on expatriate ethnic groups' attitudes and willingness to buy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:YsMSGLbcyi4C,"Y Koubaa, G Ulvoas, P Chew","Asia Pacific Journal of Marketing and Logistics, 2011",2011
On the use of structural equation modeling in marketing image research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:u-x6o8ySG0sC,"Y Koubaa, RS Tabbane, RC Jallouli","Asia Pacific Journal of Marketing and Logistics, 2014",2014
"Service Science Research, Strategy and Innovation: Dynamic Knowledge Management Methods: Dynamic Knowledge Management Methods",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:5nxA0vEk-isC,N Delener,"IGI Global, 2012",2012
Harnessing the power of social media and web analytics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:Se3iqnhoufwC,A Ayanso,"IGI Global, 2014",2014
Gender effects on odor-induced taste enhancement and subsequent food consumption,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:8k81kl-MbHgC,"Y Koubaa, A Eleuch","Journal of Consumer Marketing, 2020",2020
Multimodal perceptual processing of cues in food ads: Do you smell what you see?: Visual-induced olfactory imagery and its effects on taste perception and food consumption,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:MXK_kJrjxJIC,"Y Koubaa, A Eleuch","Journal of Advertising Research 61 (1), 78-94, 2021",2021
An empirical illustration of the transformation process of purchasing: An application of the system dynamic modelling approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:qjMakFHDy7sC,Y Koubaa,"The International Journal of Logistics Management, 2016",2016
Segmentation of the senior market: how do different variable sets discriminate between senior segments?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:Y0pCki6q_DkC,"Y Koubaa, RS Tabbane, M Hamouda","Journal of Marketing Analytics 5 (3), 99-110, 2017",2017
Odor-induced taste enhancement and consumption of low-sugar pastry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:LkGwnXOMwfcC,Y Koubaa,"International Journal of Market Research 59 (6), 749-765, 2017",2017
"Ethnocentrism, country of origin, and brand perception in a special context",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:d1gkVwhDpl0C,Y Koubaa,"International Journal of Business and Emerging Markets 1 (3), 232-248, 2009",2009
"Digital Economy. Emerging Technologies and Business Innovation: Third International Conference, ICDEc 2018, Brest, France, May 3-5, 2018, Proceedings",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:UebtZRa9Y70C,"MAB Tobji, R Jallouli, Y Koubaa, A Nijholt","Springer, 2018",2018
DETERMINANTS OF TUNISIAN SMES EXPORTING BEHAVIOR: AN EMPIRICAL INVESTIGATION.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:_FxGoFyzp5QC,"Y Koubaa, AE EpKoubaa","Journal of Global Business & Technology 8 (1), 2012",2012
Digital Economy. Emerging Technologies and Business Innovation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHUDVG8AAAAJ&pagesize=100&citation_for_view=bHUDVG8AAAAJ:KlAtU1dfN6UC,"MA Bach Tobji, R Jallouli, Y Koubaa, A Nijholt","Springer International Publishing:, 2018",2018
