title,link,authors,publication,article_year
The influence of socio-demographic variables on customer satisfaction and loyalty in the private banking industry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:2osOgNQ5qMEC,"V Seiler, M Rudolf, T Krume","International Journal of Bank Marketing 31 (4), 235-258, 2013",2013
Wealth effects of rare earth prices and China’s rare earth elements policy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:9yKSN-GCB0IC,"MA Müller, D Schweizer, V Seiler","Journal of Business Ethics 138 (4), 627-648, 2016",2016
The economic importance of rare earth elements volatility forecasts,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:M3ejUd6NZC8C,"J Proelss, D Schweizer, V Seiler","International Review of Financial Analysis 71, 2020",2020
The Economic Importance of Rare Earth Elements Volatility Forecasts,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:_FxGoFyzp5QC,"J Proelss, D Schweizer, V Seiler",,2017
Kundenzufriedenheit im Private Banking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:u-x6o8ySG0sC,V Seiler,"Eine empirische Analyse, Köln: Josef Eul Verlag, 2011",2011
Do announcements of WTO dispute resolution cases matter? Evidence from the rare earth elements market,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:LkGwnXOMwfcC,"J Proelss, D Schweizer, V Seiler","Energy Economics 73, 1-23, 2018",2018
Customer satisfaction in private banking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:d1gkVwhDpl0C,"V Seiler, M Rudolf","Credit and Capital Markets 47 (3), 485-520, 2014",2014
Acceptance of Digital Investment Solutions: The Case of Robo Advisory in Germany,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:qxL8FJ1GzNcC,"V Seiler, KM Fanenbruck","Research in International Business and Finance, 101490, 2021",2021
New Dimensions of Service Offshoring in World Trade,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:Zph67rFs4hoC,"M Atkins, BM Gilroy, V Seiler","Intereconomics 54 (2), 120-126, 2019",2019
Rechtliche Rahmenbedingungen im Zuge der MiFID,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:kNdYIx-mwKoC,V Seiler,"Private Banking, 63-96, 2008",2008
Dienstleistungsqualität und Kundenzufriedenheit im Private Banking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:3fE2CSJIrl8C,V Seiler,"Private Banking, 429-448, 2008",2008
"Comment on Ameriks, Caplin, Leahy & Tyler (2007): Measuring Self-Control Problems",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:W7OEmFMy1HYC,V Seiler,,2013
China-to-FOB price transmission in the rare earth elements market and the end of Chinese export restrictions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:aqlVkmm33-oC,V Seiler,"Energy Economics 102, 105485, 2021",2021
"Business Cycles, Labour Market Institutions and Unemployment–Further Evidence from OECD Countries",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:YOwf2qJgpHMC,"V Seiler, F Roncone","Labour Market Institutions and Unemployment–Further Evidence from OECD …, 2019",2019
Bewertung von Wachstumsunternehmen,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:5nxA0vEk-isC,"V Seiler, BM Gilroy, C Peitz","Handbuch kapitalmarktorientierte Unternehmensbewertung. Grundlagen, Methoden …, 2018",2018
Die Überprüfung der Random Walk Hypothese mit Hilfe des Variance Ratio Tests,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:Tyk-4Ss8FVUC,"V Seiler, S Kröger, BM Gilroy","WiSt-Wirtschaftswissenschaftliches Studium 46 (11), 42-46, 2017",2017
Style Analyse im Fondsmanagement,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:zYLM7Y9cAGgC,"BM Gilroy, V Mykhalskyy, V Seiler","WiSt-Wirtschaftswissenschaftliches Studium 46 (2-3), 10-16, 2017",2017
Efectiveness of Official Development Assistance-Further Evidence from DAC Countries,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:u5HHmVD_uO8C,"V Seiler, E Taach","Working Papers CIE, 2017",2017
Random-Walk-Hypothese,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:0EnyYjriUFMC,"M Gilroy, V Seiler, S Kröger","WISU - Das Wirtschaftsstudium, 905, 2017",2017
Event-Studien in der wirtschaftswissenschaftlichen Forschung,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:ufrVoPGSRksC,"BM Gilroy, V Seiler","WiSt-Wirtschaftswissenschaftliches Studium 44 (8), 449-455, 2015",2015
Subsidiarity between economic freedom and harmonized regulation: is there an optimal degree of European integration?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:hqOjcs7Dif8C,"M Gilroy, H Schreckenberg, V Seiler","Federal Governance 10 (2), 3-18, 2013",2013
Fallstudie zur Qualitätsmessung und Kundenzufriedenheit im Private Banking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:MXK_kJrjxJIC,"C Horn, V Seiler","Private Banking, 453-475, 2011",2011
Kundenzufriedenheitsmessung im Private Banking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:8k81kl-MbHgC,V Seiler,"Private Banking, 433-452, 2011",2011
"Buchbesprechung ""Europarecht"" von Prof. Dr. jur. Dieter Krimphove",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:KlAtU1dfN6UC,V Seiler,"Zeitschrift für Wirtschaftsrecht 21 (19), 738, 2010",2010
(2007): Measuring Self-Control Problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b_DFLQQAAAAJ&pagesize=100&citation_for_view=b_DFLQQAAAAJ:Se3iqnhoufwC,"CO Ameriks, V Seiler",,
,,,,
