title,link,authors,publication,article_year
"Invisible, therefore isolated: Comparative effects of team virtuality with task virtuality on workplace isolation and work outcomes",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:WF5omc3nYNoC,"MA Orhan, JB Rijsman, GM van Dijk","Journal of Work and Organizational Psychology 32 (2), 109-122, 2016",2016
"Invisible, therefore isolated: Comparative effects of team virtuality with task virtuality on workplace isolation and work outcomes",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:YsMSGLbcyi4C,"MA Orhan, JB Rijsman, GM van Dijk","Revista de Psicología del Trabajo y de las Organizaciones 32 (2), 109-122, 2016",2016
Harvesting reflective knowledge exchange for inbound open innovation in collaborative complex networks: An empirical verification in Europe,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:lSLTfruPkqcC,"A Papa, R Chierici, LV Ballestra, D Meissner, MA Orhan","Journal of Knowledge Management 25 (4), 669-692, 2021",2021
Extending the individual level of virtuality: Implications of task virtuality in virtual and traditional settings,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:9yKSN-GCB0IC,MA Orhan,"Administrative Sciences 4 (4), 400-412, 2014",2014
Creative destruction in science,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:70eg2SAEIzsC,"W Tierney, JH Hardy III, CR Ebersole, K Leavitt, D Viganola, EG Clemente, ...","Organizational Behavior and Human Decision Processes 161, 291-309, 2020",2020
The evolution of the virtuality phenomenon in organizations: A critical literature review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:0EnyYjriUFMC,MA Orhan,"Entrepreneurial Business and Economics Review 5 (4), 171-188, 2017",2017
Impact of self-leadership and shared leadership on the performance of virtual R&D teams,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:3s1wT3WcHBgC,"S Castellano, K Chandavimol, I Khelladi, MA Orhan","Journal of Business Research 128, 578-586, 2021",2021
A creative destruction approach to replication: Implicit work and sex morality across cultures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:2P1L_qKh6hAC,"W Tierney, JHIII Hardy, C Ebersole, D Viganola, E Clemente, M Gordon, ...","Journal of Experimental Social Psychology 93, 104060, 2021",2021
Technology distraction at work: Impacts on self-regulation and work engagement,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:rO6llkc54NcC,"MA Orhan, S Castellano, I Khelladi, L Marinelli, F Monge","Journal of Business Research 126, 341-349, 2021",2021
"Pardon my French: On superfluous journal rankings, incentives, and impacts on industrial-organizational psychology publication practices in French business schools",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:M05iB0D1s5AC,MA Orhan,"Industrial and Organizational Psychology 13 (3), 295-306, 2020",2020
"How death anxiety influences coping strategies during the COVID-19 pandemic: Investigating the role of spirituality, national Identity, lockdown and trust",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:dfsIfKJdRG4C,"S Castellano, I Khelladi, R Sorio, S Rezaee-Vessal, J Partouche-Sebban, ...","Journal of Marketing Management 37 (17-18), 1815-1839, 2021",2021
Fostering assigned expatriates’ innovativeness via culturally intelligent supervisors: A resource gain perspective.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:bFI3QPDXJZMC,"E Akkan, SK Canhilal, MA Orhan","The International Journal of Human Resource Management, 2022",2022
Bringing I-O psychology to the public: But what if we have nothing to say?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:pyW8ca7W8N0C,"MA Orhan, M Bal, Y van Rossenberg","PsyArXiv, 2022",2022
Who said there’s no such thing as a free lunch? Customers’ dark triad traits predict abuse of food refund policies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:D03iK_w7-QYC,"MA Orhan, B Collisson","Personality and Individual Differences 190, 111527, 2022",2022
Analyzing the CSR perception from customer relationship quality perspective: An application to the retail banking sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:fPk4N6BV_jEC,"J Hobeika, I Khelladi, MA Orhan","Corporate Social Responsibility and Environmental Management, 2022",2022
"How it started, how it’s going: Why past research does not encompass pandemic induced remote work realities",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:u_35RYKgDlwC,"S Torres, MA Orhan","PsyArXiv, 2021",2021
Dynamic interactionism between research fraud and research culture: a commentary to Harvey’s analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:HoB7MX3m0LUC,MA Orhan,"Quality in Higher Education 27 (1), 134-146, 2021",2021
Exploring the microfoundations of nomadic dynamic capabilities: The example of flying winemakers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:g5m5HwL7SMYC,"S Castellano, I Khelladi, R Sorio, M Orhan, D Kalisz","Technological Forecasting and Social Change 163, 120445, 2021",2021
Examining digital brand experiences as a predictor of brand relationship quality and loyalty,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:ZHo1McVdvXMC,"MA Orhan, C MacIlvaine","International Journal of Marketing, Communication and New Media 8, 46-64, 2020",2020
Moving toward task virtuality in organizations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cqyUcDoAAAAJ&pagesize=100&citation_for_view=cqyUcDoAAAAJ:eQOLeE2rZwMC,MA Orhan,"Tilburg University - PhD Thesis, 2015",2015
,,,,
