title,link,authors,publication,article_year
Rhenium-functionalized covalent organic framework photocatalyst for efficient CO2 reduction under visible light,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:LkGwnXOMwfcC,"SY Li, S Meng, X Zou, M El-Roz, I Telegeev, O Thili, TX Liu, G Zhu","Microporous and Mesoporous Materials 285, 195-201, 2019",2019
Uniform generation of sub-nanometer silver clusters in zeolite cages exhibiting high photocatalytic activity under visible light,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:eQOLeE2rZwMC,"M El-Roz, I Telegeiev, NE Mordvinova, OI Lebedev, N Barrier, A Behilil, ...","ACS applied materials & interfaces 10 (34), 28702-28708, 2018",2018
High-visible-light photoactivity of plasma-promoted vanadium clusters on nanozeolites for partial photooxidation of methanol,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:qjMakFHDy7sC,"M El-Roz, L Lakiss, I Telegeiev, OI Lebedev, P Bazin, A Vicente, ...","ACS applied materials & interfaces 9 (21), 17846-17855, 2017",2017
"Влияние аэросила А-100 на прочность, набухание и структуру эпоксиполимера",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:9yKSN-GCB0IC,"ДЛ Старокадомский, И Телегеев, СВ Головань","Пластические массы, 35-40, 2010",2010
Дисперсность кремнезема и модифицирование его поверхности как факторы усиления эпоксиполимерного композита,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:hqOjcs7Dif8C,"ДЛ Старокадомский, СВ Головань, ИГ Телегеев, АА Ткаченко, ...","Полимер. журн 33 (2), 140-148, 2011",2011
Synthesis of silica-polymer core-shell hybrid materials with enhanced mechanical properties using a new bifunctional silane-based photoinitiator as coupling agent,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:5nxA0vEk-isC,"RZ Douaihy, I Telegeiev, H Nasrallah, O Lebedev, P Bazin, A Vimont, ...","Materials Today Communications 27, 102248, 2021",2021
Resistance of Epoxypolymer with 2-5 wt% Nanosilica in Aggressive Acid Medium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:UebtZRa9Y70C,"DL Starokadomsky, IG Telegeev","Open Journal of Polymer Chemistry 2 (3), 117-123, 2012",2012
Influence of Nature and Concentration of Silica on Swelling (in Water/Acid Environments) and Structure of Polyepoxy Composites,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:u-x6o8ySG0sC,"D Starokadomsky, I Telegeyeff","Research & Reviews in Polymer 1 (1), 2010",2010
In Situ FTIR Reactor for Monitoring Gas-Phase Products during a (Photo) catalytic Reaction in the Liquid Phase,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:WF5omc3nYNoC,"I Telegeiev, O Thili, A Lanel, P Bazin, Y Levaque, C Fernandez, M El-Roz","Analytical chemistry 90 (24), 14586-14592, 2018",2018
Dispersity of silica and modifying its surface as factors strengthening epoksipolimernogo composite,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:zYLM7Y9cAGgC,"DL Starokadomskiy, G SV, IG Telegeev, AA Tkachenko, BG Mischanchuk","Polymer Journal-Polimernyy Zhurnal 33 (2), 140-148, 2011",2011
Novel photoinitiators made from bifunctional silane,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:0EnyYjriUFMC,"M El Roz, S Lakhdar, I Telegeiev","US Patent App. 16/764,805, 2021",2021
Influence of TiO2 and SiO2 Fillers on Swelling of Polyepoxide in Solvent Diethyleneglycol-Diacetate,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:Y0pCki6q_DkC,"S Dmitro, T Igor","Journal of Materials Science and Engineering 4 (8), 2010",2010
"Нанофармакологія, нанохімія: стан та перспективи наукових досліджень",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:W7OEmFMy1HYC,"ІС Чекман, ВО Калібабчук, НO Горнакова, ЄЛ Вороній, ТЮ Небесна, ...","Медична наука України, 134-147, 2010",2010
High Visible Light Photoactivity of Plasma-promoted Vanadium Clusters on Nano-Zeolites for Selective Photooxidation of Methanol,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:roLk4NBRz8UC,"M El-Roz, L Lakiss, I Telegeiev, OI Lebedev, P Bazin, A Vicente, ...",,2017
Modification of nanosilica surfaces by methyl methacrylate oligomers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:UeHWp8X0CEIC,"I Telegeev, E Voronin, E Pakhlov, V Kalibabchuk","Nanoscience Advances in CBRN Agents Detection, Information and Energy …, 2015",2015
Open Journal of Polymer Chemistry 2: Resistance of epoxypolymer with 2-5 wt% nanosilica in aggressive acid medium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:8k81kl-MbHgC,"DL Starokadomsky, IG Telegeev","Cellular Polymers 32 (3), 181-183, 2013",2013
Effect of Silica A300 Surface Modification by Acrylates on Strength and Swelling of Epoxypolymer Composite,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:d1gkVwhDpl0C,"D Starokadomsky, I Telegeev","American Journal of Polymer Science 3 (5), 90-98, 2013",2013
Resistance of Epoxypolymer with 2-5 wt% Nanosilica in Aggressive Acid Medium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:IjCSPb-OGe4C,"S Dmitro L, T Igor G","Open Journal of Polymer Chemistry 2012, 2012",2012
Modification of nanosilica surface by methyl methacrylate silane coupling agents in a pseudo-liquid state,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:Se3iqnhoufwC,"I Telegeev, E Voronin, E Pakhlov","Silane: Chemistry, Applications and Performance, 127-135, 2012",2012
"Нанофармакологія, нанохімія: стан та перспективи наукових досліджень",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:Tyk-4Ss8FVUC,"IС Чекман, ВО Калібабчук, НО Горчакова, ЄП Воронін, ТЮ Небесна, ...","Науковий вісник Національного медичного університету імені ОО Богомольця …, 2012",2012
Dispersity and surface modification of fumed silica as strengthening factors of epoxy composite.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:YsMSGLbcyi4C,"DL Starocadomskiy, SV Golovan, IG Telegeev, AA Tkachenko, ...","Polymer Journal (18181724) 33 (1), 2011",2011
Набухание и стойкость в агрессивной кислой среде наполненных нанокремнеземами и другими нано/микронаполнителями эпоксиполимерных композитов,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:2osOgNQ5qMEC,"ДЛ Старокадомский, ИГ Телегеев","Нанотехника, 39-44, 2011",2011
Modification of Nanosilica Surface by Methyl Methacrylate Silane Coupling Agents,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:u5HHmVD_uO8C,"I Telegeev, E Voronin, E Pakhlov","Nanotechnological Basis for Advanced Sensors, 51-54, 2011",2011
Модифицирование нанокремнезема труднолетучими силанами в псевдоожиженном состоянии,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=f-nuL0sAAAAJ&pagesize=100&citation_for_view=f-nuL0sAAAAJ:ufrVoPGSRksC,"ИГ Телегеев, ЕМ Пахлов, ЕФ Воронин","Поверхность, 2008",2008
,,,,
