title,link,authors,publication,article_year
"Understanding organisational gestures: Technique, aesthetics and embodiment",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:YOwf2qJgpHMC,Y Bazin,"Scandinavian Journal of Management 29 (4), 377-393, 2013",2013
"Dressing professional, an aesthetic experience of professions",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:LkGwnXOMwfcC,"Y Bazin, C Aubert-Tarby","Society and Business Review, 2013",2013
Answering Levinas' call in organization studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:Ehil0879vHcC,"MG Bruna, Y Bazin","European Management Review 15 (4), 577-588, 2018",2018
The emergence of heterotopia as a heuristic concept to study organization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:KbBQZpvPDL4C,"Y Bazin, P Naccache","European Management Review 13 (3), 225-233, 2016",2016
L’institutionnalisation des pratiques organisationnelles: le cas du diagnostic en psychiatrie,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:u-x6o8ySG0sC,Y Bazin,"Conservatoire national des arts et metiers-CNAM, 2011",2011
Fashion and Organization Studies: Exploring conceptual paradoxes and empirical opportunities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:5MTHONV0fEkC,"M Korica, Y Bazin","Organization Studies 40 (10), 1481-1497, 2019",2019
"Problematizing Goldman Sachs: indoctrination, paradigm shift and revolving doors",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:M3ejUd6NZC8C,Y Bazin,"Society and Business Review, 2014",2014
Les croyances dans les organisations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:_FxGoFyzp5QC,Y Bazin,"Revue internationale de psychosociologie et de gestion des comportements …, 2013",2013
I see dead people...,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:AHdEip9mkN0C,"Y Bazin, M Leclair","Revue française de gestion, 11-29, 2019",2019
"On the issue of stability of wall street CEOs, while hoping for cultural changes in the financial sector",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:mNrWkgRL2YcC,Y Bazin,"Society and Business Review, 2015",2015
Why don’t employees collectively rebel against organizational injustice?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:bKqednn6t2AC,Y Bazin,"M@ n@ gement 19 (2), 140-145, 2016",2016
L'irréversible et la nostalgie (Irreversibility and nostalgia),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g7lQUh8AAAAJ&pagesize=100&citation_for_view=g7lQUh8AAAAJ:vDZJ-YLwNdEC,Y Bazin,"Society and Business Review, 2013",2013
