title,link,authors,publication,article_year
Phenytoin pharmacokinetics in catamenial epilepsy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:0EnyYjriUFMC,"G Shavit, P Lerman, AD Korczyn, S Kivity, M Bechar, S Gitter","Neurology 34 (7), 959-959, 1984",1984
Episodic hormone secretion during sleep in Kleine-Levin syndrome: evidence for hypothalamic dysfunction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:kNdYIx-mwKoC,"N Gadoth, Z Dickerman, M Bechar, Z Laron, P Lavie","Brain and Development 9 (3), 309-315, 1987",1987
Subdural hematoma during long-term hemodialysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:4JMBOYKVnBMC,"M Bechar, JPWF Lakke, GK van der Hem, JWF Beks, L Penning","Archives of Neurology 26 (6), 513-516, 1972",1972
Sleep patterns in Kleine-Levin syndrome,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:IWHjjKOFINEC,"P Lavie, N Gadoth, CR Gordon, G Goldhammer, M Bechar","Electroencephalography and Clinical Neurophysiology 47 (3), 369-371, 1979",1979
Clonidine treatment in paroxysmal localized hyperhidrosis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:mB3voiENLucC,"A Kuritzky, R Hering, G Goldhammer, M Bechar","Archives of neurology 41 (11), 1210-1211, 1984",1984
Unilateral pupillary dilatation during focal seizures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:e5wmG9Sq2KIC,"N Gadoth, D Margalith, M Bechar","Journal of Neurology 225 (3), 227-230, 1981",1981
Convulsive fits in thyrotoxicosis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:LkGwnXOMwfcC,"AD Korczyn, M Bechar, CA Tassinari, A Portera, D Scheffner","Epilepsia 17 (1), 33-34, 1976",1976
Hepatic cirrhosis with post-shunt myelopathy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:TQgYirikUcIC,"M Bechar, M Freud, E Kott, I Kott, H Kravvic, J Stern, U Sandbank, ...","Journal of the Neurological Sciences 11 (2), 101-107, 1970",1970
Phenylketonuria presenting an intermittent progressive course,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:YsMSGLbcyi4C,"M Bechar, B Bornstein, M Elian, U Sandbank","Journal of Neurology, Neurosurgery, and Psychiatry 28 (2), 165, 1965",1965
Neurological complications following rubella infection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:9yKSN-GCB0IC,"M Bechar, S Davidovich, G Goldhammer, I Machtey, N Gadoth","Journal of neurology 226 (4), 283-287, 1982",1982
Further observations on sleep abnormalities in Kleine-Levin syndrome: abnormal breathing pattern during sleep,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:RHpTSmoSYBkC,"P Lavie, E Klein, N Gadoth, E Bental, J Zomer, M Bechar, J Wajsbort","Electroencephalography and Clinical Neurophysiology 52 (1), 98-101, 1981",1981
Hyperlipemic polyneuropathy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:d1gkVwhDpl0C,"U Sandbank, M Bechar, B Bornstein","Acta Neuropathologica 19 (4), 290-300, 1971",1971
Neuropeptides and Neuronal Survival: Neuroprotective Strategy for Alzheimer's Diseasea,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:u5HHmVD_uO8C,"I Gozes, A Bardea, M Bechar, O Pearl, A Reshef, R Zamostiano, ...","Annals of the New York Academy of Sciences 814 (1), 161-166, 1997",1997
Normal EEG in Creutzfeldt‐Jakob disease,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:eQOLeE2rZwMC,"A Kuritzky, S Davidovitch, U Sandbank, M Bechar","Neurology 30 (10), 1134-1134, 1980",1980
Hypothyroidism and phenytoin intoxication,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:W7OEmFMy1HYC,"M KUSHNIR, R WEINSTEIN, B LANDAU, G SHAVIT, M BECHAR, ...","Annals of internal medicine 102 (3), 341-342, 1985",1985
Recurrent benign intracranial hypertension (pseudotumor cerebri) during pregnancy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:4TOpqqG69KYC,"M ELIAN, N Ben-Tovim, M Bechar, B Bornstein","Obstetrics & Gynecology 31 (5), 685-688, 1968",1968
Somatosensory and autonomic neuropathy as the only manifestation of long standing leprosy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:9ZlFYXVOiuMC,"N Gadoth, M Bechar, M Kushnir, S Davidovitz, U Sandbank","Journal of the Neurological Sciences 43 (3), 471-477, 1979",1979
FACTORS GOVERNING THE UPTAKE OF PERTECHNETATE BY HUMAN BRAIN TUMOURS: A SCINTIGRAPHIC STUDY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:MXK_kJrjxJIC,"L Penning, D Front, M Bechar, KG Go, JM Rodermond","Brain 96 (2), 225-234, 1973",1973
Epilepsy among parents of children with cleft lip and palate,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:M3ejUd6NZC8C,"N Gadoth, Y Millo, E Taube, M Bechar","Brain and Development 9 (3), 296-299, 1987",1987
Raynaud's phenomenon complicated by recurrent brain infarction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g9DEiLEAAAAJ&pagesize=100&citation_for_view=g9DEiLEAAAAJ:qjMakFHDy7sC,"A Levy, A Kuritzky, F Salamon, D Aderka, S Matz, J Zoldan, M Bechar, ...","Headache: The Journal of Head and Face Pain 24 (5), 256-258, 1984",1984
