title,link,authors,publication,article_year
Arthur Andersen's global lessons in activity-based management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:qjMakFHDy7sC,"S Player, R Lacerda","John Wiley & Sons Incorporated, 1999",1999
Cornerstones of decision making: profiles of enterprise ABM,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:IjCSPb-OGe4C,"S Player, C Cobble",,1999
Les enjeux conceptuels de l’ABC/ABM dans le domaine des services: applications dans un cadre multinational,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:u5HHmVD_uO8C,I Lacombe,"Université Paris 12, 1997",1997
Users’ perception toward Bitcoin Green with big data analytics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:9yKSN-GCB0IC,"E Mnif, I Lacombe, A Jarboui","Society and Business Review, 2021",2021
Cases in Management Accounting: Current Practices in European Companies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:2osOgNQ5qMEC,"K Lukka, T Groot","Financial Times Prentice Hall, 2000",2000
L'application de l'ABC-ABM au domaine des services - Le cas de la maintenance informatique chez Hewlett-Packard,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:Tyk-4Ss8FVUC,I Lacombe,"Revue Française de Comptabilité, 1998",1998
La difficile articulation du pilotage des territoires dans le secteur public,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:d1gkVwhDpl0C,I Lacombe,"Management Avenir, 15-36, 2020",2020
La nécessaire adaptation des modèles de coûts des directions des systèmes d’information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:u-x6o8ySG0sC,I Lacombe,"Annales des Mines-Gérer et comprendre, 25-39, 2018",2018
"Entreprise et performance globale - Outils, évaluation, pilotage",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iAjlUXIAAAAJ&pagesize=100&citation_for_view=iAjlUXIAAAAJ:zYLM7Y9cAGgC,ECOSIP,"Economica, 1997",1997
,,,,
