title,link,authors,publication,article_year
Screen sharing in a shopping process: Motivational disposition and perceived context incentives,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:UeHWp8X0CEIC,"YS Roten, R Vanheems","Proceedings of the Academy of Marketing Science (AMS) 2017 World Congress, 2017",2017
To share or not to share a screen: a question of perceived competence,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:u-x6o8ySG0sC,"YS Roten, R Vanheems","Proceedings of Etienne Thil 2017-20th international conference—Roubaix (France), 2017",2017
Which screens to share in stores with which customers?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:zYLM7Y9cAGgC,"YS Roten, R Vanheems","Journal of Marketing Trends (1961-7798) 5 (3), 2019",2019
Sharing a screen while shopping: understanding the motivations and mechanisms of screen-Sharing: an application to shop assistants-customers interactions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:IjCSPb-OGe4C,YS Roten,"Paris 1, 2019",2019
Sharing in Real and Virtual Spaces: A Motivational and Temporal Screen-Sharing Approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:9yKSN-GCB0IC,"YS Roten, R Vanheems","Academy of Marketing Science Annual Conference, 151-165, 2018",2018
To share or not to share a screen: a question of connected atmosphere,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:qjMakFHDy7sC,"YS Roten, R Vanheems","Proceedings of the 16th Digital Market. Congress, Paris 1-Sorbonne, 2017",2017
Why do people shop together around the same screen?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:WF5omc3nYNoC,"R Vanheems, Y Roten","HAL Post-Print, 2021",2021
Why do people shop together around the same screen?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:eQOLeE2rZwMC,"YS Roten, R Vanheems","Journal of Consumer Marketing, 2021",2021
Et si l’internaute n’était pas un navigateur en solitaire?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:Tyk-4Ss8FVUC,"R Vanheems, Y Roten","HAL Post-Print, 2020",2020
Et si l’internaute n’était pas un navigateur en solitaire?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:W7OEmFMy1HYC,"YS Roten, R Vanheems","Revue française de gestion, 49-67, 2020",2020
Which screens to share in stores with which customers?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:Y0pCki6q_DkC,"R Vanheems, Y Roten","HAL Post-Print, 2019",2019
Screen Sharing in a Shopping Process: Motivational Disposition and Perceived Context Incentives: An Abstract,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:d1gkVwhDpl0C,"YS Roten, R Vanheems","Academy of Marketing Science World Marketing Congress, 153-154, 2017",2017
"SCIENCES, TECHNIQUES ET PRATIQUES DE GESTION",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:YsMSGLbcyi4C,"S Pezé, KA Saïd, YS Roten, R Vanheems, B Benoit, F Villesèque-Dubus, ...",,
SCREEN-SHARING IN STORE THE CONSTRUCTION OR DESTRUCTION OF SHOPPING VALUES,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jmQ8r44AAAAJ&pagesize=100&citation_for_view=jmQ8r44AAAAJ:2osOgNQ5qMEC,"YS Roten, R Vanheems",,
,,,,
