title,link,authors,publication,article_year
Corporate governance and voluntary disclosure in France,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:t6usbXjVLHcC,"CP Barros, S Boubaker, A Hamrouni","Journal of Applied Business Research (JABR) 29 (2), 561-578, 2013",2013
Large controlling shareholders and stock price synchronicity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:XiVPGOgt02cC,"S Boubaker, H Mansali, H Rjiba","Journal of Banking & Finance 40, 80-96, 2014",2014
Entrepreneurship and sustainability: The need for innovative and institutional solutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:5bg8sr1QxYwC,"AB Youssef, S Boubaker, A Omri","Technological Forecasting and Social Change 129, 232-241, 2018",2018
"Ownership structure, corporate governance and analyst following: A study of French listed firms",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:J-pR_7NvFogC,"S Boubaker, F Labégorre","Journal of Banking & Finance 32 (6), 961-976, 2008",2008
The determinants of web‐based corporate reporting in France,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:bnK-pcrLprsC,"S Boubaker, F Lakhal, M Nekhili","Managerial Auditing Journal, 2012",2012
"Ownership structure, control contestability, and corporate debt maturity",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:ye4kPcJQO24C,"H Ben-Nasr, S Boubaker, W Rouatbi","Journal of Corporate Finance 35, 265-285, 2015",2015
Black swan events and safe havens: The role of gold in globally integrated emerging markets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:D_tqNUsBuKoC,"S Bekiros, S Boubaker, DK Nguyen, GS Uddin","Journal of International Money and Finance 73, 317-334, 2017",2017
"Ownership structure, voluntary R&D disclosure and market value of firms: the French case",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:olpn-zPbct0C,"M Nekhili, S Boubaker, F Lakhal","International Journal of Business 17 (2), 126, 2012",2012
Does the board of directors affect cash holdings? A study of French listed firms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:9vf0nzSNQJEC,"S Boubaker, I Derouiche, DK Nguyen","Journal of Management & Governance 19 (2), 341-370, 2015",2015
Multiple large shareholders and corporate risk‐taking: evidence from French family firms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mNELtuMAAAAJ&pagesize=100&citation_for_view=mNELtuMAAAAJ:W5xh706n7nkC,"S Boubaker, P Nguyen, W Rouatbi","European Financial Management 22 (4), 697-745, 2016",2016
