title,link,authors,publication,article_year
Using the elaboration likelihood model to examine online persuasion through website design,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:qUcmZB5y_30C,"D Cyr, M Head, E Lim, A Stibe","Information & Management 55 (7), 807-821, 2018",2018
Persuasive backfiring: When behavior change interventions trigger unintended negative outcomes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:3fE2CSJIrl8C,"A Stibe, B Cugelman","International conference on persuasive technology, 65-77, 2016",2016
Towards a framework for socially influencing systems: meta-analysis of four PLS-SEM based studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:0EnyYjriUFMC,A Stibe,"International conference on persuasive technology, 172-183, 2015",2015
Persuasive Cities for Sustainable Wellbeing: Quantified Communities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:YOwf2qJgpHMC,"A Stibe, K Larson","International Conference on Mobile Web and Information Systems, 271-282, 2016",2016
What makes you bike? Exploring persuasive strategies to encourage low-energy mobility,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:UebtZRa9Y70C,"M Wunsch, A Stibe, A Millonig, S Seer, C Dai, K Schechtner, RCC Chin","International conference on persuasive technology, 53-64, 2015",2015
"Exploring Social Influence on Customer Engagement: A Pilot Study on the Effects of Social Learning, Social Comparison, and Normative Influence",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:u-x6o8ySG0sC,"A Stibe, H Oinas-Kukkonen, T Lehto","System Sciences (HICSS), 2013 46th Hawaii International Conference on, 2735-2744, 2013",2013
Advancing typology of computer-supported influence: moderation effects in socially influencing systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:hqOjcs7Dif8C,A Stibe,"International Conference on Persuasive Technology, 253-264, 2015",2015
Using social influence for motivating customers to generate and share feedback,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:WF5omc3nYNoC,"A Stibe, H Oinas-Kukkonen","International conference on persuasive technology, 224-235, 2014",2014
Gamification and social dynamics behind corporate cycling campaigns,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:4TOpqqG69KYC,"A Millonig, M Wunsch, A Stibe, S Seer, C Dai, K Schechtner, RCC Chin","Transportation research procedia 19, 33-39, 2016",2016
Socially Influencing Systems: Persuading people to engage with publicly displayed Twitter-based systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:LkGwnXOMwfcC,A Stibe,"ACTA Universitatis Ouluensis, 2014",2014
Designing Persuasive Systems for User Engagement in Collaborative Interaction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:ufrVoPGSRksC,"A Stibe, H Oinas-Kukkonen","Proceedings of the 22nd European Conference on Information Systems (ECIS), 2014",2014
A holistic approach to manage environmental quality by using the Kano model and social cognitive theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:M3NEmzRMIkIC,"E Dace, A Stibe, L Timma","Corporate Social Responsibility and Environmental Management 27 (2), 430-443, 2020",2020
Incremental Persuasion through Microblogging: A Survey of Twitter Users in Latvia,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:u5HHmVD_uO8C,"A Stibe, H Oinas-Kukkonen, I Bērziņa, S Pahnila","Proceedings of the 6th International Conference on Persuasive Technology …, 2011",2011
Comparative Analysis of Recognition and Competition as Features of Social Influence Using Twitter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:2osOgNQ5qMEC,"A Stibe, H Oinas-Kukkonen","Persuasive Technology. Design for Health and Safety, 274-279, 2012",2012
Practical Examples of Mobile and Social Apps using the Outcome/Change Design Matrix,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYcyfrsAAAAJ&pagesize=100&citation_for_view=mYcyfrsAAAAJ:d1gkVwhDpl0C,"S Langrial, A Stibe, H Oinas-Kukkonen","First International Conference on Behavior Change Support Systems, 3-5, 2013",2013
