title,link,authors,publication,article_year
Green Servitization for Flexible and Sustainable Supply Chain Operations: A Review of Reverse Logistics Services in Manufacturing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:hqOjcs7Dif8C,"J Marić, M Opazo-Basáez","Global Journal of Flexible Systems Management 20 (1), pp. 65-80, 2019",2019
Frugal innovations and 3D printing: insights from the field,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:u-x6o8ySG0sC,"J Marić, F Rodhain, Y Barlette","Journal of Innovation Economics & Management 21 (3), 57-76, 2016",2016
Digitalization and the inception of concentric strategic alliances: A case study in the retailing sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:5nxA0vEk-isC,"C Galera Zarco, M Opazo-Basáez, J Marić, M García‐Feijoo","Strategic Change 29 (2), 165-177. https://doi.org/10.1002/jsc.231, 2020",2020
"The gender-based digital divide in maker culture: features, challenges and possible solutions",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:qjMakFHDy7sC,J Marić,"Journal of Innovation Economics & Management, 1-21, 2018",2018
The Emergent Role of Digital Technologies in the Context of Humanitarian Supply Chains: A Systematic Literature Review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:KlAtU1dfN6UC,"J Marić, C Galera-Zarco, M Opazo-Basáez","Annals of Operations Research, https://doi.org/10.1007/s10479-021-04079, 2021",2021
Global value chain breadth and firm productivity: the enhancing effect of Industry 4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:Zph67rFs4hoC,"M Opazo-Basáez, F Vendrell-Herrero, OF Bustinza, J Marić","Journal of Manufacturing Technology Management, https://doi.org/10.1108/JMTM …, 2021",2021
Exploring 3D printing technology in the context of product-service innovation: Case study of a business venture in south of France,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:3fE2CSJIrl8C,J Marić,"International Journal of Business Environment 11 (3), 222-238, 2020",2020
Information Systems and Reverse Logistics: Promise for Future?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:u5HHmVD_uO8C,"J Marić, F Rodhain, Y Barlette",,2015
Développement durable et responsabilité dans l'ère numérique: Étude de la technologie d'impression 3D au niveau du consommateur,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:Se3iqnhoufwC,J Marić,"Université de Montpellier, France, 2018",2018
Sustainability and responsibility in the digitalization era: a study of consumer-level 3D printing technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:zYLM7Y9cAGgC,J Marić,"University of Montpellier, France, 2018",2018
Open and Responsible Innovation Concepts for Competitive Advantage,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:9yKSN-GCB0IC,"J Marić, Y Barlette, F Rodhain","Mediterranean Conference on Information Systems (MCIS) 19 (MCIS 2015 …, 2015",2015
"3D printing trends and discussing societal, environmental and ethical implications",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=myltOpUAAAAJ&pagesize=100&citation_for_view=myltOpUAAAAJ:UeHWp8X0CEIC,"J Marić, F Rodhain, Y Barlette",,2016
