title,link,authors,publication,article_year
Selecting green suppliers based on GSCM practices: Using fuzzy TOPSIS applied to a Brazilian electronics company,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:bEWYMUwI8FkC,"D Kannan, ABL de Sousa Jabbour, CJC Jabbour","European Journal of operational research 233 (2), 432-447, 2014",2014
Industry 4.0 and the circular economy: a proposed research agenda and original roadmap for sustainable operations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:epqYDVWIO7EC,"ABL de Sousa Jabbour, CJC Jabbour, M Godinho Filho, D Roubaud","Annals of Operations Research 270 (1), 273-286, 2018",2018
When titans meet–Can industry 4.0 revolutionise the environmentally-sustainable manufacturing wave? The role of critical success factors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:zLWjf1WUPmwC,"ABL de Sousa Jabbour, CJC Jabbour, C Foropon, M Godinho Filho","Technological Forecasting and Social Change 132, 18-25, 2018",2018
Green human resource management and green supply chain management: Linking two emerging agendas,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:nb7KW1ujOQ8C,"CJC Jabbour, ABL de Sousa Jabbour","Journal of Cleaner Production 112, 1824-1833, 2016",2016
Environmental management and operational performance in automotive companies in Brazil: the role of human resource management and lean manufacturing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:YFjsv_pBGBYC,"CJC Jabbour, ABL de Sousa Jabbour, K Govindan, AA Teixeira, ...","Journal of Cleaner Production 47, 129-140, 2013",2013
Sustainability as a dynamic organizational capability: a systematic review and a future agenda toward a sustainable transition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:HE397vMXCloC,"LBL Amui, CJC Jabbour, ABL de Sousa Jabbour, D Kannan","Journal of Cleaner Production 142, 308-322, 2017",2017
Barriers to the adoption of industry 4.0 technologies in the manufacturing sector: An inter-country comparative perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:0izLItjtcgwC,"A Raj, G Dwivedi, A Sharma, ABL de Sousa Jabbour, S Rajak","International Journal of Production Economics 224, 107546, 2020",2020
Are supplier selection criteria going green? Case studies of companies in Brazil,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:zYLM7Y9cAGgC,"ABLS Jabbour, CJC Jabbour","Industrial Management & Data Systems, 2009",2009
Relationship between green management and environmental training in companies located in Brazil: A theoretical framework and case studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:YsMSGLbcyi4C,"AA Teixeira, CJC Jabbour, ABL de Sousa Jabbour","International Journal of Production Economics 140 (1), 318-329, 2012",2012
"Effects of environmental strategy, environmental uncertainty and top management's commitment on corporate environmental performance: The role of environmental management accounting",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:ipzZ9siozwsC,"H Latan, CJC Jabbour, ABL de Sousa Jabbour, SF Wamba, M Shahbaz","Journal of cleaner production 180, 297-306, 2018",2018
Unlocking the circular economy through new business models based on large-scale data: an integrative framework and research agenda,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oOmOcaAAAAAJ&pagesize=100&citation_for_view=oOmOcaAAAAAJ:fFSKOagxvKUC,"CJC Jabbour, ABL de Sousa Jabbour, J Sarkis, M Godinho Filho","Technological Forecasting and Social Change 144, 546-552, 2019",2019
