title,link,authors,publication,article_year
Marketing to the (new) generations: summary and perspectives,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:9ZlFYXVOiuMC,"D Chaney, M Touzani, K Ben Slimane","Journal of Strategic Marketing 25 (3), 179-189, 2017",2017
The Music Industry in the Digital Age: Consumer Participation in Value Creation.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:d1gkVwhDpl0C,D Chaney,"International journal of arts management 15 (1), 2012",2012
"Consumption experience: past, present and future",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:r0BpntZqJG4C,"D Chaney, R Lunardo, R Mencarelli","Qualitative Market Research: An International Journal, 2018",2018
Analyzing mental representations: The contribution of cognitive maps,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:u5HHmVD_uO8C,D Chaney,"Recherche et Applications en Marketing (English Edition) 25 (2), 93-115, 2010",2010
"Dress, transformation, and conformity in the heavy rock subculture",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:5nxA0vEk-isC,"D Chaney, C Goulding","Journal of Business Research 69 (1), 155-165, 2016",2016
Making the store a place of learning: The effects of in-store educational activities on retailer legitimacy and shopping intentions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:Zph67rFs4hoC,"D Chaney, R Lunardo, G Bressolles","Journal of Business Research 69 (12), 5886-5893, 2016",2016
Megamarketing expanded by neo-institutional theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:0EnyYjriUFMC,"D Chaney, K Ben Slimane, A Humphreys","Journal of Strategic Marketing 24 (6), 470-483, 2016",2016
Bringing institutional theory to marketing: Taking stock and future research directions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:NaGl4SEjCO4C,"KB Slimane, D Chaney, A Humphreys, B Leca","Journal of Business Research 105, 389-394, 2019",2019
A principal–agent perspective on consumer co-production: Crowdfunding and the redefinition of consumer power,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:RHpTSmoSYBkC,D Chaney,"Technological Forecasting and Social Change 141, 74-84, 2019",2019
The role of shared values in understanding loyalty over time: A longitudinal study on music festivals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:KlAtU1dfN6UC,"D Chaney, D Martin","Journal of Travel Research 56 (4), 507-520, 2017",2017
L'apport des cartes cognitives à l'analyse des représentations mentales,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:9yKSN-GCB0IC,D Chaney,"Recherche et Applications en Marketing (French Edition) 25 (2), 93-115, 2010",2010
A neo-institutional analytic grid for extending marketing to institutional dimensions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:ufrVoPGSRksC,"D Chaney, K Ben Slimane","Recherche et Applications en Marketing (English Edition) 29 (2), 95-111, 2014",2014
When the arts inspire businesses: Museums as a heritage redefinition tool of brands,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:7PzlFSSx8tAC,"D Chaney, M Pulh, R Mencarelli","Journal of Business Research 85, 452-458, 2018",2018
Social legitimacy versus distinctiveness: mapping the place of consumers in the mental representations of managers in an institutionalized environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:IjCSPb-OGe4C,"D Chaney, R Marshall","Journal of Business Research 66 (9), 1550-1558, 2013",2013
Pourquoi acheter un CD quand on peut le télécharger?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:u-x6o8ySG0sC,D Chaney,"Management Avenir, 30-48, 2008",2008
The evoking power of servicescapes: Consumers' inferences of manipulative intent following service environment-driven evocations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:M3ejUd6NZC8C,"R Lunardo, D Roux, D Chaney","Journal of Business Research 69 (12), 6097-6105, 2016",2016
La grille d’analyse néo-institutionnelle au bénéfice de l’élargissement du marketing à des dimensions institutionnelles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:eQOLeE2rZwMC,"D Chaney, K Ben Slimane","Recherche et Applications en Marketing (French Edition) 29 (2), 99-117, 2014",2014
In-store quality (in) congruency as a driver of perceived legitimacy and shopping behavior,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:hqOjcs7Dif8C,"D Chaney, R Lunardo, C Saintives","Journal of Retailing and Consumer Services 24, 51-59, 2015",2015
Uncovering institutional orientation as a new strategic orientation in industrial marketing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:j3f4tGmQtD8C,"D Chaney, FA Carrillat, A Zouari","Industrial Marketing Management 80, 242-250, 2019",2019
An integrative perspective of closeness in retailing: From retailers' sense-giving to consumers' sense-making,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oUVvj1MAAAAJ&pagesize=100&citation_for_view=oUVvj1MAAAAJ:qxL8FJ1GzNcC,"M Schultz, D Chaney, A Debenedetti","Journal of retailing and consumer services 32, 218-226, 2016",2016
