title,link,authors,publication,article_year
Motor skills and motor learning in Lurcher mutant mice during aging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:d1gkVwhDpl0C,"P Hilber, J Caston","Neuroscience 102 (3), 615-623, 2001",2001
Differential roles of cerebellar cortex and deep cerebellar nuclei in learning and retention of a spatial task: studies in intact and cerebellectomized lurcher mutant mice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:9yKSN-GCB0IC,"P Hilber, F Jouen, N Delhaye-Bouchaud, J Mariani, J Caston","Behavior genetics 28 (4), 299-308, 1998",1998
Chemotherapy-induced long-term alteration of executive functions and hippocampal cell proliferation: role of glucose as adjuvant,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:ufrVoPGSRksC,"M Dubois, N Lapinte, V Villier, C Lecointre, V Roy, MC Tonon, P Gandolfo, ...","Neuropharmacology 79, 234-248, 2014",2014
Effects of harmaline on anxiety-related behavior in mice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:UeHWp8X0CEIC,"P Hilber, P Chapillon","Physiology & behavior 86 (1-2), 164-167, 2005",2005
Stress and anxious-related behaviors in Lurcher mutant mice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:2osOgNQ5qMEC,"P Hilber, T Lorivel, C Delarue, J Caston","Brain research 1003 (1-2), 108-112, 2004",2004
Aluminium oxide nanoparticles compromise spatial learning and memory performance in rats,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:qxL8FJ1GzNcC,"I M'rad, M Jeljeli, N Rihane, P Hilber, M Sakly, S Amara","EXCLI journal 17, 200, 2018",2018
Cooperation of the vestibular and cerebellar networks in anxiety disorders and depression,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:M3ejUd6NZC8C,"P Hilber, J Cendelin, A Le Gall, ML Machado, J Tuma, S Besnard","Progress in Neuro-Psychopharmacology and Biological Psychiatry, 2019",2019
An unsteady platform test for measuring static equilibrium in mice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:qjMakFHDy7sC,"P Hilber, R Lalonde, J Caston","Journal of neuroscience methods 88 (2), 201-205, 1999",1999
Effects of chlordiazepoxide on the emotional reactivity and motor capacities in the cerebellar Lurcher mutant mice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:Tyk-4Ss8FVUC,"T Lorivel, P Hilber","Behavioural brain research 173 (1), 122-128, 2006",2006
Effect of training on motor abilities of heterozygous staggerer mutant (Rora+/Rorasg) mice during aging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:zYLM7Y9cAGgC,"J Caston, P Hilber, C Chianale, J Mariani","Behavioural brain research 141 (1), 35-42, 2003",2003
