title,link,authors,publication,article_year
The influence of inbound open innovation on ambidexterity performance: does it pay to source knowledge from supply chain stakeholders?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:BqipwSGYUEgC,"L Ardito, AM Petruzzelli, L Dezi, S Castellano","Journal of Business Research 119, 321-329, 2020",2020
An exploratory study of seniorpreneurs: A new model of entrepreneurial intentions in the French context,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:Tyk-4Ss8FVUC,"A Maâlaoui, S Castellano, I Safraou, M Bourguiba","International Journal of Entrepreneurship and Small Business 20 (2), 148-164, 2013",2013
Investigating the influence of E-word-of-mouth on E-reputation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:mVmsd5A6BfQC,"S Castellano, V Dutot","International Studies of Management & Organization 47 (1), 42-60, 2017",2017
Back to the future: adoption and diffusion of innovation in retro-industries,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:Y0pCki6q_DkC,"S Castellano, O Ivanova, M Adnane, I Safraou, F Schiavone","European Journal of Innovation Management, 2013",2013
Creativity techniques to enhance knowledge transfer within global virtual teams in the context of knowledge-intensive enterprises,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:4DMP91E08xMC,"S Castellano, P Davidson, I Khelladi","The Journal of Technology Transfer 42 (2), 253-266, 2017",2017
Designing a measurement scale for e-reputation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:KlAtU1dfN6UC,"V Dutot, S Castellano","Corporate Reputation Review 18 (4), 294-313, 2015",2015
Une analyse de l'e-réputation par analogie ou contraste avec la réputation: une approche par les médias sociaux,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:eQOLeE2rZwMC,"S Castellano, V Dutot","Revue Française du Marketing 243, 2013",2013
The impact of globalization on legitimacy signals: The case of organizations in transition environments,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:u-x6o8ySG0sC,"O Ivanova, S Castellano","Baltic Journal of Management, 2011",2011
L'entrepreneuriat des seniors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:IjCSPb-OGe4C,"A Maâlaoui, A Fayolle, S Castellano, M Rossi, I Safraou","Revue française de gestion, 69-80, 2012",2012
Signalling legitimacy for SMEs transition environments-the case of the Bulgarian IT Sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:d1gkVwhDpl0C,"O Ivanova, S Castellano","Journal for East European Management Studies, 398-422, 2012",2012
Impact of self-leadership and shared leadership on the performance of virtual R&D teams,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:3s1wT3WcHBgC,"S Castellano, K Chandavimol, I Khelladi, MA Orhan","Journal of Business Research, 2021",2021
Microfoundations of Strategic Agility in Emerging Markets: Empirical Evidence of Italian MNEs in India,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:bFI3QPDXJZMC,"A Ferraris, WY Degbey, SK Singh, S Bresciani, S Castellano, F Fiano, ...","Journal of World Business, 2021",2021
Effects of cause-related marketing campaigns on consumer purchase behavior among French millennials: A regulatory focus approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:M05iB0D1s5AC,"J Partouche, S Vessal, I Khelladi, S Castellano, G Sakka","International Marketing Review, 2020",2020
Unveiling the sustainable facet of the conventional entrepreneur - a cognitive approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vNx4Sz8AAAAJ&pagesize=100&citation_for_view=vNx4Sz8AAAAJ:hC7cP41nSMkC,"C Sylvaine, K Insaf, M Loick","International Journal of Entrepreneurship and Small Business 31 (3), 434-450, 2017",2017
