title,link,authors,publication,article_year
"Le Marketing Ethnique, au croisement des sphères économiques, politiques et éthiques",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:u-x6o8ySG0sC,"A Delannoy, M Peretti","Management Avenir, 286-298, 2010",2010
L’e-réputation de la marque dans le commerce en ligne: risques juridiques au cœur de la gestion de l’identité numérique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:Y0pCki6q_DkC,"A Delannoy, O Lasmoles","Question (s) de management, 53-66, 2019",2019
L'impact de la construction de l'identité sociale sur l'attitude envers la marque de luxe. Le cas de l'adolescente consommatrice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:UeHWp8X0CEIC,A Delannoy,"Université de Rouen, 2015",2015
Measuring the Dissemination of a Subculture Through Consumption. Investigating the Geek Culture Case.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:WF5omc3nYNoC,"A Tiercelin, M Garnier, A Delannoy","ACR North American Advances, 2020",2020
The perception of social identity among secondary school groups: the case of the make-up market,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:YsMSGLbcyi4C,"T De Vassoigne, A Delannoy, L Hélène","HAL Post-Print, 2018",2018
"Identité (s), consommation et adolescence: proposition d’une échelle de mesure de l’identité sociale de l’adolescente consommatrice",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:Tyk-4Ss8FVUC,A Delannoy,"Question (s) de management, 103-119, 2016",2016
Le rôle de la confiance dans le consentement à payer pour les marques de luxe: le cas des parfums,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:zYLM7Y9cAGgC,"A Delannoy, JP Casoni","에피스테메, 141-160, 2015",2015
Comprendre les jeunes générations face à l’emploi : vers une véritable transformation organisationnelle et managériale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:IjCSPb-OGe4C,"R Delaye, A Delannoy","Regards, 179-184, 2015",2015
La représentation du sacré chez les jeunes: à vos marques!,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:u5HHmVD_uO8C,"P Delannoy, Arnaud (Co-direction Delaye, R. et Lardellier","Entreprise et sacré, regards transdisciplinaires, 2012",2012
Understanding the trend of subcultural dissemination and appropriation into mainstream marketing: When Luxury plays it Geek.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:eQOLeE2rZwMC,"M BOYAVAL, M GARNIER, O NICOLAS, A TIERCELIN, A DELANNOY",,
"Tony de Vassoigne, Professeur Assistant en marketing Ecole de Management de Normandie, Laboratoire Metis",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vg4TNUkAAAAJ&pagesize=100&citation_for_view=vg4TNUkAAAAJ:W7OEmFMy1HYC,"L Hélène, A Delannoy",,
,,,,
