title,link,authors,publication,article_year
Industry-specific CSR: analysis of 20 years of research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:nqdriD65xNoC,"M Dabic, A Colovic, O Lamotte, M Painter-Morland, S Brozovic","European Business Review 28 (3), 250-273, 2016",2016
Technological Environment and Technology Entrepreneurship: A Cross-Country Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:X0DADzN9RKwC,"A Colovic, O Lamotte","Creativity and Innovation Management 24 (4), 617-628, 2015",2015
Early Internationalization Of New Ventures From Emerging Countries: The Case of Transition Economies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:jtI9f0ekYq0C,"O Lamotte, A Colovic","M@n@gement 18 (1), 8-30, 2015",2015
Does political disintegration lead to trade disintegration?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:u5HHmVD_uO8C,"J De Sousa, O Lamotte","Economics of Transition and Institutional Change 15 (4), 825-843, 2007",2007
The role of formal industry clusters in the internationalization of new ventures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:qE4H1tSSYIIC,"A Colovic, O Lamotte","European Business Review 26 (5), 449-470, 2014",2014
Does international openness affect the productivity of local firms?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:LkGwnXOMwfcC,"JP Damijan, J De Sousa, O Lamotte","Economics of Transition and Institutional Change 17 (3), 559-586, 2009",2009
Do demographics influence aggregate entrepreneurship?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:mVmsd5A6BfQC,"O Lamotte, A Colovic","Applied Economics Letters 20 (13), 1206-1210, 2013",2013
Asymmetric gasoline price responses in France,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:isU91gLudPYC,"O Lamotte, T Porcher, C Schalck, S Silvestre","Applied Economics Letters 20 (5), 457-461, 2013",2013
Innovation and Internationalization of Young Entrepreneurial Firms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:2ywjKiB__4kC,"O Lamotte, A Colovic","Management international 18 (1), 87-103, 2013",2013
"Reputation, e-reputation, and value-creation of mergers and acquisitions",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xglEZBkAAAAJ&pagesize=100&citation_for_view=xglEZBkAAAAJ:lYAcb2jw7qUC,"L Chalençon, A Colovic, O Lamotte, U Mayrhofer","International Studies of Management & Organization 47 (1), 4-22, 2017",2017
