title,link,authors,publication,article_year
Supply chain risk management in India–practical insights,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:qjMakFHDy7sC,"H Rogers, M Srivastava, KS Pawar, J Shah","International Journal of Logistics Research and Applications 19 (4), 278-299, 2016",2016
Information processing fit in the context of emerging markets: An analysis of foreign SBUs in China,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:IjCSPb-OGe4C,"R Moser, CPJW Kuklinski, M Srivastava","Journal of Business Research 70, 234-247, 2017",2017
The effect of industry-specific networking behaviour on the internationalization performance of Czech SMEs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:WF5omc3nYNoC,"M Srivastava, L Tyll","European Business Review, 2020",2020
The networking behavior of Indian executives under environmental uncertainty abroad: An exploratory analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:2osOgNQ5qMEC,"M Srivastava, R Moser, E Hartmann","Journal of Business Research 82, 230-245, 2018",2018
"Team performance management: past, current and future trends",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:u5HHmVD_uO8C,"M Srivastava, H Rogers, F Lettice","Team Performance Management, 2013",2013
Managing global supply chain risks: effects of the industry sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:roLk4NBRz8UC,"M Srivastava, H Rogers","International Journal of Logistics Research and Applications, 1-24, 2021",2021
Supplier’s response to institutional pressure in uncertain environment: Implications for cleaner production,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:_FxGoFyzp5QC,"M Srivastava, G Narayanamurthy, R Moser, V Pereira, P Paille","Journal of Cleaner Production 286, 124954, 2021",2021
Internationalization and performance in European market: an Asian perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:9yKSN-GCB0IC,"M Srivastava, R Moser, T de Meijer","International Business Research 8 (4), 122, 2015",2015
A project-based approach professional skills training in an undergraduate engineering curriculum,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:d1gkVwhDpl0C,"D Bairaktarova, MF Cox, M Srivastava","The International journal of engineering education 31 (1), 425-433, 2015",2015
The influence of brokers on networking behaviour during internationalization: a study of Czech SMEs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:ufrVoPGSRksC,M Srivastava,"Journal of Business & Industrial Marketing, 2020",2020
Strategic alliances between Czech SMEs and its effects on firm’s competitiveness,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xsoh9wcAAAAJ&pagesize=100&citation_for_view=xsoh9wcAAAAJ:eQOLeE2rZwMC,"L Tyll, M Srivastava, M Hromádka","JEEMS Journal of East European Management Studies 25 (2), 246-263, 2020",2020
