title,link,authors,publication,article_year
Online prediction of time series data with kernels,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:u5HHmVD_uO8C,"C Richard, JCM Bermudez, P Honeine","IEEE Transactions on Signal Processing 57 (3), 1058-1067, 2008",2008
Multiple instance learning for histopathological breast cancer image classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:kzcrU_BdoSEC,"PJ Sudharshan, C Petitjean, F Spanhol, LE Oliveira, L Heutte, P Honeine","Expert Systems with Applications 117, 103-111, 2019",2019
Nonlinear unmixing of hyperspectral data based on a linear-mixture/nonlinear-fluctuation model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:hqOjcs7Dif8C,"J Chen, C Richard, P Honeine","IEEE Transactions on Signal Processing 61 (2), 480-492, 2012",2012
Testing stationarity with surrogates: A time-frequency approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:u-x6o8ySG0sC,"P Borgnat, P Flandrin, P Honeine, C Richard, J Xiao","IEEE Transactions on Signal Processing 58 (7), 3459-3470, 2010",2010
Target tracking using machine learning and Kalman filter in wireless sensor networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:EUQCXRtRnyEC,"S Mahfouz, F Mourad-Chehade, P Honeine, J Farah, H Snoussi","IEEE Sensors Journal, 2014",2014
Online kernel principal component analysis: A reduced-order model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:BqipwSGYUEgC,P Honeine,"IEEE transactions on pattern analysis and machine intelligence 34 (9), 1814-1826, 2011",2011
ell_p-norms in One-Class Classification for Intrusion Detection in SCADA Systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:ZHo1McVdvXMC,"P Nader, P Honeine, P Beauseroy","Industrial Informatics, IEEE Transactions on 10 (4), 2308-2317, 2014",2014
Preimage problem in kernel-based machine learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:9yKSN-GCB0IC,"P Honeine, C Richard","IEEE Signal Processing Magazine 28 (2), 77-88, 2011",2011
Nonlinear Estimation of Material Abundances in Hyperspectral Images With L1-Norm Spatial Regularization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:35N4QoGY0k4C,"J Chen, C Richard, P Honeine","IEEE Transactions on Geoscience and Remote Sensing 52 (5), 2654-2665, 2014",2014
Nonnegative least-mean-square algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:ufrVoPGSRksC,"J Chen, C Richard, JCM Bermudez, P Honeine","IEEE Transactions on Signal Processing 59 (11), 5225-5235, 2011",2011
Wireless sensor networks in biomedical: Body area networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:eQOLeE2rZwMC,"P Honeine, F Mourad, M Kallas, H Snoussi, H Amoud, C Francis","International Workshop on Systems, Signal Processing and their Applications …, 2011",2011
Maximum correntropy unscented filter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:tkaPQYYpVKoC,"X Liu, B Chen, B Xu, Z Wu, P Honeine","International Journal of Systems Science 48 (8), 1607-1615, 2017",2017
"Hyperspectral unmixing in presence of endmember variability, nonlinearity, or mismodeling effects",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:q3oQSFYPqjQC,"A Halimi, P Honeine, JM Bioucas-Dias","IEEE Transactions on Image Processing 25 (10), 4565-4579, 2016",2016
Geometric unmixing of large hyperspectral images: A barycentric coordinate approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:roLk4NBRz8UC,"P Honeine, C Richard","IEEE Transactions on Geoscience and Remote Sensing 50 (6), 2185-2195, 2011",2011
On-line nonlinear sparse approximation of functions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:d1gkVwhDpl0C,"P Honeine, C Richard, JCM Bermudez","2007 IEEE International Symposium on Information Theory, 956-960, 2007",2007
Non-parametric and semi-parametric RSSI/distance modeling for target tracking in wireless sensor networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:geHnlv5EZngC,"S Mahfouz, F Mourad-Chehade, P Honeine, J Farah, H Snoussi","IEEE Sensors Journal 16 (7), 2115-2126, 2015",2015
Multi-class SVM classification combined with kernel PCA feature extraction of ECG signals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:blknAaTinKkC,"M Kallas, C Francis, L Kanaan, D Merheb, P Honeine, H Amoud","2012 19th International Conference on Telecommunications (ICT), 1-5, 2012",2012
Analyzing sparse dictionaries for online learning with kernels,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:u9iWguZQMMsC,P Honeine,"IEEE Transactions on Signal Processing 63 (23), 6343-6353, 2015",2015
Variants of non-negative least-mean-square algorithm and convergence analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:pyW8ca7W8N0C,"J Chen, C Richard, JCM Bermudez, P Honeine","IEEE Transactions on Signal Processing 62 (15), 3990-4005, 2014",2014
A closed-form solution for the pre-image problem in kernel-based machines,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:Se3iqnhoufwC,"P Honeine, C Richard","Journal of Signal Processing Systems 65 (3), 289-299, 2011",2011
