title,link,authors,publication,article_year
"SME growth trajectories, transitions and board role portfolios: A critical review and integrative model",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:LkGwnXOMwfcC,"C Ingley, W Khlif, L Karoui","International Small Business Journal 35 (6), 729-750, 2017",2017
SME heterogeneity and board configurations: an empirical typology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:u-x6o8ySG0sC,"L Karoui, W Khlif, C Ingley","Journal of Small Business and Enterprise Development, 2017",2017
"Le conseil d'administration dans les PME: Ses rôles, son implication et ses formes d'activation",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:9yKSN-GCB0IC,L Karoui,"Paris 9, 2009",2009
Formes d’activation des conseils d’administration dans les PME. Une étude exploratoire dans le contexte français,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:ULOm3_A8WrAC,"L Karoui, W Khlif",,2007
Corporate governance and the smaller firm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:d1gkVwhDpl0C,"C Ingley, L Karoui","World Scientific Book Chapters, 129-154, 2010",2010
Family contingencies and board composition: evidence from Tunisia,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:WF5omc3nYNoC,"W Khlif, L Karoui, C Ingley, W El Manaa","Journal of African Business 17 (1), 16-32, 2016",2016
Les déterminants traditionnels de la performance des conseils d’administration ont-ils encore du sens dans les PME: une étude exploratoire dans le contexte français,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:M3ejUd6NZC8C,"L Karoui, W Khlif, C Ingley","Manuscrit auteur, publié dans la place de la dimension européenne dans la …, 2009",2009
Enhancing the Board’s Monitoring Performance in SMEs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:ufrVoPGSRksC,"L Karoui, C Ingley, W Khlif, S Boubaker","Board Directors and Corporate Social Responsibility, 60-81, 2012",2012
"Power shift, strategic changes and board roles in SMEs: A portfolio approach",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:Y0pCki6q_DkC,"C Ingley, L Karoui, W Khlif","12 th European Conference on Management, Leadership and Governance ECMLG …, 2016",2016
Les organes de gouvernance dans les PME: des mécanismes de création de valeur,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:hqOjcs7Dif8C,"L KAROUI, C BEN-HAFAIEDH-DRIDI","11ème Congrès Internationale Francophone en Entrepreneuriat et PME, En ligne …, 2012",2012
Board composition in family-influenced firms: A dynamic perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:0EnyYjriUFMC,"W El Manaa, W Khlif, C Ingley, L Karoui","Corporate Board: role, duties and composition, 6 (3), 21-30, 2010",2010
Governing complexity to challenge neoliberalism? Embedded firms and the prospects of understanding new realities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:8k81kl-MbHgC,"W Khlif, T Clarke, L Karoui, KAS Kan, C Ingley","European Management Journal 37 (5), 601-610, 2019",2019
"Board Directors in Private SMEs: Beyond"" One-Form-Fits-All""",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:Se3iqnhoufwC,"L Karoui, W Khlif, C Ingley","European Conference on Management, Leadership & Governance, 145, 2014",2014
Complexité des représentations concurrentielles et performance: le cas des dirigeants de voyagistes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:zYLM7Y9cAGgC,"L Karoui, R Dornier",,2006
Chapitre 2. Les perceptions concurrentielles de dirigeants d’organisations similaires: quel degré d’homogénéité?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:_FxGoFyzp5QC,"R Dornier, L Karoui","Stratégies Concurrentielles: le renouveau théorique en pratique, 49, 2005",2005
La participation du conseil d’administration au processus stratégique des pme: les effets de la professionnalisation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:2osOgNQ5qMEC,"L Karoui, N Fadil","Management international/International Management/Gestiòn Internacional 23 …, 2018",2018
Évaluation d'options implicites aux obligations par la programmation dynamique et les éléments finis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:kNdYIx-mwKoC,L Karoui,,2004
Correction to: Introduction to the special issue:“corporate governance of sustainability”,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:mVmsd5A6BfQC,"W Khlif, L Karoui, C Ingley","Journal of Management and Governance 26 (1), 9-9, 2022",2022
Correction to: Systemic sustainability: toward an organic model of governance—a research note,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:Wp0gIr-vW9MC,"W Khlif, L Karoui, C Ingley","Journal of Management and Governance 26 (1), 27-28, 2022",2022
Systemic sustainability: toward an organic model of governance—a research note,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:4DMP91E08xMC,"W Khlif, L Karoui, C Ingley","Journal of Management and Governance 26 (1), 11-25, 2022",2022
Introduction to the special issue:“corporate governance of sustainability”,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:aqlVkmm33-oC,"W Khlif, L Karoui, C Ingley","Journal of Management and Governance 26 (1), 1-8, 2022",2022
"Le conseil d’administration, un organe de gouvernance soutenant les différents stades de croissance des PME",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:Zph67rFs4hoC,"S Snadli, W Khlif, L Karoui","Recherche et Cas en Sciences de Gestion, 29-45, 2020",2020
Apparel art firme,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:KlAtU1dfN6UC,"S Snadli, W Khlif, L Karoui","Recherche et Cas en Sciences de Gestion, 107-116, 2020",2020
Power Shifts and Board Roles in SMEs: a Multiple Case Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:qjMakFHDy7sC,"C Ingley, W Khlif, I Masmoudi, L Karoui","Academic Conferences and Publishing International Limited, 2015",2015
Power Shifts and Board Roles in SMEs: A Multiple Case Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:YsMSGLbcyi4C,"W Khlif, C Ingley, IB Masmoudi, L Karoui","ECMLG2015-11th European Conference on Management Leadership and Governance …, 2015",2015
Complexité des représentations concurrentielles et performance: le cas des dirigeants de voyagistes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zZG_s_8AAAAJ&pagesize=100&citation_for_view=zZG_s_8AAAAJ:roLk4NBRz8UC,"R Dornier, L Karoui","AIMS, 2006",2006
