name,link,profile_photo,department,descipline
Sylvaine Castellano,https://www.researchgate.netprofile/Sylvaine-Castellano,https://i1.rgstatic.net/ii/profile.image/341867548954625-1458518983237_Q64/Sylvaine-Castellano.jpg,EM Normandie Business School,"['Sustainable Development', 'Sustainability', 'Innovation']"
Agnis Stibe,https://www.researchgate.netprofile/Agnis-Stibe,https://i1.rgstatic.net/ii/profile.image/874777413693448-1585574596389_Q64/Agnis-Stibe.jpg,Supply Chain Management & Decision Sciences,"['Social Influence', 'Behavior Change', 'Persuasive Design']"
Sebastien Bourdin,https://www.researchgate.netprofile/Sebastien-Bourdin,https://i1.rgstatic.net/ii/profile.image/883467101425664-1587646379437_Q64/Sebastien-Bourdin.jpg,Regional economics and sustainable development,"['Statistical Analysis', 'Spatial Analysis', 'Modeling']"
Muhammad Zubair Tauni,https://www.researchgate.netprofile/Muhammad-Tauni,https://i1.rgstatic.net/ii/profile.image/538083621695489-1505300540048_Q64/Muhammad-Tauni.jpg,"Law, Finance, and Control","['Behavioral Finance', 'Capital Markets', 'Financial Markets']"
Damien Chaney,https://www.researchgate.netprofile/Damien-Chaney,https://i1.rgstatic.net/ii/profile.image/836305718087680-1576402229489_Q64/Damien-Chaney.jpg,Marketing,"['Marketing', 'Strategic Marketing', 'Neo-institutional theory']"
Christophe Estay,https://www.researchgate.netprofile/Christophe-Estay-2,https://i1.rgstatic.net/ii/profile.image/278769278439428-1443475183123_Q64/Christophe-Estay-2.jpg,EM Normandie Business School,"['Business Development', 'Small Business', 'Entrepreneurship']"
Sabri Boubaker,https://www.researchgate.netprofile/Sabri-Boubaker,https://i1.rgstatic.net/ii/profile.image/278922961932290-1443511824319_Q64/Sabri-Boubaker.jpg,,"['Corporate Finance', 'Corporate Governance', 'Financial Economics']"
Mustafeed Zaman,https://www.researchgate.netprofile/Mustafeed-Zaman,https://i1.rgstatic.net/ii/profile.image/1014418620047362-1618867654552_Q64/Mustafeed-Zaman.jpg,Department of Marketing,"['Information and Communication Technology', 'Digital Marketing', 'Digital Communications']"
Hippolyte Bertrand,https://www.researchgate.netprofile/Hippolyte-Bertrand-2,https://i1.rgstatic.net/ii/profile.image/957322784436226-1605254946578_Q64/Hippolyte-Bertrand-2.jpg,EM Normandie Business School,"['Treatment', 'Counseling']"
Octavio R. Escobar,https://www.researchgate.netprofile/Octavio-Escobar,https://i1.rgstatic.net/ii/profile.image/278709857734661-1443461016525_Q64/Octavio-Escobar.jpg,"Economy, Territories and Sustainable Development","['FDI', 'Foreign Direct Investment', 'International Business']"
